m/z	1.0087	12.0006	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9996	18.9987	24.0008	25.0090	26.0047	26.9820	27.0055	27.0250	27.9761	28.0211	28.9839	29.9721	29.9919	30.9806	31.0186	31.9890	32.9798	32.9972	34.0054	34.9699	36.0004	36.9667	37.0082	38.0167	39.0130	39.0268	39.9744	39.9937	40.0183	40.9802	41.0017	42.0000	42.9814	43.0018	43.0220	43.9713	43.9900	44.0164	44.9774	44.9970	45.9922	48.0003	49.0077	50.0071	50.9837	51.0241	51.9753	51.9957	52.0233	53.0028	53.0401	54.0130	55.0196	55.9715	56.0217	56.9867	57.0372	57.9810	58.0091	58.9894	59.0157	59.9675	60.9742	61.9703	62.0152	62.9653	63.0217	63.9401	63.9678	63.9948	64.0285	65.0034	65.0384	66.0005	66.9895	67.0180	67.9730	68.0131	68.9979	69.0360	69.9766	70.0311	71.0139	71.9996	73.0069	73.9822	74.0105	74.9895	75.0238	75.9617	76.0338	76.9704	77.0430	77.9674	78.9613	79.9317	79.9611	80.9588	81.0365	81.9515	82.0326	82.9755	83.0117	83.0516	83.9644	83.9988	84.0495	84.9747	85.0151	85.9690	86.0145	87.0160	87.9414	88.0260	88.9466	88.9988	89.0390	89.9463	89.9973	90.0379	91.0229	91.9553	92.0296	92.9632	93.0367	93.9367	93.9794	94.0359	94.9419	94.9921	95.9414	96.0065	96.9427	97.0075	97.9467	98.0297	98.9440	99.0229	100.0353	100.9710	101.0450	101.9684	102.9726	103.9415	104.9456	105.0388	105.9405	108.0097	109.0091	110.0234	111.0246	111.9374	112.0272	114.0359	116.9456	117.0335	117.9469	118.0423	118.9541	119.9328	120.0266	120.9407	121.0346	121.9318	121.9720	126.0470	126.9576	127.1171	133.9554	134.0506	134.9565	135.9275	136.9358	137.9337	138.9021	138.9346	140.9225	143.9877	145.0203	147.0130	151.0330	156.9047	157.9039	158.8972	160.9158	164.9142	174.8793	175.8770	176.8761	178.9039	179.8985	180.9054	181.9038	182.9041	194.9232	195.8932	196.9010	197.8991	198.8983	199.8952	202.9320	203.0539	204.0740	205.1551	216.8678	217.8649	218.8642	219.8685	220.7071	220.8839	223.0669	238.8539	240.8549	254.8224	255.2016	255.8482	256.8630	257.8580	258.8583	259.8573	260.8680	273.8678	274.8708	275.8547	277.1583	277.8248	278.8270	279.8668	280.8461	283.2267	298.8236	299.8174	300.8235	311.1803	315.8204	316.8253	317.8198	318.8167	320.8087	322.8203	339.2207	342.8398	358.7980	360.7925	361.2082	362.2203	364.8509	366.2197	376.7869	380.7793	395.3775	400.7157	402.7805	407.2849	423.3012	436.7623	437.7542	438.7622	444.7532	448.2842	449.3003	451.3175	466.8231	473.2985	
May-3 (aw1476@May_3-#1 of 36-(-)) *	2312599	133358	351296	52936	681	3200	1171740	948306	3273	3545	175438	503881	202755	13	2883	4508	28426	448	30561	796	6380	1097	1228	25647	741	5265	246	10271	39109	3302	30543	22559	3717	8006	2569	21294	6129	5729	75650	104298	678	5186	11753	2677	1762	2347	8602	15641	5147	36165	78250	20647	154	9510	2185	5427	2154	5745	856	1905	3918	500	874	1883	5144	1322	3740	1764	9558	236616	122502	17064	11904	33352	7847	301	1367	3143	3733	14896	3530	14808	439	4553	1996	1660	4779	3032	839	1163	4453	10501	25916	1975	6172	6364	8283	200819	4635	379377	13054	30896	75802	1308	6298	2826	2308	953	2599	440	1334	1480	1038	3091	1673	3614	4530	1472	4371	4813	447	2156	504	3730	2026	624	1110	986	3846	719	4799	960	4134	291	795	947	1392	3860	3747	4563	11540	5756	2180	25211	1346	3454	1568	4080	2687	1765	2115	1920	4151	1519	2904	1526	1925	2350	2423	437	1793	1314	1621	1776	1192	609	2552	14982	2904	15092	15724	3390	1226	1070	318	2100	611	2903	1796	42899	153182	20672	939	13374	1319	295	1043	1851	1521	4177	1160	1707	964	908	845	1313	3056	2563	2821	3538	1113	681	930	10116	59864	10809	8893	1534	414	3016	2375	1961	1895	638	723	408	49	542	655	1664	910	781	243	2856	14955	4210	3553	840	467	486	1964	711	2531	368	286	289	289	147	571	325	370	290	718	5501	1951	1626	310	127	195	168	291	150	1950	791	113	421	2365	229	182	158	109	755	118	1754	755	600	75	248	279	108	50	2148	8935557
May-3 (aw1476@May_3-#2 of 36-(-)) *	2064825	138059	321089	41308	504	1613	1444128	972471	3556	4329	207947	519319	138467	12	2305	2520	30169	259	26593	771	4920	924	776	31678	511	5820	237	5807	41359	1744	27238	17583	2331	5520	2726	18717	3591	5399	53414	63574	599	4807	6129	2272	1115	1169	7026	9249	2360	40653	73375	14604	125	6719	1973	3536	1192	3978	464	1095	1850	446	403	1091	2209	706	1664	1051	3370	304914	122975	17566	8897	27605	4754	265	968	2073	2002	9460	1920	5074	240	2168	1695	753	2423	1270	507	516	1845	11408	22631	1265	4152	3261	4369	280193	1851	402406	5447	34224	62187	1103	3300	1848	1058	686	1237	228	545	572	857	3240	750	2987	3438	1169	3569	2564	384	1173	347	2098	1066	390	565	417	1626	709	1560	683	1854	271	412	450	1110	1677	3362	3813	9045	5633	1531	12894	992	1973	718	3426	1079	1246	1414	1406	3068	637	1888	1246	1620	1669	1245	343	883	588	1120	675	846	293	1822	14327	971	11551	5934	2711	826	423	175	452	306	730	922	52781	144017	19548	839	12096	1255	239	758	721	715	4807	1126	1463	722	616	643	1030	2483	2051	2663	2634	857	469	509	12070	54521	10136	7831	1387	237	493	437	675	2300	676	667	311	40	436	247	1388	667	572	95	3170	13687	3729	2957	667	367	377	1325	602	407	358	262	229	163	64	484	283	253	105	879	5032	1739	1384	273	73	96	95	234	124	243	87	65	264	2180	166	107	95	74	562	56	1545	639	504	37	126	116	45	36	371	8586469
May-3 (aw1476@May_3-#3 of 36-(-)) *	1704196	138332	277455	30496	335	1087	1550849	888964	3885	5544	232231	504314	131978	9	2495	1769	29773	174	22247	740	3777	730	495	35827	303	5699	209	4727	44289	1498	24449	13823	1846	4123	2675	18276	2864	4720	42796	50617	673	5622	4250	2119	858	879	6138	6601	2118	46039	70138	13137	109	4673	2115	2685	851	3244	288	769	1233	443	312	885	1414	503	1165	926	2201	357951	117605	19552	7308	26280	3480	167	833	1748	1227	7083	1154	3320	179	1419	1703	487	1716	805	455	419	1259	13705	22566	926	3661	1951	2782	351077	936	403085	2152	36962	57813	723	2256	1286	709	474	1001	149	356	357	837	4171	635	2647	3355	907	3244	1971	247	816	279	1593	622	295	406	223	918	718	738	672	967	193	326	286	835	1019	2571	4397	6338	6599	1145	10848	725	1605	550	3145	703	1068	1255	1185	2177	248	1366	1419	1786	1542	1074	235	730	425	886	419	687	172	1517	14501	645	9541	2883	2339	721	339	135	179	253	419	572	61904	134898	19139	709	11336	824	284	792	412	501	2505	652	1036	569	434	403	766	1740	1778	2576	2093	742	350	279	14137	50034	9519	7318	1113	143	302	278	544	1069	313	415	208	23	292	189	1000	499	413	72	3384	12491	3336	2627	547	255	274	841	378	123	175	137	128	119	38	378	217	202	56	955	4673	1674	1225	177	38	62	73	201	90	212	80	39	186	1928	138	59	69	42	279	33	1470	651	507	29	90	77	25	20	478	8142155
May-3 (aw1476@May_3-#4 of 36-(-)) *	1683948	153578	291542	29396	338	1110	1605711	872837	3957	7353	267048	557416	150981	14	3008	1715	29883	198	21934	774	3529	744	448	34400	328	4870	183	5008	50233	1630	26309	14050	1952	4153	3104	19239	2813	4563	43615	50878	628	5758	4357	1932	904	940	5760	6608	2095	54403	79421	15093	106	4651	2279	2855	825	3558	305	793	1246	433	279	885	1319	541	1143	837	2322	353421	109846	18785	7457	23161	3464	177	973	1862	1235	7361	1063	3526	201	1424	1748	516	1863	832	450	399	1340	16914	26073	924	4241	1732	2694	345366	1028	376381	2243	34734	51442	877	2279	1407	692	530	924	201	395	374	980	5337	573	2891	4226	1063	3579	2016	422	774	305	1803	577	333	417	201	885	763	708	671	885	224	317	286	789	1073	2785	5674	6698	8093	1276	10152	807	1544	554	3284	674	1105	1297	1119	2108	259	1396	1867	2256	1815	1120	291	782	453	898	385	736	160	1486	13879	755	8858	3445	2181	751	303	176	181	295	468	480	61022	125450	17822	663	10383	892	396	963	469	502	2977	820	1042	611	466	469	729	1758	1767	2504	1949	726	372	257	13997	46999	9010	6822	1110	136	234	219	404	1312	419	457	219	20	304	163	976	490	398	60	3375	11529	3132	2353	568	272	255	789	370	121	232	161	121	134	34	368	207	195	63	969	4374	1561	1202	167	40	63	68	187	98	97	50	39	131	1800	141	55	72	50	205	30	1348	577	487	19	72	69	34	23	224	8269739
May-3 (aw1476@May_3-#5 of 36-(-)) *	1493635	132452	261050	28884	347	1419	1204707	719604	3214	4918	211842	438936	130209	23	2185	2109	24919	244	19030	663	3283	717	519	28074	282	4384	138	6473	38892	2001	20958	12062	2036	3977	2455	16003	3385	4270	42505	62376	628	4293	5081	1684	1004	1195	4992	7792	2962	41589	62206	12810	102	4379	1724	2764	1003	3197	289	979	1675	342	422	975	2109	580	1678	1120	3773	266744	88567	15497	6364	27250	3241	247	825	1766	1253	7042	1379	4172	255	1771	1466	741	2229	1118	447	646	2144	13090	21359	1029	3575	2489	2730	254815	1159	292836	2468	27692	58775	1243	2755	1717	1042	627	1380	262	564	571	767	4151	956	2373	3621	957	3086	2302	363	764	342	1880	718	435	467	294	1067	647	875	574	1087	246	341	391	1225	1291	3374	5101	8959	6647	1763	15668	999	1864	691	2683	991	996	1183	1151	2294	351	1863	1671	1846	1763	1262	278	955	586	893	468	737	209	1456	11569	824	7955	3458	2287	781	437	170	277	293	505	726	47414	103598	15105	789	8676	932	353	873	535	669	3304	948	1344	628	481	642	1047	2462	1772	2111	1843	702	349	346	10951	39631	7595	5939	1053	214	446	419	848	1411	449	550	281	26	343	290	1120	580	536	89	2967	9753	2882	2273	514	306	249	850	379	219	234	146	173	161	63	380	240	207	141	760	3879	1376	1136	213	41	90	85	221	108	249	134	63	358	1673	148	96	116	59	605	69	1144	537	419	44	171	145	40	30	630	6924245
May-3 (aw1476@May_3-#6 of 36-(-)) *	1653348	146544	283719	30052	367	1315	1375802	796550	3566	6530	245854	511438	140928	13	2496	2037	27636	196	20989	697	3548	747	472	31001	280	4740	175	6279	45863	2030	23844	13075	1920	4056	2727	17260	3232	4300	43673	59148	635	5149	5047	1885	966	1117	5285	7568	2929	49628	72633	14164	134	4454	2019	2892	955	3367	308	887	1529	389	361	967	1875	563	1593	1000	3298	310736	100342	17382	6932	27131	3363	181	894	1851	1242	6971	1230	3939	205	1640	1629	640	2209	1011	469	489	1811	16137	24579	966	4132	2461	2824	298220	1232	335199	2383	31191	58588	949	2473	1485	931	578	1225	191	542	506	896	5189	865	2603	4208	991	3317	2135	270	834	279	1869	658	352	450	256	975	675	826	605	930	193	302	402	967	1194	2891	5879	7728	7971	1409	14916	995	1870	675	3060	906	1119	1251	1131	2308	316	1654	1983	2077	1940	1257	281	938	540	913	467	795	172	1537	13318	937	8978	3643	2354	873	401	170	269	272	554	715	54048	115105	16618	699	9909	754	443	1004	478	649	2457	750	1121	641	449	551	870	2146	1683	2473	2016	723	387	351	12736	43480	8338	6306	1032	184	376	358	794	905	327	373	221	29	320	223	1166	550	498	97	3085	10733	3059	2359	502	247	262	817	349	183	159	125	135	120	57	372	216	206	116	854	4160	1530	1154	188	70	66	89	190	108	271	93	49	277	1793	139	92	92	50	480	47	1249	536	413	32	125	109	41	22	424	7690407
May-3 (aw1476@May_3-#7 of 36-(-)) *	1537716	140091	262873	28105	367	1284	1505795	796493	3849	7819	245054	494942	148992	13	2760	2009	27263	199	19715	659	3278	690	521	34066	317	4746	189	6418	45644	1991	23786	13254	1914	3955	2691	18549	3114	4391	44172	58800	655	5887	4928	1948	1048	1137	5642	7754	2478	50033	71479	14503	104	4468	2024	2996	951	3405	321	829	1405	408	373	1001	1929	580	1407	1085	3025	347128	105819	18732	6911	29012	3454	225	873	1966	1210	7231	1198	4008	242	1546	1693	618	2158	974	457	460	1614	15982	23931	995	4167	2257	2814	348630	1212	363624	2535	34921	62647	1095	2370	1576	824	636	1189	214	478	493	828	5033	784	2641	3971	995	3288	2040	372	845	321	1924	686	362	442	227	1032	768	841	664	1007	257	348	314	1075	1064	3160	5777	8078	7612	1652	13009	891	1720	665	3067	773	1143	1344	1236	2270	308	1591	1898	2119	1751	1271	307	861	596	932	454	824	172	1697	14285	846	9052	3631	2351	795	405	171	276	286	513	641	62151	122843	18180	771	10495	960	398	946	558	562	3530	893	1206	710	467	523	956	2135	1914	2568	2001	745	398	345	14462	46060	9015	6812	1123	197	312	260	525	1402	441	467	262	27	327	223	1122	574	489	73	3552	11295	3160	2406	551	289	250	797	375	194	246	164	180	154	42	385	233	231	64	987	4247	1590	1192	193	52	72	64	225	90	153	59	36	165	1794	153	73	92	44	325	36	1382	553	448	31	93	74	32	32	574	7831132
May-3 (aw1476@May_3-#8 of 36-(-)) *	1506951	163619	286050	26920	334	1302	1305069	671184	3095	8804	293132	557162	184551	9	3059	2041	23774	240	17327	617	2795	639	359	26770	339	3009	99	6577	53691	2121	24619	13026	2165	3815	2757	18393	3596	3890	43615	66144	629	4900	4846	1676	931	1151	4282	7226	2723	62856	83242	18236	103	4309	2069	2885	979	3513	300	889	1626	370	408	956	2254	577	1644	940	4054	291556	80287	15255	7144	28070	3360	306	957	2038	1234	7346	1175	5816	233	1742	1704	707	2242	1171	461	666	2157	21968	30401	1030	5204	1893	2609	290278	1034	274113	2071	27262	58332	1257	2980	1973	1015	681	1444	209	591	600	904	7295	1102	2654	5009	1102	3836	2394	411	915	343	1957	698	511	505	285	950	704	769	532	925	304	289	390	1174	1154	4036	8575	9857	10678	1737	15836	1066	2002	710	3081	975	1084	1288	1149	2352	283	2197	2851	2852	2220	1444	379	1017	594	946	513	816	173	1473	11783	1151	7722	4212	2267	990	481	196	278	318	610	579	52056	91367	14129	639	8221	992	664	1495	530	610	4438	1140	1564	761	430	715	1090	2649	1759	2225	1691	681	336	314	12320	34526	6963	5167	989	236	758	650	666	1762	518	561	333	36	404	244	1216	549	581	106	3266	8942	2654	2108	501	300	200	660	419	177	268	200	158	165	45	375	235	211	89	860	3490	1187	1029	191	47	87	77	178	93	502	226	46	264	1560	121	83	98	66	519	62	1093	471	362	37	126	119	41	21	569	7426465
May-3 (aw1476@May_3-#9 of 36-(-)) *	1309812	131952	228323	23521	373	1527	1060306	559666	2848	8294	238878	443496	197150	14	3182	2616	19925	305	13550	500	2298	465	394	25218	250	3032	105	8954	44341	2893	20498	11576	2587	3637	2343	16958	4131	3452	45058	85432	630	4779	6065	1708	999	1637	3880	8605	4041	52599	68979	19355	124	3935	1723	3046	1228	3535	325	1093	2080	355	535	1054	2736	657	2205	1266	5301	265336	71737	15157	6435	29374	3443	310	857	2146	1405	7656	1358	8815	359	2186	1645	1004	2928	1535	564	887	2766	18972	25993	1216	5100	2572	2440	273354	1024	248034	1973	25517	62620	1307	2927	2058	1453	862	2002	268	878	794	913	6409	1469	2380	4448	1211	3430	2722	418	1115	385	2214	754	575	640	315	1074	712	996	581	1109	307	372	580	1415	1503	4281	8508	11344	9323	2421	23384	1226	2410	986	2872	1386	1280	1340	1338	2651	349	2881	2745	2644	2503	1715	445	1270	855	991	658	870	229	1732	11280	1101	7275	4114	2716	996	701	262	421	346	612	763	50493	84780	13528	733	7699	1068	687	1500	596	915	4310	1110	1838	813	541	805	1251	3290	1992	2210	1672	778	390	410	12101	32623	6794	4933	1064	522	1935	1635	1384	1722	610	627	359	46	411	391	1396	578	703	146	3316	8413	2618	2117	484	307	249	691	399	219	272	228	251	203	63	397	215	225	130	915	3244	1219	1041	215	81	117	80	199	104	2141	787	60	490	1378	142	121	133	83	881	88	1021	493	360	38	249	203	58	27	772	6597710
