m/z	1.0076	11.9996	13.0076	14.0151	15.0232	19.0182	22.9899	23.9844	24.9844	24.9933	25.0066	25.9838	26.0147	26.9809	27.0233	27.9870	28.0177	28.0294	29.0020	29.0394	30.0338	30.0428	30.9804	31.0000	31.0183	37.0062	38.0155	38.9650	38.9952	39.0243	39.9608	40.0275	40.9636	40.9813	41.0091	41.0365	41.9902	42.0103	42.0439	43.0003	43.0202	43.0573	43.9692	43.9809	44.0220	44.0469	44.0581	44.9771	45.0148	45.0334	45.9494	45.9778	46.9476	46.9752	46.9950	47.9453	48.9511	49.0045	49.9442	50.0134	51.0225	51.9922	52.0292	52.9828	53.0014	53.0380	53.9873	54.0087	54.0426	54.9978	55.0187	55.0550	56.0227	56.0582	56.9642	57.0137	57.0340	57.0725	58.0396	58.0724	58.9929	59.0110	59.0316	59.0500	60.9518	60.9817	61.0073	61.9441	62.0127	62.9467	63.0212	64.0278	64.9485	65.0375	65.9891	66.0437	66.9970	67.0548	68.0237	68.0571	68.9944	69.0123	69.0345	69.0722	70.0748	71.0517	71.0886	71.9472	72.0888	72.9518	73.0606	73.9861	74.0118	75.0206	76.0276	76.9978	77.0362	78.0429	78.9520	78.9809	79.0525	79.9493	80.0556	80.9446	81.0339	81.0719	81.9509	82.0716	83.0484	83.0910	84.0880	85.0025	85.1093	85.9607	86.0110	86.9641	87.0195	87.9402	87.9744	88.0258	88.9304	88.9475	89.0344	89.9876	90.0422	91.0522	92.0564	93.0693	94.0701	95.0474	95.0902	96.0865	96.9558	97.1068	97.9588	98.0102	99.0196	99.9725	100.0309	100.9811	101.0347	102.0417	102.9621	103.0495	104.0209	104.0564	104.9433	105.0302	105.0693	106.0304	106.0686	106.9105	107.0456	107.0862	107.9112	108.0869	109.0010	109.1051	110.0095	111.0177	111.9732	112.0239	112.0910	113.0306	114.0409	115.0488	116.0520	117.0587	118.0688	119.0839	120.0851	120.9488	121.1008	122.0076	123.9057	126.0377	127.0461	128.0513	129.0581	130.0589	131.0365	131.0814	132.0811	134.0046	137.0254	139.0444	140.0474	140.9052	141.0572	141.8847	142.0626	142.8836	143.0765	143.8758	144.0704	144.8788	145.0954	146.0075	147.0689	149.0189	150.0248	151.0299	152.0451	153.0468	154.0496	155.0734	156.0727	157.0912	157.9977	162.0189	163.0368	164.0350	165.0548	166.0532	167.0685	168.0615	169.0944	170.0013	170.8545	174.0239	175.0228	176.0414	176.8809	177.0425	178.0545	179.0648	180.0705	181.0872	186.0129	187.0273	188.0293	189.0465	190.0440	191.0563	192.0579	193.0907	197.1579	198.0211	198.9058	199.0246	200.0328	201.0344	202.0501	202.8759	203.0571	204.0635	204.9072	205.0659	206.0811	208.9888	210.0172	211.0216	212.0261	213.0428	214.0459	215.0625	216.0642	217.0758	222.0094	223.0186	223.8059	224.0219	225.0303	226.0472	227.0467	228.0509	229.0750	230.0814	232.0683	235.0265	236.0313	237.0338	238.0306	239.0553	240.0563	241.0647	242.0666	246.0521	248.0241	250.0399	251.0429	252.0581	253.0649	254.0665	259.0256	262.0315	263.0484	264.0628	265.0610	266.0721	273.0350	274.0292	276.0523	277.0586	278.0626	279.0765	286.0292	287.0405	289.0584	290.0688	291.0744	296.0057	299.0271	300.0474	301.0482	302.0624	303.0707	309.0203	311.0315	313.0527	315.0702	324.0385	326.0566	335.0248	337.0432	346.0115	349.0378	359.0202	370.0060	372.0230	374.0462	385.0299	387.0499	
May-3 (aw1476@May_3-#1 of 36-(+)) *	26521	3899	5861	13101	38906	3515	36044	593	66	89	2213	191	33500	7969	363093	3723	13750	54860	26143	372642	11543	18633	2486	3201	22286	8398	30658	24821	20772	371821	4477	49819	4169	4593	34786	687378	10933	10335	79986	28318	106470	347439	2318	998	8963	6412	23781	147918	6256	15089	6062	8516	3805	6159	3701	55239	24623	1909	5662	48738	151727	431	54108	29950	17912	185714	6233	3074	51985	12323	88478	341574	8618	53847	6310	5747	25810	221779	4022	17635	1664	830	3181	7085	3254	2488	7963	5444	29225	7642	100875	21516	15690	105447	7867	28926	10795	116716	6411	27587	4951	4314	18000	93235	24426	15284	49153	3664	4394	7784	15588	4122	28132	47156	31593	52055	208396	54880	4042	11733	80025	4081	28323	13830	10640	56921	7991	18052	9681	24318	8400	3104	10064	3181	15912	3040	28551	2009	1596	9677	404	6024	28210	2214	9401	141414	19444	27717	14001	7886	26695	10068	1760	8635	1859	12730	14159	1317	6742	3676	10319	23841	3695	29748	9079	12261	8346	54424	36955	5463	12942	554	6507	11189	2223	6994	1936	8648	7022	8369	882	2438	7973	9817	7313	99523	27091	34430	9148	9976	6582	3164	4386	7301	1226	18993	30951	89686	39124	14353	6400	10565	4980	4170	5532	38365	10019	2093	46320	3751	14787	3608	10015	10281	7703	4326	3911	3181	3681	48521	21404	28382	72954	42860	18268	13932	7080	3950	1888	5740	24654	20490	89764	26087	28635	10354	4254	1956	385	6478	7839	30515	1808	17868	54638	26889	8826	5394	4021	14808	11066	55759	23640	30003	12790	5573	4839	4185	2605	4945	18631	15397	55581	2107	31208	15768	1373	12624	7515	2887	2234	7034	5095	22943	8656	35265	13906	8801	3403	3753	3204	12249	9040	30080	18524	19832	11629	5430	11941	6477	4491	13061	6952	33113	12451	12329	6063	3368	7956	19630	9288	20460	13089	6418	4380	5526	19796	6658	15712	6195	3437	8919	17383	11007	7006	5680	3557	10520	13997	6205	5397	3414	4020	11673	6715	8184	5815	3753	7109	11289	5962	7172	7800	4429	8236	2390	3108	2749	1937	2756	4333	2927	3770	12464425
May-3 (aw1476@May_3-#2 of 36-(+)) *	27978	5024	6667	12543	30239	2129	44586	825	85	102	2598	201	30267	7895	257768	3609	8727	35781	19292	210211	6650	10817	1749	1769	13080	9226	28871	22372	14324	292222	4352	36280	3287	3151	18625	402845	7722	6210	44960	18584	54723	153934	3000	918	4846	2887	11986	129489	3243	7730	5622	7360	3393	5528	2265	49759	21062	2131	4918	46823	136586	379	44209	27614	12896	131189	5086	1908	30235	8085	48306	175189	4374	27364	4037	2839	12576	105338	1834	8752	1016	402	1342	3335	2821	2157	6945	4910	29827	6659	97171	19159	13262	82158	6786	19782	8560	66307	3295	14812	2925	2526	9040	44423	10941	6243	19070	3680	1737	6990	6460	4157	29383	44980	26162	38074	158862	41526	2762	8100	50394	2848	16523	10518	5649	29571	5557	9443	4544	11177	4320	3291	4232	2983	17363	2496	29569	2082	1330	8811	309	5282	24496	2204	7238	100680	13109	15744	7926	3744	13326	5220	1563	3739	1827	14089	13107	1021	4795	3723	8325	20155	2683	22510	5228	8427	6697	31730	22709	3284	7733	489	3567	6151	2110	3775	1893	4196	8023	8677	727	2157	3929	8605	5972	81071	20442	22740	5764	5771	3833	2567	2389	7715	1060	16606	24954	69402	27241	9360	4020	6248	2983	4315	4756	33608	8011	1695	34014	3106	10360	2941	6334	8672	4874	3455	2205	3131	1719	18813	17578	24780	60020	32476	12781	9206	4460	2416	1962	5484	23026	17388	67421	18571	17050	6643	2566	1706	267	6997	6937	26704	1961	14127	40005	18725	5882	3299	4130	15965	10705	48658	18745	22141	8659	3527	2361	4564	2004	5073	19002	14263	47208	1551	22490	9753	842	7905	4113	2571	2134	7862	5395	23376	8057	29075	10652	5980	3712	4108	2531	13911	9470	28851	15978	15874	8850	3592	4505	6565	4563	14746	7199	30351	10722	9544	4470	2939	8503	19181	8727	18231	10870	4847	4519	5659	20483	6305	13097	4950	3521	10472	17123	9727	6006	4266	3809	12111	13283	5511	4373	3763	4443	12832	6882	7529	4952	4226	8641	12034	5316	8818	7914	5729	9459	3029	3627	3567	2220	3812	5367	3800	4770	9040344
May-3 (aw1476@May_3-#3 of 36-(+)) *	27991	6085	6974	11800	22352	1631	55213	410	53	88	3125	120	27251	7748	171525	3624	7468	25462	15952	107063	5019	6794	1106	1259	8422	9312	26322	21181	9298	212352	3565	25117	2639	2327	10693	201128	5502	5290	27333	12982	39495	67224	3760	1108	4285	2579	7549	111652	2249	5364	4013	6280	2282	4896	1417	34605	15409	2385	3575	42106	106570	340	33156	23662	9561	79901	4124	2107	20641	7590	38587	78287	4570	18119	3086	2202	10350	58301	2018	7163	708	418	1310	2728	1999	2173	7198	3557	27844	4983	81734	14915	9435	52471	5678	12898	6126	38545	3184	10417	2409	2070	8003	25604	8089	5683	10711	3540	1242	4779	6998	3821	29178	39291	18448	25436	95989	25406	2228	4946	28566	2295	11374	7663	4794	17968	4543	7428	4061	8274	3582	3824	3569	2190	18659	1806	27966	2215	1099	7586	318	4336	17953	1934	4902	55184	7336	9471	5648	3088	8984	4271	1182	2966	1299	16218	13360	765	4840	3791	6508	14001	1878	13008	2193	4697	5683	12902	11379	1704	4826	287	2298	3776	1370	2780	2284	2877	9888	9436	553	2175	4099	7041	4496	49530	11594	11791	3383	3122	2556	2099	1577	9106	766	12905	15926	38628	13627	5039	2103	3444	1716	5197	4151	23805	5461	1189	17460	2123	5039	2198	3141	6218	2493	2602	1198	3719	1478	5891	13804	17712	36882	17679	6443	4523	2111	1173	2137	4995	18009	12061	37177	9734	7804	3161	1222	1714	164	6413	5826	18174	1758	8910	20967	9271	2942	1668	3922	13765	8209	30109	10666	11172	4207	1721	1647	4504	1399	4626	15303	10320	27132	780	11500	4824	417	3668	2036	2164	2028	7719	4607	16767	5569	16055	5426	3040	3966	3923	1872	12434	7723	19564	9814	8222	4255	1802	1845	6375	4251	12553	5555	18558	6402	4898	2237	2719	8265	14344	6113	10661	5800	2685	4549	5042	14421	4452	7369	2670	3425	9308	11459	5831	3339	2133	3525	9829	8270	3453	2381	3874	4263	9858	4667	4750	2809	4402	8116	8355	3187	7669	5651	5696	7675	3429	3288	3956	2436	3978	4775	4115	4041	6353918
May-3 (aw1476@May_3-#4 of 36-(+)) *	27283	6604	7427	11205	19211	1386	66778	461	55	85	3255	144	25918	7103	142438	3284	5234	20444	13761	80717	3786	5243	879	736	7054	9483	24482	23318	7407	178268	3955	20578	2756	1864	7292	154913	4460	4300	20307	8989	30742	51127	3507	921	3111	1774	5835	93752	1392	4249	4099	5206	2596	4047	1034	36012	15224	2522	3555	38571	93304	274	27556	21219	7646	62637	3610	1243	15609	4057	29833	59967	2955	13200	3215	1148	7649	41386	1300	4750	639	237	666	2031	1934	2062	6691	3452	26074	4605	72272	12987	8823	42055	4839	9955	4938	28442	2038	7579	1915	1241	5172	18502	6050	3974	7867	3606	958	4911	4835	3730	27659	35404	16190	19339	76383	20381	1689	4532	21091	2100	8570	6903	3170	13191	3797	5337	2764	5642	2638	3808	2333	2217	17335	1622	25423	2005	945	6668	294	3677	14481	1852	3766	42234	5829	6855	4109	2111	6557	3138	1209	1838	1477	15325	12172	804	3798	3596	5390	11104	1662	10142	1778	3620	4935	10542	8563	1338	3474	262	1721	2887	1249	2029	2308	2052	9232	8863	551	1806	2641	5816	3547	38257	8935	8891	2409	2305	1912	1967	1163	9148	702	10694	12086	29639	10392	3741	1650	2410	1292	5451	3558	18897	4197	1059	13178	2106	3733	1905	2354	5830	1933	2408	839	3936	976	5414	11787	14521	28554	13676	4884	3183	1597	809	2436	4225	15029	9573	28052	7535	5861	2543	926	1897	146	5697	4888	14604	1694	6764	15363	6893	2137	1161	3637	11672	6834	23204	8249	7829	3254	1232	1502	4219	1252	4006	12559	8193	20593	673	8337	3359	346	2773	1520	2292	1957	6877	3916	13422	4351	11767	4042	2134	3818	3588	1682	10679	6352	14638	7212	6225	3045	1284	1310	5902	3892	10241	4566	13672	4739	3578	1657	2597	7315	11158	4692	7932	4203	1877	4280	4248	10737	3051	5258	1948	3117	7935	8476	4212	2405	1474	3145	7696	5919	2285	1610	3827	3365	7403	3566	3368	1958	4195	6699	6347	2146	5968	3987	4915	5840	3369	2571	3636	2445	3608	3757	3462	3021	5235732
May-3 (aw1476@May_3-#5 of 36-(+)) *	24226	5084	6176	10610	22836	1969	27866	333	36	77	2551	108	24241	6281	175434	3536	8606	28833	16265	141881	6526	9320	1042	1369	10625	7762	22295	18895	11099	199212	3541	26293	2534	2373	15609	248747	5254	6641	34937	13512	53612	104148	2670	1020	5835	3504	10990	87047	2802	7259	5658	5028	3329	4118	1711	49481	22361	1920	4990	33383	87611	329	29901	17537	9859	83796	3278	2606	25797	7052	52302	113457	6362	25804	3571	2461	15135	99137	2947	10823	813	517	1627	4146	2691	2067	6122	4863	21755	6844	63385	12134	13384	49940	4146	14058	5209	51361	4318	14347	3008	2547	11090	38667	11466	7851	15886	3232	1843	6070	10358	2947	22263	30561	14807	24635	86163	24349	2803	5379	34934	3040	14619	10755	6249	25787	6318	10557	5684	12213	5190	3213	5234	2522	14269	2255	20818	1781	1172	5970	380	3874	14272	1470	4162	56903	8467	12792	7685	4328	13291	6057	1344	4245	1399	12616	10326	939	4672	3090	5456	11220	2294	12183	2261	5043	5280	13912	14315	1957	6367	414	3008	5499	1677	4075	2146	4451	7807	7416	667	2024	5814	5530	3528	42232	10895	13372	4099	4163	3534	2216	2465	7508	992	10389	13337	34369	13872	5476	2435	4215	2221	4497	3612	18427	4557	1505	16544	2915	5062	2987	3666	8879	2994	3527	1595	3283	2019	7313	10342	13416	29844	16103	6192	4810	2537	1513	2004	3693	13077	9511	31298	8726	8231	3253	1543	1692	209	4626	4350	13621	1476	7385	18048	9206	2871	1905	2967	9513	5869	22850	8655	10545	4209	1798	2442	3261	1361	3254	10130	7294	20684	767	9891	4267	463	3991	2208	2331	1586	5163	3214	11461	3952	12598	4612	2952	2989	2802	2522	8130	5154	13301	7190	6647	3720	1623	2033	4912	3024	8068	3571	13029	4596	4025	1960	2335	5417	9283	4320	7683	4559	2070	3422	3311	9520	3002	5507	2088	2613	5870	7529	4206	2392	1825	2426	6062	5411	2391	1812	2843	2766	6082	3035	3088	2059	3118	4977	5403	2262	4582	3471	3681	4933	2221	2206	2552	1741	2411	2846	2449	2300	6311208
May-3 (aw1476@May_3-#6 of 36-(+)) *	24119	5684	6622	10362	20083	1574	35448	457	71	66	2818	112	23425	6480	150207	2835	6281	23860	14458	108624	4425	7313	1001	880	8686	8053	22114	18350	8275	174152	3649	21828	2533	1909	10013	194389	4797	5091	27315	10820	40571	80287	3244	758	4073	2485	8680	88540	1882	5943	4749	5072	3089	3808	1339	41330	18713	2111	4231	32766	81675	233	26024	18454	7762	68236	3338	1460	20015	4252	40150	87056	4221	19350	3268	1350	10678	70015	1794	7564	719	285	1040	3144	2374	1800	5877	4162	21826	5613	60458	11416	10345	41858	4082	11256	4581	39055	2594	10955	2322	1442	7590	28769	8734	5716	12182	3131	1439	5087	8166	3123	22142	29526	13875	18846	72816	20234	2132	4979	26403	2522	11423	8074	4058	19231	4849	8115	4083	8793	3966	3070	3629	2406	14168	1912	20518	1826	1016	5770	403	3637	12546	1553	3467	44817	6627	9411	5855	3044	9632	4558	1098	2971	1403	12524	10211	811	3938	3184	4739	9827	1976	9873	1980	3699	4845	11449	10425	1479	4735	309	2282	4017	1287	2930	1990	3085	7540	7243	537	1662	4224	4921	3112	35156	8827	10472	3134	3041	2549	2128	1674	7683	799	9122	10770	28413	11003	4303	1940	3183	1695	4550	3164	16331	3850	1150	13164	2393	4039	2324	2702	6675	2438	2742	1134	3419	1549	7230	9871	12184	25584	13189	5051	3614	1980	1061	2038	3504	12201	8459	26104	7231	6636	2724	1144	1719	157	4542	4107	12041	1417	6094	14986	7228	2319	1262	2932	9352	5449	20316	7355	8505	3434	1359	1833	3386	1193	3289	9784	6737	18004	741	8123	3535	372	3097	1697	2216	1523	5127	3142	10617	3480	10725	3752	2300	3052	2787	2121	8096	4851	12171	6324	5680	3038	1296	1732	4819	2951	7607	3595	11613	4060	3335	1663	2161	5578	9144	3921	6605	3761	1796	3472	3326	8473	2269	4823	1739	2442	5726	6800	3668	2204	1554	2443	5659	4924	1964	1464	2968	2661	5727	2697	2793	1749	3089	4914	4858	1928	4424	3210	3798	4387	2322	2012	2709	1862	2626	2780	2487	2181	5340749
May-3 (aw1476@May_3-#7 of 36-(+)) *	27918	5828	6855	11573	22446	1598	34868	597	78	100	2938	189	26719	7603	173680	3855	7465	25398	16075	116830	5035	7141	1197	1500	8794	9225	25475	17632	10926	209204	3151	25519	2459	2337	15743	221809	5783	5613	28566	14121	41526	78112	3844	1149	4369	2524	7912	107788	2375	5561	5129	6039	3066	4826	1433	43817	18676	2466	4463	40088	102837	362	32252	23025	10296	81881	4117	2393	20567	8251	40208	91117	4803	17947	2981	2445	12272	59963	2176	6602	770	460	1159	2623	2480	2159	6742	4208	26609	5803	77909	14515	11248	52409	5486	12968	6108	40360	3126	10123	2523	2032	8120	26548	7680	5445	10966	3750	1240	5937	6427	3713	27698	37068	18097	25615	95776	25855	2372	5571	30124	2473	11148	8659	5055	18973	4786	7145	3864	8042	3371	3794	3231	2529	17278	2074	25739	2243	1057	7060	345	4232	16870	1947	4673	58168	7779	9766	5485	3200	9163	4026	1318	2784	1635	14962	12478	891	4469	3684	6174	13252	2044	13211	2447	5008	5728	14546	12499	1798	4951	425	2390	4004	1584	2701	2187	2927	9017	8699	638	2177	3418	6578	4134	49683	12114	12858	3519	3346	2495	2227	1621	8351	892	12261	15296	39808	15013	5426	2347	3636	1906	5070	3911	22697	5158	1291	18760	2422	5469	2523	3413	7332	2696	2952	1339	3626	1376	7226	12776	16799	36649	18623	6978	5025	2537	1323	2178	4362	16771	11235	37994	10063	8535	3539	1354	1725	202	5733	5490	16986	1807	8722	21046	9875	3120	1807	3656	12342	7437	29146	10648	11786	4513	1869	1679	4083	1479	4113	13783	9333	26491	875	11729	4884	455	3990	2086	2257	1891	6718	4141	15397	5213	16270	5621	3030	3613	3430	2197	10844	6886	17792	9456	8327	4296	1768	1861	5781	3932	10776	5073	17723	6030	4924	2367	2576	6974	12656	5663	10303	5779	2627	3940	4466	12721	3904	7327	2658	3070	8091	10294	5495	3292	2232	3005	8444	7565	3130	2246	3313	3532	8382	4115	4271	2623	3821	6706	7578	3045	6325	4905	4806	6396	2907	2544	3279	2138	3259	3927	3255	3281	6343723
May-3 (aw1476@May_3-#8 of 36-(+)) *	23908	6201	6738	10335	19031	1595	37986	404	57	74	2858	101	23311	6389	144837	2763	7250	24837	14028	109432	5520	7826	777	821	8595	8577	21873	21869	8248	169211	3205	21625	2613	1845	9601	188912	4001	5318	28400	8966	44944	82142	2775	832	4649	3152	9766	73213	1858	5930	5509	4282	3429	3385	1194	48500	20286	2283	4657	33188	79307	261	25929	16451	7713	67403	2772	1578	21605	3438	44337	86725	4774	22216	3156	1319	11980	74276	2082	8217	660	297	1160	3507	2657	1865	6364	5124	22289	6770	60630	11063	12665	40596	3867	11671	4049	41447	3084	12535	2442	1500	9318	31730	10806	6278	13830	3387	1608	6526	8924	3059	23071	29709	13084	18405	67506	19501	2329	4535	27099	2787	12903	9915	4772	21218	5703	9429	4640	10284	4580	3506	4232	2756	14808	2270	21262	1891	1061	5656	348	3533	12217	1519	3416	43776	6692	10500	6813	3544	10891	5317	1504	3576	1629	13615	10582	904	4299	3191	4662	9543	2042	9811	1874	3881	4583	9209	10685	1455	5296	366	2523	4340	1859	3334	2244	3632	8401	7659	626	1763	5539	5050	2968	33188	8398	10148	3323	3202	3037	2130	1901	8370	1001	9102	10371	26045	10197	4254	1991	3224	1835	5190	3313	15762	3708	1427	11961	2867	3740	2860	2600	8760	2409	3453	1173	3732	1760	6599	9636	11351	23574	12206	4678	3473	1932	1073	2276	3529	11752	8197	24324	6651	6656	2757	1045	1956	194	4529	3997	11389	1971	5953	13676	6659	2293	1346	2983	8776	5418	17909	6840	7738	3117	1424	1959	3365	1171	3138	9226	6065	15818	679	7477	3417	362	3014	1894	2279	1652	5176	3059	9514	3148	9381	3482	2190	3078	2869	2581	7610	4623	10555	5353	5013	2577	1222	2289	4853	2935	7213	3237	9967	3456	2879	1450	2327	5529	8090	3519	5626	3280	1543	3580	3016	7325	2156	4087	1532	2426	5415	5704	3038	1805	1198	2311	5131	4152	1660	1319	3031	2526	4949	2298	2315	1424	3110	4477	4233	1652	3956	2726	3496	3929	2365	1800	2649	1889	2459	2362	2269	1939	5372230
May-3 (aw1476@May_3-#9 of 36-(+)) *	22855	6017	6305	9989	21930	2358	34612	359	42	66	2704	93	23157	6390	170952	3350	11801	33634	17475	160501	8449	11806	859	2148	12546	8166	21263	25373	12193	182689	3277	26007	3121	2394	19774	251038	4844	8731	43189	13902	70129	139040	2726	1294	8149	5269	16183	77976	3191	9761	6034	4542	3746	3724	1734	53148	23960	2130	5172	31312	76355	432	27461	14919	10745	79226	2924	3583	33098	7741	75167	127867	9431	36537	3964	2923	22781	133020	4127	14825	876	721	2170	5616	2957	2241	6897	5605	20494	8036	55187	10433	14788	42790	3512	14586	4277	61617	6152	20600	4486	3198	17148	53442	17637	11592	24954	3465	2588	6779	15845	2826	21508	28443	12480	22406	71633	21278	3507	5366	36417	3667	20088	13556	8637	33487	8276	16026	8192	17824	7961	3631	7551	2768	14663	2660	19193	1992	1423	5505	383	3803	11770	1432	3570	48096	7991	15416	10894	6216	18161	8984	1582	6181	1515	13600	10496	1313	6182	3052	5095	9070	2553	10200	2157	4667	5369	11536	14282	2120	7993	460	3680	6931	2056	5463	2413	5817	8803	7330	767	2508	10219	5347	3286	30896	8368	12293	4740	4510	4804	2620	3073	8769	1195	9473	10087	24721	10906	5125	2473	4447	2720	5209	3875	14536	4165	1697	11444	3496	3705	3565	3168	10064	3031	4211	1730	3933	2863	7668	9313	11078	22334	11723	4817	3721	2278	1332	2366	3690	10984	8578	24516	7331	9432	3316	1378	1878	223	4123	4074	11497	2034	6655	15045	7912	2737	1770	2884	7573	4906	16116	7000	8958	3642	1777	3200	2970	1273	2920	7791	5651	14144	615	8523	5030	486	4067	3149	2244	1527	4354	2727	7933	3029	8158	3567	2644	2696	2548	2869	6220	3849	8541	4697	4551	2569	1505	5726	4599	2829	5842	2724	8036	3279	2778	1471	2335	4962	7463	3294	4761	2860	1440	3249	2667	5944	2061	3561	1411	2282	4054	4659	2592	1597	1225	1973	4049	3340	1429	1155	2532	2172	3998	1945	1995	1306	2778	3699	3433	1450	3060	2179	2818	3195	1941	1614	2108	1553	2014	1827	1811	1594	6587813
May-3 (aw1476@May_3-#10 of 36-(+)) *	24722	8403	7884	9420	12971	1048	48139	703	80	102	3530	139	20884	6120	90391	2749	4225	14127	11159	55139	2983	4214	575	498	4963	9477	19772	20697	4727	111351	3361	13033	2293	1509	5280	95267	3033	3404	15029	5633	23882	40235	3604	838	2660	1656	4841	62415	1092	3236	4537	3588	2935	2995	700	40062	15139	2721	3707	29372	58717	226	16882	14643	5315	36592	2327	1080	11348	2978	23610	42179	2667	10891	2450	937	6248	35952	1157	4245	426	228	679	1805	2057	1813	6735	4022	20737	5312	48035	8114	8986	23276	3057	6292	2575	20256	1710	6035	1410	898	4347	15322	5157	3555	6804	3278	840	5307	4385	2798	22847	24107	9684	11614	39069	11164	1571	2756	13745	1996	6496	6653	2627	10240	3679	4566	2443	5028	2410	4135	2168	2226	15428	1566	18854	1993	723	4365	276	2903	8217	1243	2001	22324	3341	5131	3318	1788	5439	2627	1412	1774	1454	14254	9386	694	3050	3076	3131	6014	1311	5101	989	1894	3608	5271	5319	796	2672	261	1224	2222	1579	1644	2700	1846	9226	7332	479	1507	2471	3531	1972	19067	4645	5163	1709	1553	1509	1951	973	9299	697	6037	6184	14404	5354	2310	1068	1590	964	5845	2389	10070	2227	1034	6396	2117	1969	2053	1372	6281	1271	2478	569	4429	837	3890	7004	7370	13818	6710	2594	1764	1056	549	2661	2746	8267	5004	12986	3521	3159	1478	589	2274	136	3643	2959	7088	2319	3402	7105	3370	1146	658	2518	6729	3539	10741	3835	4061	1695	672	1170	3053	862	2435	6620	4067	9278	404	4044	1699	191	1524	997	1889	1399	4273	2247	6328	1970	5162	1882	1107	2730	2431	1917	5727	3150	6601	3283	2757	1369	624	804	3968	2422	5019	2270	6028	2010	1584	818	2077	4401	5212	2236	3335	1751	880	2981	2139	4727	1304	2285	788	1847	3656	3508	1808	961	674	1642	3510	2465	989	727	2546	1734	3125	1466	1417	781	2656	3103	2560	969	2729	1666	2407	2456	1864	1197	1995	1585	1791	1597	1533	1291	3668312
May-3 (aw1476@May_3-#11 of 36-(+)) *	24026	8642	7995	9288	10829	725	72865	592	99	82	3718	144	19931	5967	74565	2528	3233	10812	9605	40072	1841	3060	504	347	3598	9605	18890	25821	3867	95873	3902	10586	2588	1268	3997	73925	2592	2524	10790	4571	16954	29888	3882	595	1706	1003	3475	57677	693	2383	4625	3119	3057	2660	542	40274	14252	2725	3796	28220	52958	191	14509	14088	4437	28178	2056	791	8199	1662	16862	31683	1800	7572	2487	482	4356	26661	698	2786	285	119	374	1108	1896	1754	6170	3935	20455	4879	45566	7153	8048	18719	2842	4794	2322	14476	1195	4332	1139	597	3040	10795	3475	2161	4755	3275	541	5223	2835	2883	22359	22898	8492	8578	31821	8884	1168	2411	9924	1640	4802	5709	1709	7111	2828	3256	1579	3289	1645	4182	1471	2294	14873	1465	18229	1896	661	4006	272	2789	6781	1206	1694	17413	2577	3641	2373	1245	3824	1869	1429	1149	1709	14137	8889	630	2459	3096	2629	5100	1066	4267	742	1404	3248	3667	3847	557	1933	276	892	1572	1508	1235	2647	1212	8764	7001	428	1283	1847	3052	1611	15164	3651	3979	1284	1114	1057	1890	701	9098	678	5293	4892	11423	4057	1726	751	1189	717	5878	2066	8534	1880	983	4963	1790	1536	1853	1016	5843	883	2217	431	4344	614	2879	6160	6402	11518	5244	2089	1244	749	414	2781	2462	7224	4226	10670	2894	2527	1198	407	2238	111	3482	2640	6150	2331	2780	5684	2517	872	471	2376	6071	3155	8818	3128	3115	1385	480	734	2802	741	2247	5797	3346	7400	361	3049	1309	188	1139	697	1742	1342	3995	2101	5548	1669	4096	1475	784	2721	2310	1724	5493	2861	5385	2507	2145	1036	494	622	3768	2112	4537	1962	4904	1696	1211	627	2028	3975	4505	1764	2690	1366	657	2904	1889	3807	950	1774	580	1762	3374	2986	1457	768	525	1576	2907	1925	726	545	2464	1553	2721	1236	1063	599	2429	2888	2027	721	2356	1302	2310	2097	1907	1085	1789	1510	1614	1338	1464	1036	3179878
