m/z	1.0087	12.0006	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9996	18.9987	24.0008	25.0090	26.0047	26.9820	27.0055	27.0250	27.9761	28.0211	28.9839	29.9721	29.9919	30.9806	31.0186	31.9890	32.9798	32.9972	34.0054	34.9699	36.0004	36.9667	37.0082	38.0167	39.0130	39.0268	39.9744	39.9937	40.0183	40.9802	41.0017	42.0000	42.9814	43.0018	43.0220	43.9713	43.9900	44.0164	44.9774	44.9970	45.9922	48.0003	49.0077	50.0071	50.9837	51.0241	51.9753	51.9957	52.0233	53.0028	53.0401	54.0130	55.0196	55.9715	56.0217	56.9867	57.0372	57.9810	58.0091	58.9894	59.0157	59.9675	60.9742	61.9703	62.0152	62.9653	63.0217	63.9401	63.9678	63.9948	64.0285	65.0034	65.0384	66.0005	66.9895	67.0180	67.9730	68.0131	68.9979	69.0360	69.9766	70.0311	71.0139	71.9996	73.0069	73.9822	74.0105	74.9895	75.0238	75.9617	76.0338	76.9704	77.0430	77.9674	78.9613	79.9317	79.9611	80.9588	81.0365	81.9515	82.0326	82.9755	83.0117	83.0516	83.9644	83.9988	84.0495	84.9747	85.0151	85.9690	86.0145	87.0160	87.9414	88.0260	88.9466	88.9988	89.0390	89.9463	89.9973	90.0379	91.0229	91.9553	92.0296	92.9632	93.0367	93.9367	93.9794	94.0359	94.9419	94.9921	95.9414	96.0065	96.9427	97.0075	97.9467	98.0297	98.9440	99.0229	100.0353	100.9710	101.0450	101.9684	102.9726	103.9415	104.9456	105.0388	105.9405	108.0097	109.0091	110.0234	111.0246	111.9374	112.0272	114.0359	116.9456	117.0335	117.9469	118.0423	118.9541	119.9328	120.0266	120.9407	121.0346	121.9318	121.9720	126.0470	126.9576	127.1171	133.9554	134.0506	134.9565	135.9275	136.9358	137.9337	138.9021	138.9346	140.9225	143.9877	145.0203	147.0130	151.0330	156.9047	157.9039	158.8972	160.9158	164.9142	174.8793	175.8770	176.8761	178.9039	179.8985	180.9054	181.9038	182.9041	194.9232	195.8932	196.9010	197.8991	198.8983	199.8952	202.9320	203.0539	204.0740	205.1551	216.8678	217.8649	218.8642	219.8685	220.7071	220.8839	223.0669	238.8539	240.8549	254.8224	255.2016	255.8482	256.8630	257.8580	258.8583	259.8573	260.8680	273.8678	274.8708	275.8547	277.1583	277.8248	278.8270	279.8668	280.8461	283.2267	298.8236	299.8174	300.8235	311.1803	315.8204	316.8253	317.8198	318.8167	320.8087	322.8203	339.2207	342.8398	358.7980	360.7925	361.2082	362.2203	364.8509	366.2197	376.7869	380.7793	395.3775	400.7157	402.7805	407.2849	423.3012	436.7623	437.7542	438.7622	444.7532	448.2842	449.3003	451.3175	466.8231	473.2985	
May-F4 (aw1476@May_F4-#1 of 36-(-)) *	2414783	135472	362786	65396	1509	5263	1111737	821334	3181	2935	159044	482506	380206	11	5165	4849	34844	1502	35154	885	6824	1270	2396	22704	1800	3744	195	11046	34318	3460	26848	24078	6656	10964	3015	17859	11964	9282	77153	156999	947	5055	10817	9018	2516	3375	14145	14297	2388	31610	78644	34148	190	11336	2361	4582	3165	4956	909	2961	4541	957	1792	4089	3709	6115	7545	11741	18130	241785	126938	16792	13064	28947	10899	272	1727	3704	6005	15003	4860	27981	710	5818	2640	2819	4251	3114	1914	2309	7505	10613	32329	7805	9905	55077	15550	138032	2836	266936	7104	22235	60396	1022	9400	3917	4463	1229	8685	919	2159	1991	1491	3846	19893	4824	5944	2996	6139	7336	599	3884	1092	4409	9365	685	2616	3406	7152	718	4290	898	4042	212	861	1760	878	3573	3536	5965	11378	7373	1734	36972	1712	5190	5284	5623	3710	2909	2691	3734	8530	4771	2941	1956	2377	3272	3546	441	3041	2341	6960	3788	4949	10320	8856	23657	2296	21936	8927	3881	1401	3612	423	1555	2286	8735	11337	29742	108699	14904	648	9775	982	581	1363	2347	3709	1192	737	1760	1331	1803	679	918	2917	4272	4872	6227	1716	1048	4135	7412	43354	7905	6860	1175	716	4868	3751	4243	561	416	592	383	106	845	4096	1932	1587	1374	550	2460	11518	3504	3012	806	612	695	2013	661	927	251	246	447	527	702	581	364	564	895	597	4113	1573	1407	379	231	549	383	452	296	2196	1468	259	2462	1828	322	348	318	268	2783	372	1257	637	485	197	813	1274	302	144	1850	9430771
May-F4 (aw1476@May_F4-#2 of 36-(-)) *	2600317	140199	353146	59742	636	3605	1620733	1067922	4312	4474	198498	561791	265392	16	3687	3150	41718	649	37341	1046	6573	1314	2117	34801	579	5333	249	8997	42760	2798	30355	22557	3788	8529	3487	20732	6191	9168	67758	67765	872	4342	6960	9160	2111	1242	15483	11979	1888	40358	85268	27183	145	9315	2691	4119	1894	4526	603	1837	2756	985	823	3231	1990	4221	4253	8402	9355	390686	169041	23346	11885	37111	8670	307	1245	2790	4155	12189	3238	17303	468	3498	2680	1423	2934	1725	1104	928	3891	11669	29113	7172	8198	45697	11713	274022	2366	410244	6247	34959	73435	1053	3897	2598	2390	810	4633	486	1150	1010	1430	3522	10936	4900	4616	1785	4912	4977	539	2877	1021	3360	5923	620	1927	2320	4355	756	2728	824	2856	238	507	908	950	2023	3317	4106	8641	6314	1594	20165	1187	3131	3164	5467	2242	1706	2054	3970	7967	3062	2693	1514	1841	2141	1947	378	1955	1419	6099	2463	3255	6497	6378	30973	1563	23786	6717	4342	1272	1954	293	804	1819	4996	9927	52469	152328	20671	672	12836	1104	404	971	1422	2056	1562	723	1872	1123	1796	658	1065	2946	3603	6273	6954	1953	1118	3876	12936	59293	11028	8844	1404	430	2615	1884	1642	652	365	541	320	78	734	1991	1879	1797	1159	234	3445	15795	4685	3691	940	564	775	2053	648	466	204	169	298	386	227	545	389	545	280	960	5817	2137	1817	361	159	205	247	304	278	1000	791	121	1086	2544	237	220	198	177	1240	181	1729	767	652	109	345	575	163	89	555	10444089
May-F4 (aw1476@May_F4-#3 of 36-(-)) *	2146567	141911	311510	40483	652	2069	1581546	906856	4080	5636	230825	568344	268314	14	3981	2402	35416	639	26655	897	4568	964	922	34517	495	4610	193	5957	45015	1920	27686	19178	3269	6420	3113	19010	5256	6338	52683	63521	806	3877	4845	4805	1240	1071	10048	8031	1189	45614	83746	25585	130	7451	2576	3126	1477	3654	435	1431	1759	667	751	1739	1385	1764	2781	3389	4880	385133	133313	21270	10072	37646	6560	343	1092	2392	3003	9310	2222	11791	415	2373	2416	1109	2040	1227	981	837	2833	13621	26917	3519	6680	16104	6300	321839	1270	358661	2318	33561	68830	1133	2917	2352	1939	690	4332	399	841	810	1360	4161	10982	4346	4668	1863	4617	3809	551	2038	624	2476	4331	587	1301	1450	2412	811	1434	704	1429	265	343	812	1031	1149	3251	4989	8132	7405	1428	19412	1076	2789	2723	4634	1561	1558	1506	2533	5142	1559	2462	1587	2078	2158	1801	403	1685	1093	2765	1316	2010	3874	3061	21529	909	14851	2942	3057	963	1747	272	418	895	2759	3340	57673	120062	17537	677	10476	1287	345	909	836	1172	3340	957	1986	1018	1092	602	965	2373	2248	4161	4064	1323	717	1445	13774	45955	8734	6787	1345	375	1511	1081	1268	1599	525	682	370	55	669	1378	1492	1059	785	148	3526	11927	3415	2805	676	436	412	1100	509	202	291	252	268	322	161	473	354	400	218	965	4411	1632	1372	313	113	136	188	265	167	682	675	97	930	1915	212	136	155	127	1374	144	1331	628	462	76	253	490	129	49	446	9291590
May-F4 (aw1476@May_F4-#4 of 36-(-)) *	1931079	150912	290500	32371	581	1125	2123368	976770	4716	7666	282812	632311	291030	12	4406	1487	38621	320	26564	968	3941	957	713	41447	348	4824	145	4757	54396	1487	29391	17805	2716	5272	3683	22379	3735	6173	52196	46672	776	4869	3373	4549	988	677	10107	6608	1059	57790	90954	26989	99	5923	3131	3116	981	3614	253	928	1208	773	368	1554	757	1396	1629	2191	2643	504509	151790	25592	9353	28333	5242	183	1140	2463	2136	8871	1300	8802	282	1740	2951	713	1760	661	1041	477	1531	17141	28863	2814	7077	9299	4089	451563	1066	435826	1520	41378	54163	643	2070	1401	904	521	2198	259	497	449	1717	5209	4683	4994	4664	2399	4440	2972	451	1542	575	2299	2029	359	1096	942	1409	1029	894	750	956	214	297	412	603	692	2189	5098	4888	8207	1086	11241	742	2056	1656	5530	830	1715	1403	2448	4108	874	1549	1710	2273	1845	1303	306	1167	702	2250	767	2108	2634	2441	23972	721	15197	2747	3055	959	954	208	178	678	1694	2052	77787	139937	20516	654	11537	977	382	968	640	557	2058	679	1134	1003	977	308	542	1317	1898	4733	4098	1299	673	892	18634	52746	10641	7500	1226	185	500	444	323	948	370	414	280	35	567	599	1003	1026	414	61	4318	13593	3798	2881	637	363	380	1032	420	96	173	147	172	239	63	414	309	355	83	1258	5144	1862	1357	224	53	61	110	176	159	161	152	72	471	2235	175	77	96	85	400	63	1676	723	553	44	99	139	54	32	115	10041193
May-F4 (aw1476@May_F4-#5 of 36-(-)) *	1634753	143354	250338	25721	471	759	2247918	910213	4933	8910	283462	588993	271691	11	4326	1097	36169	196	21744	872	3132	696	502	44424	287	4810	155	3420	53460	1128	27005	15310	2189	4224	3454	22341	2850	5174	45738	36436	658	5065	2527	3876	911	406	8480	5616	857	58640	85561	24803	98	4656	2822	3048	776	3425	184	731	853	695	261	1111	465	1070	1104	1549	1745	537904	144023	25740	8247	21182	4316	119	1045	2213	1656	7790	913	6505	197	1180	2808	538	1281	384	847	287	979	17952	27152	2097	6437	5573	3224	525538	830	455651	1177	45189	45462	410	1618	1117	663	301	1576	186	350	271	1572	5473	3594	4470	4494	2215	4112	2429	219	1128	356	1929	1477	203	894	641	1007	980	679	725	665	113	236	287	453	487	1527	5188	3415	8192	667	7507	422	1575	1214	5051	606	1521	1268	1939	2833	693	925	1801	2279	1615	1049	180	924	510	1606	535	1800	1829	1982	22700	701	12782	2511	2590	885	633	129	124	453	1271	1117	89486	144048	22063	564	11930	713	381	1022	484	381	1030	422	708	776	611	217	363	832	1758	4252	3259	1071	515	493	21126	54108	10901	7692	1164	144	383	322	242	463	191	270	146	29	427	379	867	735	296	49	4793	13356	3937	2713	575	269	314	756	327	82	112	78	110	180	47	323	288	284	71	1418	5235	1926	1339	178	50	36	97	169	116	200	140	45	282	2201	121	60	69	57	315	53	1544	659	467	36	56	124	34	18	97	9652753
May-F4 (aw1476@May_F4-#6 of 36-(-)) *	1616480	147244	255589	24983	473	837	2051071	866160	4613	9402	291234	597987	286283	11	4366	1217	34607	284	21069	837	2916	703	467	41203	256	4509	169	3511	54882	1099	26832	15593	2295	4183	3425	21677	3003	4998	44536	38883	615	4851	2638	3425	837	530	7613	5254	827	61317	88639	26365	83	4783	2670	2978	782	3389	210	799	937	697	288	1103	554	1028	1132	1425	1937	499571	135460	24309	8598	19828	4408	97	999	2245	1655	7933	1066	7208	223	1295	2645	542	1366	518	844	342	1183	19166	28941	1922	6890	4752	3333	483578	868	424510	1317	41926	42175	349	1605	1043	810	297	1861	175	381	377	1568	6043	4603	4290	4814	2203	4385	2542	207	1236	287	2089	1737	197	865	674	1038	993	669	655	731	119	245	361	402	513	1518	5950	3333	9253	645	9327	430	1621	1327	4920	663	1548	1246	1751	2753	634	975	1968	2469	1827	1253	227	908	556	1506	567	1784	1896	1910	21193	771	11891	2706	2300	955	744	153	174	478	1406	963	83157	134195	20071	542	11307	666	424	1074	523	404	803	359	697	747	608	191	332	825	1725	4095	3084	984	466	425	19334	49969	10010	6878	1021	148	695	538	489	291	158	238	148	23	381	525	896	657	283	72	4543	12632	3481	2526	490	271	284	745	251	68	71	90	117	168	61	302	267	250	83	1324	4732	1741	1192	184	55	42	91	183	97	355	277	49	418	1983	137	52	79	84	694	79	1494	671	479	39	116	220	54	22	136	9297095
May-F4 (aw1476@May_F4-#7 of 36-(-)) *	2193488	156140	331882	43345	682	1917	1756486	989121	4408	7863	264577	634312	279874	25	4076	2190	38181	520	29694	967	4895	1001	1045	37060	537	4849	190	6354	52465	2105	30821	21104	2980	6865	3521	21855	4742	6787	56979	56129	812	4266	4718	5347	1322	917	11178	8340	1198	54482	94617	27656	112	7530	2835	3598	1458	4029	438	1338	1786	788	533	1911	1173	1910	2760	3485	4884	439068	152963	23812	11040	32973	7049	245	1176	2619	3041	10184	2152	11555	372	2374	2870	1010	2180	1071	1071	764	2486	16133	30866	3709	7740	17700	7204	369100	1454	419586	2715	38691	63574	823	2840	1948	1627	585	3243	319	818	674	1602	5107	7836	5000	5292	2055	5004	3933	440	2046	641	2590	3749	417	1383	1494	2460	900	1433	731	1544	210	366	646	813	1131	2643	5175	6773	8546	1223	15055	863	2718	2419	5167	1378	1729	1615	2885	5436	1557	2076	1790	2245	2240	1716	350	1618	1064	3179	1228	2197	3983	3336	24983	1016	17326	3762	3225	1116	1396	253	360	1019	2811	4091	66605	143039	20522	678	12017	1221	416	1039	872	1040	2772	860	1561	1007	1171	494	757	1983	2326	5045	4845	1496	771	1627	15835	54753	10446	7963	1352	343	1702	1214	1118	1304	439	644	287	51	667	1243	1402	1210	669	145	3911	13952	4031	3167	736	488	489	1305	548	172	250	219	238	324	155	430	356	427	186	1117	5217	1920	1530	298	101	129	191	253	181	843	629	104	721	2250	219	146	138	134	1231	149	1651	699	526	59	247	426	88	55	470	10032772
May-F4 (aw1476@May_F4-#8 of 36-(-)) *	1726997	151247	279046	29948	498	1133	1838788	849587	4303	9732	285370	602304	263030	14	4111	1488	34281	370	22410	770	3476	733	544	37951	403	4354	148	4927	54615	1533	27747	16914	2495	4967	3306	21130	3643	5307	46847	44669	685	4050	3221	3549	837	661	8130	5929	894	60103	92048	25284	106	5796	2768	3077	1046	3560	268	1007	1194	653	394	1205	828	1140	1564	1876	2705	457914	130069	22714	9328	28246	5110	180	999	2294	2102	8120	1403	8786	325	1639	2644	648	1580	728	876	526	1651	18839	30862	2099	6991	6629	4023	433619	1059	390351	1643	38988	55358	709	1964	1503	1116	450	2710	251	538	525	1473	6117	6592	4367	5195	1976	4630	2999	343	1502	432	2168	2531	399	967	916	1463	946	880	631	917	173	239	513	649	740	2374	6337	5403	9513	976	12437	624	2050	1723	4745	995	1436	1272	1902	3438	905	1481	2196	2462	2067	1416	316	1197	645	1759	753	1815	2505	2187	20236	871	12552	3209	2558	945	1130	207	250	520	2004	1420	76836	127794	19272	544	10689	732	477	1197	661	640	1149	493	1205	870	703	397	644	1618	1766	3952	3268	1029	480	589	18347	48669	9819	7049	1057	206	1242	921	744	381	210	312	209	52	530	794	1040	871	447	110	4290	12505	3627	2683	550	303	314	767	306	128	103	104	165	235	120	370	247	319	129	1286	4897	1785	1359	217	59	93	127	205	152	688	461	59	568	2120	153	97	113	85	1052	110	1498	667	468	60	205	315	84	40	288	9167150
May-F4 (aw1476@May_F4-#9 of 36-(-)) *	1582967	164042	288294	27528	470	1169	1519244	695651	3677	10010	311615	621203	302218	13	4391	1679	28108	448	18224	669	2763	640	399	30905	325	3140	107	4397	57908	1388	27538	15977	2614	4579	3137	19821	3912	4560	44255	52394	661	3864	3387	2510	760	879	6013	5561	724	66966	97615	29032	111	5644	2571	2901	1025	3407	319	1035	1306	595	517	1034	1012	957	1951	1424	3330	372172	98184	18348	8983	29664	5207	208	1006	2440	2264	8280	1548	9683	297	1724	2454	782	1666	918	752	664	2006	22864	34217	1761	7754	4235	3677	354401	1048	296853	1334	30922	55148	765	2044	1573	1413	476	3448	263	671	657	1396	7402	8558	4039	6027	1908	4952	3064	414	1677	364	2362	2683	408	1004	1084	1529	822	950	531	925	202	290	624	660	660	2713	8049	6025	11651	1075	16869	641	2387	2298	4322	1111	1370	1209	1564	3057	1228	1624	2860	3005	2397	1692	330	1436	838	1257	900	1635	3101	1787	15768	1100	9613	3740	2016	1003	1456	219	300	557	2627	948	61753	95824	15134	588	8068	932	650	1637	685	769	2322	741	1352	846	581	385	642	1548	1478	3176	2490	828	428	368	14714	35312	7327	5146	1029	290	1592	1274	954	1048	362	431	257	45	507	911	1051	647	424	106	3505	9086	2559	2010	441	313	241	526	282	135	171	150	172	250	125	311	257	260	154	1007	3566	1308	1048	207	79	126	134	224	140	832	607	80	793	1492	139	123	124	98	1198	130	1061	476	335	65	228	372	94	46	325	8304253
