m/z	1.0076	11.9996	13.0076	14.0151	15.0232	19.0182	22.9899	23.9844	24.9844	24.9933	25.0066	25.9838	26.0147	26.9809	27.0233	27.9870	28.0177	28.0294	29.0020	29.0394	30.0338	30.0428	30.9804	31.0000	31.0183	37.0062	38.0155	38.9650	38.9952	39.0243	39.9608	40.0275	40.9636	40.9813	41.0091	41.0365	41.9902	42.0103	42.0439	43.0003	43.0202	43.0573	43.9692	43.9809	44.0220	44.0469	44.0581	44.9771	45.0148	45.0334	45.9494	45.9778	46.9476	46.9752	46.9950	47.9453	48.9511	49.0045	49.9442	50.0134	51.0225	51.9922	52.0292	52.9828	53.0014	53.0380	53.9873	54.0087	54.0426	54.9978	55.0187	55.0550	56.0227	56.0582	56.9642	57.0137	57.0340	57.0725	58.0396	58.0724	58.9929	59.0110	59.0316	59.0500	60.9518	60.9817	61.0073	61.9441	62.0127	62.9467	63.0212	64.0278	64.9485	65.0375	65.9891	66.0437	66.9970	67.0548	68.0237	68.0571	68.9944	69.0123	69.0345	69.0722	70.0748	71.0517	71.0886	71.9472	72.0888	72.9518	73.0606	73.9861	74.0118	75.0206	76.0276	76.9978	77.0362	78.0429	78.9520	78.9809	79.0525	79.9493	80.0556	80.9446	81.0339	81.0719	81.9509	82.0716	83.0484	83.0910	84.0880	85.0025	85.1093	85.9607	86.0110	86.9641	87.0195	87.9402	87.9744	88.0258	88.9304	88.9475	89.0344	89.9876	90.0422	91.0522	92.0564	93.0693	94.0701	95.0474	95.0902	96.0865	96.9558	97.1068	97.9588	98.0102	99.0196	99.9725	100.0309	100.9811	101.0347	102.0417	102.9621	103.0495	104.0209	104.0564	104.9433	105.0302	105.0693	106.0304	106.0686	106.9105	107.0456	107.0862	107.9112	108.0869	109.0010	109.1051	110.0095	111.0177	111.9732	112.0239	112.0910	113.0306	114.0409	115.0488	116.0520	117.0587	118.0688	119.0839	120.0851	120.9488	121.1008	122.0076	123.9057	126.0377	127.0461	128.0513	129.0581	130.0589	131.0365	131.0814	132.0811	134.0046	137.0254	139.0444	140.0474	140.9052	141.0572	141.8847	142.0626	142.8836	143.0765	143.8758	144.0704	144.8788	145.0954	146.0075	147.0689	149.0189	150.0248	151.0299	152.0451	153.0468	154.0496	155.0734	156.0727	157.0912	157.9977	162.0189	163.0368	164.0350	165.0548	166.0532	167.0685	168.0615	169.0944	170.0013	170.8545	174.0239	175.0228	176.0414	176.8809	177.0425	178.0545	179.0648	180.0705	181.0872	186.0129	187.0273	188.0293	189.0465	190.0440	191.0563	192.0579	193.0907	197.1579	198.0211	198.9058	199.0246	200.0328	201.0344	202.0501	202.8759	203.0571	204.0635	204.9072	205.0659	206.0811	208.9888	210.0172	211.0216	212.0261	213.0428	214.0459	215.0625	216.0642	217.0758	222.0094	223.0186	223.8059	224.0219	225.0303	226.0472	227.0467	228.0509	229.0750	230.0814	232.0683	235.0265	236.0313	237.0338	238.0306	239.0553	240.0563	241.0647	242.0666	246.0521	248.0241	250.0399	251.0429	252.0581	253.0649	254.0665	259.0256	262.0315	263.0484	264.0628	265.0610	266.0721	273.0350	274.0292	276.0523	277.0586	278.0626	279.0765	286.0292	287.0405	289.0584	290.0688	291.0744	296.0057	299.0271	300.0474	301.0482	302.0624	303.0707	309.0203	311.0315	313.0527	315.0702	324.0385	326.0566	335.0248	337.0432	346.0115	349.0378	359.0202	370.0060	372.0230	374.0462	385.0299	387.0499	
May-F4 (aw1476@May_F4-#1 of 36-(+)) *	24624	5256	7694	11879	20668	871	77360	122	11	30	1937	36	20429	3493	177252	1495	4594	22470	7369	157782	3593	6253	1383	1550	4903	5212	17454	93850	11560	202610	1083	23988	7868	1678	9766	312181	5331	2083	28292	17437	22941	110773	634	303	1588	1270	5613	52134	4637	3840	3115	3089	2125	2247	1887	28890	13113	1165	2938	27815	86701	164	30408	17185	6853	90967	3448	879	19265	5718	15625	127329	1327	15032	1175	2001	4129	91349	668	4680	1118	414	4228	4431	1435	1026	5946	2234	17727	3180	62937	12987	5454	58025	4294	13723	5940	46576	1600	8827	1680	1887	5010	29696	6040	1719	11115	2087	1051	4902	58235	1814	17470	33236	14818	20668	99202	26940	1224	3325	34262	1151	9430	3915	2609	18988	2444	4588	2397	8895	2572	2162	3710	1903	10201	2177	17686	992	1037	5430	273	4174	16731	1482	5746	71401	9373	9465	4076	1595	8680	2565	1037	2871	1089	7984	7640	704	2414	2437	5542	13869	2588	15812	1903	6178	4140	8881	13472	1503	4430	188	2130	3384	897	1771	1119	2502	4338	4871	508	1147	3966	5342	3898	54666	13703	15263	3615	3734	2743	1436	1350	3996	586	9905	16687	44343	17209	5805	2731	4185	1715	2738	3532	21118	5419	529	21247	1367	6415	1499	4123	4030	2689	2022	1476	1711	6501	4410	10025	14942	36032	19179	7535	5647	2707	1451	905	3395	13440	10437	41107	11258	9784	3728	1519	814	174	4032	4390	15610	763	9080	23795	11989	3778	1967	2379	8916	6288	29211	11677	14867	5688	2355	468	2861	1043	3001	10748	8482	27478	565	13195	5881	299	5336	2590	1672	1260	4210	3009	13050	4898	17176	6546	3874	1965	2305	1364	7452	5492	16338	9403	9355	5031	2244	2062	3655	2613	8203	3994	16821	6560	5805	2927	1586	4408	10136	5407	10312	6400	3126	2372	3323	11057	3647	7952	3216	2065	5497	9080	5438	3510	2674	2041	6146	6920	3180	2620	1975	2526	6655	3721	4268	2767	2273	4496	6037	3030	4376	4229	2711	4814	1504	1847	1807	1064	1769	2519	1926	2319	5906314
May-F4 (aw1476@May_F4-#2 of 36-(+)) *	29245	7378	10053	13588	21832	935	29441	49	12	45	2912	33	25528	4918	184993	2108	3644	21468	9931	126315	2345	4527	1506	1584	5020	7879	23611	15187	10026	223699	695	24817	1582	1765	7811	260991	6009	2043	22836	16495	18347	74994	1277	421	1131	673	3736	78262	3697	3130	3018	4335	1953	3216	1833	28019	11753	1807	2736	39568	110470	178	34037	24985	8156	87306	4487	842	15041	6448	12088	92591	914	9952	639	1897	3116	45235	416	2477	1021	338	3025	2674	1336	1390	7035	2511	26450	3613	83840	15569	5928	60062	5980	12692	7262	34252	1075	5650	1404	1591	3117	17825	3214	1223	6642	2709	517	4969	31940	2397	27138	41724	19653	21041	111408	27923	1022	3879	28718	1117	6941	3866	1807	12695	2057	2758	1500	4598	1330	3110	1592	1991	16300	1873	26439	1350	841	7724	218	5036	20875	2155	5860	67752	8038	7071	2724	1013	5203	1588	1129	1433	1178	13670	11761	660	3251	3389	6875	16409	2112	16172	2197	5777	4964	11777	11436	1352	3159	220	1568	2396	1075	1150	1720	1561	7677	7787	476	1686	2020	7388	4970	61534	13975	13429	2768	2647	1591	1573	887	6691	593	13518	19796	47170	16720	5284	2134	3317	1288	3954	3981	26620	6364	542	21959	1424	6045	1514	3595	4688	2241	2029	1065	2704	3410	5638	13822	19434	42738	20741	7553	5388	2325	1175	1378	4542	18950	13203	47630	12170	9750	3507	1277	1143	133	5813	5876	20308	1094	10688	26673	11740	3644	1873	3533	13359	8786	35972	13426	14755	5504	2138	533	4055	1200	4197	15550	11346	33794	524	15268	6706	273	4857	2406	1812	1676	6999	4367	18327	6608	20716	7191	3895	3106	3375	1574	11794	7765	22273	11887	10811	5454	2492	2293	5259	3790	12295	5665	22130	8179	6492	3045	2325	7187	15218	7098	13386	7486	3787	3628	4751	15559	5395	9694	3705	2930	8806	13062	7172	4319	2971	3294	9723	9761	4230	3023	3035	3866	10042	5230	5766	3561	3709	7331	9338	4031	7112	6264	4627	7419	2658	2896	3068	1790	3251	4367	3342	3880	5955146
May-F4 (aw1476@May_F4-#3 of 36-(+)) *	28328	7503	9869	12994	19118	716	16013	57	13	32	2804	38	24061	4385	155832	1663	3076	17913	8406	94127	1700	3441	1204	1136	3728	7761	22039	6979	7916	192488	589	20779	917	1354	5818	197394	4721	1599	17493	12131	13177	50749	1070	346	812	515	2572	62393	2545	2105	3184	3533	2144	2576	1270	29772	12186	1849	2901	36373	96509	161	28645	21569	6466	68655	3736	705	11913	5065	8993	65762	645	7325	489	1346	2161	31455	321	1694	722	201	2090	1983	1281	1326	6322	2381	24807	3131	75537	13622	5607	48408	5087	10024	5746	25073	885	4297	1130	1134	2159	12575	2275	824	4346	2448	360	5030	22174	2307	25726	36637	16691	16726	87198	22033	763	3000	21564	987	5196	3489	1452	9093	1822	2020	1060	3147	1058	2934	1302	2111	15997	1801	24603	1167	668	6952	177	4268	17205	1925	4607	50489	6051	4924	1952	725	3736	1208	1240	1072	1181	13516	11057	634	2888	3375	5627	13044	1685	12226	1597	4096	3961	8504	8003	983	2321	209	1081	1704	1140	837	1691	1062	7707	7640	528	1621	1721	6298	3941	47427	10335	9559	2067	1942	1142	1294	598	6817	564	11367	15381	35223	12096	3660	1568	2144	947	4131	3564	21595	4951	562	15925	1280	4359	1334	2407	4375	1468	1906	766	2808	2302	3679	12022	15809	33387	15349	5357	3694	1669	777	1620	4142	16016	10565	35222	8760	6736	2408	845	1203	131	5497	5112	16601	1060	8113	19189	8480	2329	1260	3263	11845	7380	27823	9910	10313	3676	1426	364	3873	1011	3854	13499	9361	25163	436	11119	4689	211	3321	1609	1627	1640	6337	3969	14703	5384	14796	5284	2546	3168	3129	1345	10550	6425	17300	9023	7673	3739	1598	1524	4991	3548	10624	4902	16943	5838	4603	2105	2157	6744	12417	5632	9843	5238	2588	3466	4192	12378	3928	6903	2553	2767	7828	9918	5394	3193	1994	3045	8160	7270	3073	2141	3029	3460	8335	4135	4185	2539	3581	6325	7275	2761	6170	4803	4393	6100	2618	2539	3046	1825	3079	3753	3058	3116	4820140
May-F4 (aw1476@May_F4-#4 of 36-(+)) *	32210	10401	12423	14236	18611	695	39620	77	15	45	3713	33	27765	5679	144480	2211	2853	16443	10006	70424	1330	2493	1245	992	3626	10107	25794	9972	6925	183282	771	19007	1190	1637	4597	148261	5010	1483	13523	9691	10353	34156	1656	422	641	390	1842	74389	1522	1489	1908	4197	1182	3062	975	17221	6464	2487	1668	42680	99763	215	27475	25387	7382	55167	4357	728	9166	4830	6735	46181	570	4810	549	1147	1705	13481	174	884	514	130	774	787	768	1479	7259	1304	29723	1882	80364	13392	3444	40898	5752	7782	5680	16760	688	2726	997	853	1349	7787	1349	710	2542	2648	230	3571	6823	2589	32085	38774	17773	14810	77179	18391	528	2944	15171	735	3319	2312	988	5754	1127	1206	595	1529	474	3928	503	1390	20747	907	29213	1439	502	7420	126	4219	16640	2219	4006	36964	4305	3279	1204	474	2236	609	1012	511	910	17868	13523	488	3276	4101	5441	11864	1018	9523	1580	3173	4403	9188	5576	869	1571	142	704	1125	743	545	2528	699	10670	9574	332	1940	646	6535	3886	38450	7883	6627	1342	1292	683	1315	461	9721	394	11310	12763	26587	8795	2622	941	1492	581	5684	3892	20149	4419	414	11318	831	3113	899	1634	2630	1016	1102	468	4182	872	3746	12333	14757	26988	11476	3861	2504	1115	534	2234	4508	15943	9720	27736	6847	4705	1806	622	1805	108	6244	5157	15247	1324	7201	14746	5651	1767	847	3817	12455	7320	22837	7735	7009	2614	929	410	4537	983	4198	13300	8411	19943	253	8298	3852	137	2270	1216	1795	1987	7467	4319	13512	4846	11313	3988	1858	4039	3760	818	11333	6592	15048	7205	5734	2667	1232	1566	5899	4009	11002	4623	13292	4794	3293	1533	2701	7649	11632	5096	7743	3919	1859	4333	4482	10976	3545	5195	1850	3121	8051	8252	4256	2512	1385	3351	7921	5990	2454	1557	3763	3597	7564	3542	3475	1847	4251	6626	6388	2206	6371	4187	4926	5605	3261	2591	3657	2432	3630	3783	3439	3099	4385144
May-F4 (aw1476@May_F4-#5 of 36-(+)) *	33695	11763	13244	14418	18381	697	33272	109	24	61	4330	49	28852	5872	139261	2547	2646	15665	10812	65366	1119	2307	1321	995	3573	11200	26988	8682	6373	175511	891	17665	1074	1788	4547	134908	4830	1538	12411	9091	9283	31014	2131	483	573	312	1614	78488	1445	1399	1136	4236	665	3186	857	9849	3716	2834	1033	44516	95405	185	26049	26372	7339	48606	4382	702	8003	4524	5909	42000	460	4375	488	1087	1553	11995	158	786	449	129	638	633	474	1712	7934	825	31566	1204	78720	12992	2296	35574	5819	6845	5340	14781	623	2459	911	807	1108	7210	1239	740	2275	2774	229	2647	5907	2712	34609	39368	17558	13883	69628	16037	361	2899	13050	518	2900	1488	878	5384	708	1066	498	1427	413	4597	413	1099	22946	676	29873	1634	420	7598	119	3966	14897	2212	3512	30883	3698	2938	1018	408	2065	550	770	420	681	20075	14023	438	3461	4558	5192	10714	878	7940	1585	2617	4358	9545	4861	901	1384	91	631	1009	408	440	3047	688	12367	10567	289	2037	547	6178	3518	32437	6553	5504	1135	1158	631	1453	389	11148	270	10611	11143	21926	7213	2274	799	1348	472	6720	3855	17653	4003	287	9101	500	2646	535	1341	1624	786	709	440	5003	799	3530	11792	13217	22783	9491	3056	2011	914	503	2862	4409	14932	8787	23412	5790	4129	1593	517	2236	66	6210	4855	13939	1324	6326	12399	4621	1410	762	3885	12479	6712	19680	6794	5913	2170	772	380	4689	885	4127	12100	7578	16495	192	7722	3531	104	1941	1155	1903	2106	7323	4236	12038	4219	9068	3255	1588	4269	3888	537	10458	6113	12532	5872	4703	2108	1027	1785	6189	4085	9869	4314	11120	3963	2719	1274	2986	7622	10205	4415	6259	3080	1547	4767	4170	9251	3102	4069	1471	3151	7308	6928	3452	1964	1115	3296	7086	4732	1987	1273	4054	3359	6618	3086	2863	1551	4437	6084	5388	1806	5623	3411	4779	5060	3452	2461	3638	2640	3458	3301	3295	2686	4155251
May-F4 (aw1476@May_F4-#6 of 36-(+)) *	32106	11468	12629	13973	16931	636	33044	67	12	58	4154	38	26745	5519	124425	2241	2260	14081	9787	60195	959	2019	1060	820	3156	10564	24548	7338	5671	153485	830	15632	928	1568	4068	121136	4192	1421	11073	7853	8167	28786	1862	454	511	305	1444	67730	1339	1386	1070	3738	621	2888	793	9520	3709	2788	1082	39340	82230	206	22083	22702	6410	42085	3697	598	7291	3691	5170	38940	439	4077	447	971	1516	14516	155	891	450	113	709	732	434	1480	7617	758	28063	1121	67556	10932	2204	29617	4991	5899	4451	13404	533	2324	822	674	1031	7078	1171	742	2182	2524	203	2330	7201	2459	30946	34049	14792	12488	58119	13383	363	2319	11582	456	2565	1406	771	5168	649	1007	514	1577	456	4303	517	997	20292	657	25860	1455	411	6561	101	3466	12326	1902	2982	25881	3126	2681	1028	422	2114	554	738	466	685	18607	12385	431	3018	4118	4294	8694	719	6592	1341	2113	3728	8180	4463	791	1208	74	553	991	344	431	2912	714	11365	9353	263	1800	701	5196	2868	26102	5407	4597	931	1068	586	1243	379	10564	246	8421	8987	17723	6075	1798	704	1245	416	6296	3297	14060	3012	208	7380	516	2006	515	1186	1609	724	664	419	4843	928	3038	9664	10711	17727	7571	2540	1811	882	417	2895	3749	11985	7059	18520	4441	3356	1383	444	2141	69	5233	4126	10918	1317	4964	9517	3800	1231	657	3358	9847	5376	15271	5123	4634	1735	606	395	3918	686	3553	9737	5910	12591	171	6111	2904	80	1691	978	1714	1878	6299	3373	9414	3300	7032	2508	1200	3654	3244	536	8658	4716	9497	4547	3449	1548	837	1533	5212	3342	7778	3297	8304	2758	2136	975	2654	6422	7973	3345	4728	2339	1225	4215	3303	6839	2246	3157	1043	2624	5730	5234	2601	1476	807	2661	5426	3481	1438	931	3500	2777	5028	2284	2078	1092	3764	4887	3961	1338	4293	2577	3969	3666	3122	1798	3092	2343	2833	2551	2531	1960	3616319
May-F4 (aw1476@May_F4-#7 of 36-(+)) *	31163	8505	11060	14214	20621	845	21458	81	14	45	3249	39	26472	5112	162571	1958	3219	17987	9477	92001	1706	3425	1326	1118	3967	8876	24968	8143	8229	206763	804	21927	1014	1530	5582	196661	5119	1696	16802	12821	14547	45063	1578	443	838	480	2451	76724	2492	2175	2440	4149	1651	3051	1351	23160	9347	2168	2241	41547	107287	194	32093	24994	7697	72736	4342	779	11480	5366	9667	62918	688	6785	616	1260	2199	29245	263	1667	815	208	1943	1792	1135	1506	7225	1864	28227	2551	84350	15053	4742	53068	5939	10612	6708	24776	932	4072	1245	1205	2169	11471	2068	848	3570	2713	347	4486	22320	2705	29400	41244	18465	18241	95180	24142	723	3540	22483	871	5088	2999	1478	8630	1482	1917	1040	2875	904	3444	1099	1766	18280	1485	27840	1416	650	7723	178	4703	19463	2190	5346	54529	6432	5112	1916	704	3506	1077	1152	981	1087	15618	12534	560	3354	3784	6514	14750	1666	13815	1604	4598	4943	8710	8586	1150	2455	195	1171	1696	1060	738	1933	1051	8866	8704	442	1810	1475	6951	4328	52933	11411	10138	2127	2073	1375	1460	659	8012	492	12750	17300	39268	13307	4002	1612	2393	983	4595	4027	24620	5691	525	17639	1091	4770	1159	2686	3319	1612	1402	787	3136	2540	3232	13329	17784	36608	17275	5946	4183	1731	830	1786	4600	17994	11916	39473	9812	7295	2774	985	1458	109	6142	5714	18629	1260	9277	21672	9259	2779	1421	3672	13410	8418	31340	11252	11416	4352	1524	335	4486	1123	4342	15398	10073	28469	399	12232	5036	236	3687	1751	1780	1775	7528	4504	16806	5904	16990	5793	2899	3575	3584	1095	11912	7561	20126	10003	8724	4385	1824	1460	5671	4023	11962	5497	19106	6769	5333	2445	2451	7566	13988	6512	11424	6026	2881	3846	4952	14230	4692	7878	3038	3099	8977	11499	6244	3581	2303	3232	9245	8395	3626	2434	3476	3844	9455	4801	4968	2942	4090	7241	8197	3218	7081	5606	4958	6977	3027	2954	3398	2151	3562	4266	3483	3620	5216173
May-F4 (aw1476@May_F4-#8 of 36-(+)) *	31393	10136	11977	13679	17275	664	23529	114	16	49	3663	40	25597	5253	130272	2072	2418	14346	9128	60566	1164	2248	1010	841	2861	9696	24090	7460	6073	171260	625	17390	838	1567	3644	130570	4188	1498	11193	8612	9981	26813	1799	442	592	256	1538	69068	1469	1409	1847	3741	1078	3001	917	16176	6197	2427	1606	40290	93953	154	26143	23449	6666	52082	3967	664	8052	3931	6797	38701	436	4173	457	791	1436	17604	166	1013	501	124	971	1030	705	1455	7053	1478	28467	2075	76560	12962	3637	39308	5431	7528	5175	15754	665	2622	1004	775	1555	6981	1340	589	2166	2657	216	3562	12810	2344	30622	37501	16001	14137	70734	17310	500	2686	15226	705	3413	2390	1008	5370	1120	1218	579	1889	605	3973	739	1348	19915	1035	27680	1524	526	6994	147	3960	15565	2095	3825	36079	4216	3107	1290	492	2183	694	927	583	896	17100	12567	479	3231	3750	5365	11590	1102	9496	1118	2945	4022	6407	5361	771	1483	112	785	1069	571	568	2495	684	10328	9167	366	1748	1087	6098	3697	37378	7850	6386	1285	1304	840	1248	392	9202	333	10637	12438	26214	8351	2610	951	1569	617	5379	3654	19234	4079	332	11167	858	3044	912	1570	2975	1007	1247	537	3954	1570	2296	11540	13908	25869	11372	3721	2500	1103	537	2316	4195	15373	9209	26338	6298	4472	1688	589	1713	71	5920	4811	14253	1588	6791	13936	5628	1680	841	3583	12156	7038	22166	7557	7205	2515	888	244	4341	840	4053	12671	8112	19019	272	7844	3159	123	2171	1167	1802	1877	7054	4050	13056	4471	10778	3669	1717	3755	3547	944	10560	6163	14457	6904	5473	2600	1081	1006	5666	3782	10271	4539	13249	4518	3248	1449	2659	7357	11137	4722	7553	3800	1826	4230	4140	10583	3410	5032	1866	2933	7580	8165	4101	2280	1411	3098	7619	5511	2376	1530	3650	3487	7424	3481	3398	1838	4170	6477	6174	2152	5963	3881	4859	5535	3160	2506	3514	2375	3477	3658	3441	2979	4186903
May-F4 (aw1476@May_F4-#9 of 36-(+)) *	27578	9030	10508	12320	14817	514	19020	36	12	36	3268	20	22174	3924	107520	1493	1908	12237	6770	52780	944	2153	704	638	2264	8187	19911	5748	5091	138914	502	14279	674	1144	3137	111448	2880	1151	9532	6275	7986	26365	1034	276	514	273	1462	44102	1119	1149	2164	2451	1254	1931	686	19323	7437	1944	1837	31196	71957	157	20883	16332	4812	41784	2630	469	7091	2830	5531	35325	381	4046	364	544	1294	18623	160	1038	339	114	900	1047	755	1110	5738	1496	22105	2105	59119	10049	3580	30807	3633	6163	3611	14179	653	2536	992	623	1327	7338	1436	494	2553	1908	211	3640	13929	2018	23745	28635	12106	10759	52354	13296	465	1834	12337	672	3061	2184	850	5175	1073	1255	580	2108	753	3302	893	1335	15582	1049	21230	948	432	5361	116	2863	11562	1541	3180	28659	3435	2901	1265	417	2285	802	967	669	999	13490	9822	436	2499	3053	4035	8479	893	7077	830	2448	2797	4224	4242	665	1434	127	795	1040	651	576	1948	686	8404	7267	347	1448	1377	4427	2540	26743	5696	5097	1223	1233	1059	1117	436	7636	430	7650	8940	19051	6401	1970	855	1240	569	4690	2949	13624	3005	335	8011	854	2131	886	1228	2939	847	1196	460	3546	1578	1709	8496	9845	18254	8216	2797	1894	884	420	2039	3300	10665	6458	18507	4548	3427	1294	488	1515	85	4482	3485	10198	1372	4711	9605	4086	1200	672	2680	8655	4800	15143	5182	5069	1874	716	202	3384	558	3078	8702	5477	12987	235	5459	2277	126	1669	902	1548	1483	5064	2869	8943	2955	7259	2502	1219	2926	2715	934	7591	4365	9638	4641	3635	1672	782	834	4322	2764	7068	3017	8578	2920	2136	979	2072	5200	7322	3226	5008	2455	1185	3201	2971	7101	2141	3349	1213	2229	5435	5257	2506	1484	945	2321	5031	3500	1393	997	2722	2382	4635	2164	2186	1212	3089	4389	3828	1308	3953	2584	3372	3581	2420	1658	2527	1811	2490	2401	2335	1880	3311896
