m/z	1.0087	12.0006	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9996	18.9987	24.0008	25.0090	26.0047	26.9820	27.0055	27.0250	27.9761	28.0211	28.9839	29.9721	29.9919	30.9806	31.0186	31.9890	32.9798	32.9972	34.0054	34.9699	36.0004	36.9667	37.0082	38.0167	39.0130	39.0268	39.9744	39.9937	40.0183	40.9802	41.0017	42.0000	42.9814	43.0018	43.0220	43.9713	43.9900	44.0164	44.9774	44.9970	45.9922	48.0003	49.0077	50.0071	50.9837	51.0241	51.9753	51.9957	52.0233	53.0028	53.0401	54.0130	55.0196	55.9715	56.0217	56.9867	57.0372	57.9810	58.0091	58.9894	59.0157	59.9675	60.9742	61.9703	62.0152	62.9653	63.0217	63.9401	63.9678	63.9948	64.0285	65.0034	65.0384	66.0005	66.9895	67.0180	67.9730	68.0131	68.9979	69.0360	69.9766	70.0311	71.0139	71.9996	73.0069	73.9822	74.0105	74.9895	75.0238	75.9617	76.0338	76.9704	77.0430	77.9674	78.9613	79.9317	79.9611	80.9588	81.0365	81.9515	82.0326	82.9755	83.0117	83.0516	83.9644	83.9988	84.0495	84.9747	85.0151	85.9690	86.0145	87.0160	87.9414	88.0260	88.9466	88.9988	89.0390	89.9463	89.9973	90.0379	91.0229	91.9553	92.0296	92.9632	93.0367	93.9367	93.9794	94.0359	94.9419	94.9921	95.9414	96.0065	96.9427	97.0075	97.9467	98.0297	98.9440	99.0229	100.0353	100.9710	101.0450	101.9684	102.9726	103.9415	104.9456	105.0388	105.9405	108.0097	109.0091	110.0234	111.0246	111.9374	112.0272	114.0359	116.9456	117.0335	117.9469	118.0423	118.9541	119.9328	120.0266	120.9407	121.0346	121.9318	121.9720	126.0470	126.9576	127.1171	133.9554	134.0506	134.9565	135.9275	136.9358	137.9337	138.9021	138.9346	140.9225	143.9877	145.0203	147.0130	151.0330	156.9047	157.9039	158.8972	160.9158	164.9142	174.8793	175.8770	176.8761	178.9039	179.8985	180.9054	181.9038	182.9041	194.9232	195.8932	196.9010	197.8991	198.8983	199.8952	202.9320	203.0539	204.0740	205.1551	216.8678	217.8649	218.8642	219.8685	220.7071	220.8839	223.0669	238.8539	240.8549	254.8224	255.2016	255.8482	256.8630	257.8580	258.8583	259.8573	260.8680	273.8678	274.8708	275.8547	277.1583	277.8248	278.8270	279.8668	280.8461	283.2267	298.8236	299.8174	300.8235	311.1803	315.8204	316.8253	317.8198	318.8167	320.8087	322.8203	339.2207	342.8398	358.7980	360.7925	361.2082	362.2203	364.8509	366.2197	376.7869	380.7793	395.3775	400.7157	402.7805	407.2849	423.3012	436.7623	437.7542	438.7622	444.7532	448.2842	449.3003	451.3175	466.8231	473.2985	
May blank (aw1483@May-blank-#1 of 36-(-)) *	1890020	55440	131680	25625	155	2662	2885923	1374340	5912	5577	88733	251078	31778	15	2140	1499	29097	73	17898	674	2680	559	2970	76041	266	18675	690	4485	17869	1463	14123	8913	648	3435	1562	16136	1136	3224	49792	13796	695	11756	16932	3438	1210	517	10072	28391	1147	15370	30519	4263	70	3249	1018	2230	366	2768	238	471	1119	417	123	1082	732	591	2497	1828	8071	744535	247847	38131	4527	11639	2540	11	1119	1035	948	5187	1148	1290	112	1313	915	198	1530	672	162	101	1205	3194	8057	1245	1477	3426	2709	853031	2035	1051950	4105	88402	48011	154	3019	860	409	358	655	207	180	168	493	781	87	1788	1071	349	1149	1349	144	485	215	1022	637	63	398	221	1254	1763	1464	1861	1300	107	838	122	210	2159	823	533	1244	1133	232	292	623	537	180	2511	360	772	2419	1217	1889	601	341	576	482	261	347	67	163	142	889	938	567	226	3482	25277	957	14984	3514	2810	459	80	163	363	261	697	818	136529	319614	43237	939	25529	929	83	359	673	265	377	140	473	347	405	82	87	219	3564	4097	2897	889	357	315	28413	109857	20432	15139	1944	57	437	123	953	174	78	480	138	22	205	87	1159	544	135	62	5409	24013	6404	4738	867	390	426	1579	432	471	75	198	93	98	28	538	251	223	42	1583	8703	2843	2162	210	34	37	51	269	104	21	16	24	14	3351	144	48	29	26	15	12	2517	1083	792	17	14	20	16	12	44	11437372
May blank (aw1483@May-blank-#2 of 36-(-)) *	1161462	42540	81403	12803	101	1081	2647779	1005282	5292	4798	75727	174275	30935	6	1852	698	22083	42	10138	505	1245	321	1037	69815	150	15330	510	2084	14850	684	9537	5731	481	2280	1126	11279	884	1895	27376	12274	518	9010	5275	2203	688	256	5941	16150	608	13048	22862	3344	41	2027	721	1419	245	1790	124	257	556	284	55	522	245	290	555	1173	2268	655950	181725	31886	2908	8694	1497	7	759	701	412	3102	508	886	65	739	645	160	844	209	122	45	469	2971	6210	592	1048	1099	1148	790939	818	819660	1200	73220	36488	76	1592	516	225	245	450	65	84	58	396	798	40	1159	856	278	983	713	109	254	115	627	293	40	195	97	457	1524	340	1376	392	74	423	67	83	758	504	563	585	1266	153	269	212	361	93	1650	164	614	1498	738	1026	128	171	276	381	308	259	59	150	123	484	281	418	78	2420	19792	212	8910	563	2098	301	54	66	18	128	93	266	122781	240304	34085	836	18877	637	43	175	143	124	174	105	258	227	233	46	50	107	2681	3275	1826	581	191	130	25840	82852	15721	11099	1484	26	68	39	34	84	42	259	85	19	130	60	826	326	69	26	5101	18048	4881	3472	655	262	269	876	242	20	50	97	61	48	5	405	182	132	35	1355	6920	2256	1644	155	20	22	35	191	56	13	7	20	3	2666	115	16	21	15	9	11	1844	768	598	11	8	18	6	9	11	9008958
May blank (aw1483@May-blank-#3 of 36-(-)) *	946721	40970	69422	9843	64	580	2558440	863687	5159	5015	76840	157775	25731	9	1912	496	20196	31	8058	487	920	221	559	66843	138	13124	383	1706	14503	542	8760	4782	407	1859	976	10367	613	1514	21989	9402	504	8970	3308	1809	586	116	4476	10454	520	14043	22075	3095	21	1589	700	1337	196	1689	82	216	413	253	35	414	139	237	288	949	1042	622467	155936	28965	2621	7208	1224	4	731	769	253	2683	341	724	46	484	672	95	668	126	103	17	282	3436	6384	416	999	705	902	771282	803	716456	849	66892	32325	66	1275	369	182	190	403	52	69	31	329	854	44	1114	935	310	975	602	111	227	81	609	226	34	147	68	297	1385	237	1147	241	66	288	36	86	447	427	682	472	1465	134	303	147	367	81	1565	116	550	1384	691	800	69	150	295	413	315	198	43	141	78	335	216	327	52	2215	17842	151	7321	491	1731	294	44	87	20	95	80	167	119616	207332	30227	694	16283	571	45	184	118	79	123	55	237	206	167	31	41	75	2487	2798	1566	493	170	82	25529	71219	13981	9617	1281	30	36	29	13	59	36	243	55	12	132	43	786	306	52	26	5151	15638	4262	2952	587	236	198	630	179	22	34	96	61	53	4	399	177	114	17	1423	5936	2032	1409	136	28	23	29	164	59	10	13	16	8	2225	114	9	22	19	8	11	1690	703	548	17	13	10	8	7	8	8195623
May blank (aw1483@May-blank-#4 of 36-(-)) *	841362	40512	64399	8383	62	481	2507439	789674	4829	5657	77771	153165	25942	12	1816	448	19086	23	7242	497	832	204	439	65567	120	11868	349	1952	14675	604	8530	4331	339	1633	853	10001	552	1320	19979	9213	480	8847	2521	1763	507	122	3992	8233	415	14527	22175	3050	28	1443	704	1302	153	1639	82	210	339	215	33	354	76	208	217	923	657	601191	143665	28135	2567	6684	1181	17	674	752	264	2659	288	625	46	473	595	86	648	92	107	17	238	3695	6650	358	978	560	848	757115	717	663383	795	63627	29520	72	1229	403	173	180	382	43	61	23	360	1084	39	1057	938	266	997	605	79	190	77	544	206	35	121	48	269	1363	198	1100	194	70	249	23	95	340	446	864	459	1634	107	326	134	326	71	1433	92	557	1244	629	745	57	145	352	483	350	238	49	124	59	331	167	347	59	2146	17196	161	6645	471	1660	267	49	85	13	83	90	118	116116	189289	27946	686	15150	521	55	174	96	83	180	81	225	194	145	38	39	69	2273	2676	1333	443	174	77	24955	64594	12992	8655	1186	12	17	33	14	63	52	239	72	7	103	34	709	247	56	10	4896	14252	3894	2731	492	215	184	514	146	20	32	90	46	45	11	320	167	115	18	1399	5500	1944	1227	100	18	20	26	146	54	11	3	23	4	2112	93	20	22	14	6	4	1597	601	520	10	5	10	5	9	7	7784454
May blank (aw1483@May-blank-#5 of 36-(-)) *	767431	40692	60882	7534	75	315	2458342	728532	4737	6519	79886	149960	28429	5	1740	405	18134	30	6513	429	753	174	327	63441	120	10982	293	2789	14983	873	8201	4074	332	1488	887	9751	521	1182	18579	9439	483	8340	2251	1695	475	86	3653	6673	346	15234	22138	3108	44	1271	641	1235	156	1550	58	196	283	245	24	309	74	217	180	953	488	590758	133586	26881	2418	6331	1072	2	588	746	256	2710	251	674	43	379	593	63	622	73	94	11	187	4137	6972	343	1060	481	760	751009	705	619039	710	61726	28168	69	1104	346	156	189	320	56	46	21	342	1208	49	1003	1041	262	1086	548	90	212	91	603	169	31	141	46	252	1391	167	1004	165	73	242	26	117	269	427	1028	430	1889	124	323	125	327	91	1408	103	550	1202	549	669	56	137	407	527	362	232	47	126	71	314	129	375	45	2109	16370	159	6161	511	1518	265	33	106	12	77	101	116	115979	175854	26606	565	13918	517	57	191	96	90	123	75	210	202	146	35	33	67	2187	2697	1249	429	137	69	24928	60143	12270	8210	1057	19	32	25	13	69	46	205	61	12	108	22	710	243	40	14	4888	13397	3708	2506	489	213	161	384	124	18	28	79	48	38	6	367	154	111	27	1463	5048	1720	1128	136	16	11	30	137	39	10	6	11	6	2046	90	8	16	13	6	7	1407	597	432	12	3	7	4	9	8	7481395
May blank (aw1483@May-blank-#6 of 36-(-)) *	543122	39610	49420	4735	93	147	2248830	527636	4270	9355	86351	136472	37843	14	1644	202	15289	19	4597	375	481	98	156	56829	112	7546	206	2628	16344	794	7930	3280	337	1017	840	10002	524	913	15263	9738	396	7278	1355	1549	409	50	2576	3494	259	17821	23025	3567	26	892	628	1239	96	1514	40	143	199	209	10	257	41	189	90	841	229	536442	101352	23537	2184	5069	797	7	660	853	219	2611	153	764	51	286	659	60	566	50	113	6	125	5413	7965	316	1242	363	538	713462	624	472943	447	52652	22264	48	1030	290	138	117	251	39	41	17	369	1709	60	994	1322	343	1104	459	78	205	74	604	131	13	129	38	165	1305	121	799	103	54	150	11	104	167	430	1476	405	2557	116	451	98	296	70	1313	66	532	1067	506	486	33	103	547	649	443	222	59	130	49	257	96	445	40	1808	14367	223	4514	746	1300	253	35	108	8	78	105	87	109954	133714	21769	473	10770	393	100	303	89	57	144	64	167	153	119	26	45	49	1819	2297	949	358	122	35	24433	46269	9914	6340	916	19	13	20	7	43	31	132	65	6	76	23	627	200	42	12	5010	10380	2981	1904	402	143	103	249	79	12	20	63	30	33	5	290	138	91	13	1443	3879	1359	964	91	13	8	18	113	51	6	14	12	5	1545	64	10	16	10	3	5	1116	476	378	10	12	10	8	8	7	6419122
May blank (aw1483@May-blank-#7 of 36-(-)) *	829764	49739	76768	8969	148	350	2678533	768425	5175	16997	102042	198574	58766	13	3780	543	21031	50	7959	523	1012	225	322	67995	498	10257	296	18106	20234	5974	11094	5910	831	1870	1247	12999	1074	1649	26411	27479	713	18863	3739	1938	590	230	4167	7296	904	20430	30536	5569	113	1929	884	1583	280	2249	95	283	502	387	57	681	109	447	405	1389	579	669569	145426	30899	3391	9484	1528	57	3266	1196	467	4226	369	2254	119	850	897	381	1749	221	178	47	1154	5502	9527	626	1683	1445	1132	850904	1256	655845	882	66508	34720	130	3485	879	255	444	402	316	226	36	1128	1789	70	1454	1533	595	1452	866	199	316	138	954	276	106	797	95	769	1604	327	1455	292	74	467	75	770	722	1040	1449	1066	2671	299	510	764	615	148	1983	143	1289	2423	1036	1071	99	610	686	867	541	559	96	246	133	824	184	821	67	2851	19430	240	7076	776	1996	391	71	494	12	218	124	316	129943	186800	28638	667	15548	760	156	279	286	376	317	195	839	378	283	191	176	341	2849	3194	1559	526	225	128	28756	63985	13253	8941	1270	69	27	56	18	121	86	881	192	25	256	41	921	350	106	22	5609	14277	3939	2806	506	243	160	464	157	22	46	285	134	118	13	416	185	142	17	1615	5326	1829	1355	148	27	31	42	191	71	15	8	25	10	2134	91	21	43	34	8	8	1629	677	500	19	9	10	14	11	21	8432237
May blank (aw1483@May-blank-#8 of 36-(-)) *	594766	41762	54829	5349	97	174	2359325	586808	4523	10944	90421	150517	39826	7	1851	323	16164	17	5284	396	589	140	171	60273	143	8272	206	3102	17305	945	8403	3678	420	1174	940	10535	543	997	16798	10896	514	8708	1564	1568	426	53	2987	3896	305	18682	24471	3800	37	1124	731	1376	118	1635	32	140	200	256	18	284	51	242	93	1083	229	581183	113383	25740	2287	6465	904	6	731	862	216	2764	195	736	63	304	691	66	598	44	127	6	104	5505	8291	344	1173	389	660	767763	631	536448	565	57310	25954	59	1103	351	136	149	287	49	31	16	405	1705	55	1059	1305	406	1131	542	77	183	83	599	135	21	141	42	231	1382	124	853	127	65	145	19	105	168	452	1486	395	2538	124	413	132	324	83	1420	72	617	1183	539	578	36	111	523	618	403	260	57	122	59	339	89	478	32	2120	16080	207	5249	677	1390	252	44	110	3	58	104	92	118053	151756	24321	625	12334	429	116	260	68	56	124	61	202	204	122	29	43	48	2215	2643	1115	388	111	45	26195	52435	11117	7173	1009	17	18	16	13	41	27	256	57	10	104	20	663	218	46	24	5309	11787	3304	2270	422	191	113	294	87	13	24	81	53	41	6	294	156	82	19	1519	4444	1588	1049	92	15	12	24	123	61	9	6	9	9	1650	59	9	13	19	9	6	1379	540	410	12	6	7	6	10	5	6933527
May blank (aw1483@May-blank-#9 of 36-(-)) *	525919	41782	50539	4558	79	154	2298128	516904	4356	11825	90888	143474	41792	5	1997	229	15347	5	4605	372	456	121	122	58157	125	7269	195	3459	17983	1100	8237	3386	336	977	914	10427	509	904	15512	10895	516	9065	1594	1533	421	61	2560	3384	269	19441	24339	3880	38	957	644	1250	116	1551	26	125	147	236	17	250	27	219	70	1029	185	558876	101548	24283	2237	5602	832	7	709	923	242	2644	160	744	53	278	722	66	531	33	113	10	88	5985	8600	306	1289	341	594	757456	708	479754	512	53761	23841	45	1012	343	136	142	249	40	23	5	415	1934	54	1043	1379	368	1162	508	92	196	49	659	129	32	127	36	173	1344	124	823	81	61	133	16	100	130	438	1644	388	2815	142	498	127	335	83	1381	88	613	1183	501	515	29	80	623	756	487	260	51	137	67	278	56	460	29	2003	15052	266	4693	728	1336	266	33	116	7	65	106	85	115843	135357	22522	520	11077	395	112	274	105	55	150	82	235	171	106	25	39	66	1943	2484	1033	390	126	44	25917	46968	10061	6664	903	25	12	23	8	49	33	253	56	7	101	26	633	213	29	13	5195	10529	2873	1981	394	142	89	253	73	14	17	93	43	45	4	265	149	75	16	1525	4062	1442	900	83	18	17	22	151	57	3	7	9	1	1568	56	3	29	17	3	4	1125	502	367	9	4	11	5	6	4	6569281
