m/z	1.0075	11.9993	13.0072	14.0150	15.0232	19.0181	22.9891	23.9838	24.9840	24.9939	25.0066	25.9816	26.0148	26.9801	27.0232	27.9877	28.0172	28.0281	29.0012	29.0391	30.0338	30.0423	30.9798	30.9992	31.0181	37.0068	38.0158	38.9649	38.9962	39.0247	39.9624	40.0281	40.9581	40.9802	41.0026	41.0362	41.9900	42.0094	42.0434	42.9995	43.0195	43.0572	43.9690	43.9760	44.0221	44.0469	44.0562	44.9768	45.0145	45.0334	45.9638	45.9763	46.9479	46.9744	46.9923	47.9633	48.9681	49.0057	49.9512	50.0140	51.0230	51.9870	52.0297	52.9830	53.0006	53.0385	53.9817	54.0054	54.0442	54.9976	55.0168	55.0549	56.0200	56.0585	56.9611	57.0142	57.0336	57.0707	58.0393	58.0677	58.9927	59.0083	59.0319	59.0492	60.9576	60.9818	61.0065	61.9447	62.0139	62.9418	63.0224	64.0280	64.9615	65.0383	65.9894	66.0444	66.9965	67.0543	68.0228	68.0586	68.9892	69.0113	69.0316	69.0708	70.0733	71.0501	71.0877	71.9449	72.0805	72.9462	73.0525	73.9887	74.0134	75.0214	76.0284	76.9903	77.0374	78.0441	78.9512	78.9812	79.0526	79.9510	80.0567	80.9516	81.0292	81.0703	81.9535	82.0732	83.0473	83.0863	84.0866	85.0036	85.1096	85.9590	86.0129	86.9561	87.0211	87.9403	87.9692	88.0261	88.9330	88.9457	89.0361	89.9882	90.0428	91.0532	92.0580	93.0688	94.0695	95.0451	95.0870	96.0869	96.9750	97.0980	97.9586	98.0125	99.0190	99.9723	100.0234	100.9815	101.0319	102.0436	102.9695	103.0500	104.0179	104.0582	104.9429	105.0294	105.0686	106.0264	106.0709	106.9218	107.0431	107.0870	107.9221	108.0866	109.0027	109.1036	110.0115	111.0190	111.9729	112.0218	112.0748	113.0312	114.0418	115.0509	116.0556	117.0582	118.0703	119.0839	120.0926	120.9500	121.1041	122.0107	123.9373	126.0378	127.0490	128.0544	129.0617	130.0646	131.0341	131.0822	132.0851	134.0085	136.9993	139.0475	140.0526	140.9183	141.0607	141.9110	142.0685	142.9022	143.0806	143.9082	144.0248	144.9240	145.0987	146.0096	147.0475	148.9984	150.0117	151.0290	152.0501	153.0467	154.0544	155.0782	156.0433	157.0969	158.0064	162.0080	163.0424	164.0377	165.0573	166.0581	167.0691	167.9901	169.0965	170.0067	170.8471	174.0144	175.0245	176.0439	176.8727	177.0410	178.0573	179.0648	180.0305	181.0902	186.0077	187.0361	188.0372	189.0504	190.0384	191.0539	191.9878	193.0919	197.1402	198.0225	198.9111	199.0266	200.0405	201.0389	202.0571	202.8803	203.0619	204.0120	204.9094	204.9909	206.0147	208.9805	210.0142	211.0331	212.0309	213.0440	214.0470	215.0638	216.0033	217.0631	222.0153	223.0146	223.8396	224.0287	225.0002	226.0497	227.0403	227.9851	229.0299	230.0467	232.0166	235.0261	236.0343	237.0361	238.0245	239.0547	239.9947	241.0018	242.0085	246.0213	248.0309	250.0333	251.0148	251.9982	253.0110	254.0057	259.0214	262.0224	263.0603	264.0456	264.9925	266.0268	273.0255	274.0498	275.9899	277.0092	278.0060	279.0331	286.0232	287.0469	288.9877	290.0291	291.0207	296.0171	299.0223	299.9906	301.0000	302.0094	303.0287	309.0298	311.0126	312.9884	315.0240	323.9838	325.9946	334.9954	336.9973	346.0108	348.9750	359.0318	370.0160	371.9870	373.9808	384.9753	386.9875	
May blank (aw1483@May-blank-#1 of 36-(+)) *	80040	16424	16026	25447	58905	3015	665017	1271	139	159	5928	227	57739	27434	388902	23751	17408	25381	50512	264470	7055	9670	6069	5333	21508	19890	53604	73972	22912	394890	11877	51648	8537	8002	24928	528978	23736	9873	69242	42633	61573	249384	69160	11232	4647	2646	12363	663551	9151	14300	2149	36489	44	30450	4319	717	461	5750	423	80973	163669	832	53695	56214	22363	133856	11998	2704	37216	19261	26702	233934	3109	34067	5431	8073	10412	123492	1633	8089	3048	848	3434	5925	395	6422	15475	146	51981	490	125054	23542	1386	77139	13240	18963	15483	62846	2602	13200	3808	3726	5297	55017	13023	6867	38388	19915	2903	5163	14203	4594	54632	62479	40914	32633	117289	32565	942	10529	42740	741	10372	1195	4112	29080	633	5950	3333	14060	2952	7534	4798	1132	33136	812	43123	13764	964	11786	529	9235	24865	3533	6647	70902	9866	12515	4342	2735	12957	3038	883	4503	809	28529	20625	661	5437	6312	8409	17144	1594	16170	11936	6051	16150	13864	14452	1559	3960	167	2512	4852	416	1856	4435	4761	16642	14529	378	2953	1497	9335	6266	58529	13678	15632	3378	4752	1850	5418	2111	15430	291	15318	19002	44241	17420	5720	2903	5193	1779	8535	5731	28205	6211	368	21381	249	7137	245	4602	105	2946	214	2087	6251	2067	55472	22090	21184	39286	19623	7467	6639	2811	1958	3330	6329	22567	12837	38610	10554	10102	4070	2123	2680	124	8877	7261	20384	517	9491	21103	10213	3408	2480	5604	18259	9944	31947	11145	11637	4973	2107	5701	6870	2026	6316	18539	11231	27143	339	10824	4250	189	4323	1932	3677	2988	11154	6242	19616	6515	15388	5225	2672	5873	5677	191	15978	9359	20463	9980	7787	4318	1714	1195	8943	5984	15187	6532	18428	6271	4415	2357	4151	10937	16317	7107	10342	5601	2371	6954	6300	15627	5024	7112	2773	4656	11485	11835	6059	3201	2621	4771	11359	8274	3510	2280	5414	5202	10883	5370	4782	3019	6042	9728	9318	3343	8921	5747	7055	8282	4622	3725	5059	3233	4954	5262	4860	4322	12831253
May blank (aw1483@May-blank-#2 of 36-(+)) *	77208	16864	15751	22996	44836	1880	457120	1285	169	137	6234	245	52242	27555	293966	25462	14132	17415	41099	134075	3978	5006	4830	2664	11436	20668	52369	69826	16899	341164	13482	42065	7627	6703	12032	308343	17130	7294	35630	26465	38873	58568	78450	10976	2273	1275	3387	603151	3280	5580	2352	33150	36	27729	2381	528	373	5960	342	80067	161357	694	52514	52799	18966	110937	10572	2282	22175	12917	20333	101052	1850	11531	5166	3030	5156	16379	541	1720	1896	346	847	1162	379	5939	14388	115	51735	307	124390	23307	1317	71399	12695	16904	12846	38950	2035	6767	3211	2198	3399	14672	2738	1574	2964	21507	431	4469	1152	4794	54044	59622	33195	30568	113991	31781	670	8005	34439	677	8137	752	2990	13992	560	2755	1406	2560	740	7658	377	995	32878	480	42234	15134	912	11442	554	8332	24480	3536	6577	67466	8625	8419	3012	1573	4609	1290	762	737	767	28547	19862	612	5129	6190	8169	17388	1157	15876	4945	5633	14823	10369	11966	1250	3254	163	1743	2712	318	1184	4415	1387	16510	14353	317	2820	378	9026	5686	59083	13516	13917	3018	3161	1389	5019	1040	15055	241	14913	19020	44354	16545	5655	2397	3838	1551	8450	5277	27862	6251	292	21407	237	6445	194	3885	97	2797	150	1418	6285	776	7546	16561	19444	38878	19488	7337	6005	2605	1540	3502	6033	21534	12399	37968	9947	7664	3643	1604	2808	105	8397	6672	19383	460	9123	20466	9678	3169	2003	5241	16898	9345	30609	10633	10847	4617	1875	748	6388	1586	5851	17448	10895	26345	294	10710	4088	185	3862	1928	3356	2939	10292	5737	18271	5972	14934	5317	2529	5749	5243	186	15056	8707	19544	9364	7737	4071	1596	1057	8457	5708	14355	6005	17514	6178	4444	2189	4095	10395	15184	6222	9767	5247	2291	6305	5847	14262	4593	6626	2582	4359	10601	10964	5843	3056	2211	4345	10544	7552	3208	2181	5135	4780	10003	4901	4261	2644	5783	9132	8245	2839	8123	5162	6670	7556	4320	3587	4746	3215	4746	4978	4390	3893	10556211
May blank (aw1483@May-blank-#3 of 36-(+)) *	76391	17782	16059	21839	38309	1422	519921	1210	118	154	6398	210	50346	28354	250504	23883	11349	13809	37600	91185	2388	3128	4206	1786	8044	20930	52061	89225	13729	311128	9195	36603	8171	6138	8230	223627	14351	6310	23990	20137	29689	26930	83205	11107	1503	713	1680	553403	2088	3159	2451	30419	21	25621	1734	415	335	6437	362	80643	159819	756	49828	51240	17731	94308	9775	1987	16047	10318	16782	58845	1313	6253	3493	1857	3180	5664	315	728	1465	222	436	483	354	5802	15039	105	53757	287	127109	22959	1002	66449	12099	14569	11687	27497	1516	4389	2856	1566	2496	6563	1114	684	768	21046	157	4489	471	4950	57089	60064	30175	28563	104496	29729	515	6496	27727	561	6006	698	2234	8377	423	1636	836	1030	312	8318	180	1024	34820	439	44122	15496	874	11353	590	7857	24395	3496	6203	59681	7403	5610	2011	1016	2560	652	772	326	792	30819	20670	594	5063	6575	7886	17175	1039	14874	3065	4900	13768	7942	9250	970	2657	122	1307	1683	278	735	5102	752	17980	15198	315	2982	235	9153	5387	56653	12568	12035	2503	2309	948	4676	590	16437	237	14818	18223	41922	14791	4694	1892	2841	1018	9146	5246	27802	5988	272	19328	179	5811	145	3326	82	2189	124	974	6973	537	3618	16079	19746	38303	18196	6682	5073	2248	1202	3908	5992	21152	12046	36108	9348	6794	3384	1257	3166	83	8670	6681	19266	422	8686	19567	8950	2741	1659	5483	17162	9406	29523	10291	9957	4222	1527	331	6567	1569	5724	17334	10407	25067	316	10002	3829	163	3481	1661	3452	2940	10462	5560	17863	5774	14005	4886	2401	5885	5531	179	15107	8500	18709	8889	7270	3756	1504	1024	8637	5673	14063	5863	16851	5682	4057	2040	4204	10490	14586	6075	9281	4923	2206	6567	5775	13736	4431	6080	2383	4356	10571	10169	5258	2756	1982	4442	10231	6903	2888	1885	5462	4637	9405	4363	3964	2423	6146	8946	7648	2582	7727	4780	6765	7312	4625	3400	4983	3469	4751	4737	4550	3732	9893874
May blank (aw1483@May-blank-#4 of 36-(+)) *	74207	18638	15898	21324	34177	1196	544723	1022	133	141	6717	195	47952	27968	223404	25210	9499	12138	34857	70243	1905	2422	3976	1414	6536	21335	50460	92663	11926	288564	9474	33124	8399	5909	6435	179838	12779	5602	18280	16904	24471	17647	85008	11628	1210	501	1170	524497	1699	2306	2521	28545	48	24741	1543	671	401	6465	338	80225	154808	764	47156	50203	16801	83448	9237	1821	12974	8958	14431	42363	1049	4381	3463	1441	2358	3206	224	446	1135	173	302	292	351	5609	15134	131	54248	305	125444	22605	1002	60407	11669	12836	10823	21242	1289	3239	2725	1297	1908	4237	741	466	363	21576	107	4346	316	4786	56800	59486	28310	26737	95606	27096	439	5536	23514	580	4925	638	1735	6074	383	1176	601	608	214	8511	143	999	35535	425	44305	15877	901	11500	594	7617	22978	3515	5726	53342	6501	4463	1484	809	1678	470	799	193	769	31679	21222	596	5134	6675	7627	16632	930	13446	2420	4438	13202	6162	7748	797	2060	106	991	1246	296	572	5167	482	19015	15410	330	2919	225	9099	5363	53199	11724	10222	2005	1744	743	4535	459	17044	217	14621	17429	38742	13178	4216	1527	2278	909	9813	5087	26654	5727	245	17639	191	5106	151	2616	84	1757	139	806	7430	435	2790	15817	18707	36096	16789	6047	4379	1786	919	4311	5878	21063	11851	33806	8573	6178	3082	1023	3382	96	8591	6433	18594	428	8477	18006	7898	2525	1439	5227	16703	8929	28521	9789	9230	3867	1325	265	6581	1344	5625	16821	9909	24077	248	9332	3618	125	3120	1597	3288	3024	10489	5782	17477	5442	13197	4507	2259	6197	5388	151	14627	8318	18144	8433	6807	3493	1385	811	8624	5511	13588	5712	15958	5421	3837	1982	4356	10432	14156	5806	8893	4509	2065	6690	5732	13191	4315	5807	2167	4312	10361	10052	4837	2676	1905	4374	9946	6663	2758	1781	5638	4687	9297	4382	3781	2340	6218	8829	7420	2542	7611	4547	6694	7055	4663	3356	5000	3525	4684	4648	4472	3600	9477124
May blank (aw1483@May-blank-#5 of 36-(+)) *	73452	18761	16177	20709	32205	1056	502440	1162	116	136	6601	209	46482	28598	207143	24738	9360	11169	33884	59901	1621	2074	3633	1343	5792	21650	50570	93605	10880	274006	10867	30778	8486	5896	5665	156328	12113	5128	15830	15265	22189	13585	86758	11677	1065	448	894	506881	1375	1887	2540	27853	12	24037	1339	452	303	6497	305	79055	151978	731	45366	49413	16632	76840	9104	1829	11404	8143	12748	34392	978	3556	3661	1194	1932	2451	151	369	1125	149	244	205	420	5448	15715	106	54547	264	124095	22189	916	57381	11271	11867	10217	18290	1186	2694	2585	1289	1664	3115	601	366	266	21753	71	4339	274	4714	58183	59910	27474	25418	89214	25663	369	5322	20489	594	4301	616	1500	4924	376	896	532	480	155	8719	147	1035	36127	394	45325	16090	796	11410	647	7382	22542	3517	5503	48574	5972	3700	1279	634	1332	343	811	163	793	32556	21759	601	5102	6914	7688	16194	893	12700	1946	4064	12933	5376	6553	734	1795	120	886	1010	278	425	5459	363	19400	15770	334	3081	161	8863	5245	50487	10748	9293	1753	1532	642	4481	350	17812	204	14527	16758	36565	11917	3731	1388	1951	737	10068	5106	26496	5568	243	16430	171	4585	138	2297	87	1551	114	629	7720	377	2523	15904	18569	34806	15867	5715	3934	1704	759	4362	6008	20314	11571	32181	8333	5480	2723	849	3351	72	8564	6439	18294	500	8292	17249	7437	2369	1378	5535	16892	9048	27599	9370	8605	3488	1270	224	6737	1311	5899	16726	9916	23383	250	9044	3276	126	2994	1426	3413	3020	10478	5586	17241	5426	12797	4395	1993	6278	5426	175	14584	8219	17681	8133	6523	3236	1315	795	8514	5596	13442	5679	15737	5417	3735	1895	4341	10587	14047	5739	8689	4210	1934	6686	5706	13078	4112	5668	2134	4430	10245	9613	4869	2658	1727	4382	9679	6477	2693	1667	5841	4545	8982	4188	3693	2172	6070	8657	7224	2366	7654	4393	6623	6815	4678	3300	5016	3565	4871	4549	4498	3596	9178617
May blank (aw1483@May-blank-#6 of 36-(+)) *	70929	19285	16339	20619	30563	1044	356787	787	85	114	6616	149	46672	27648	199412	23118	9012	10768	32780	55279	1447	1881	3632	1191	5309	21786	50300	82650	10350	268510	6265	29704	7365	5854	5242	146577	11581	4919	14766	14684	20384	12267	83925	12217	925	362	841	474446	1311	1806	2373	26002	30	22552	1300	525	341	6782	325	78591	148932	717	44360	49538	16030	72180	8912	1749	10734	7892	12030	30715	894	3000	2455	1115	1686	2208	145	302	963	137	179	208	309	5457	15996	123	54965	255	122734	21709	793	54730	11095	11136	9910	16609	1066	2350	2433	1150	1454	2806	492	305	239	21444	81	4188	263	4800	58308	59497	26746	24882	85312	24441	386	4937	18903	535	3930	564	1363	4396	334	811	462	424	137	9075	115	1041	37170	383	45140	15798	896	11295	589	7214	22310	3473	5195	45648	5338	3465	1131	558	1237	285	796	149	854	32937	21633	652	5196	6930	7473	15394	844	11916	1875	3829	12317	4993	6243	630	1573	86	788	877	283	413	5711	349	20194	16255	311	3166	163	8654	5078	48121	10160	8677	1646	1300	539	4379	305	18228	184	14083	16389	34618	11185	3486	1256	1782	682	10612	5110	25068	5358	231	15258	152	4258	116	2131	66	1486	123	577	8186	363	2382	15714	18105	33020	15039	5280	3591	1555	692	4686	5813	19574	10892	30371	7599	5172	2586	800	3745	72	8387	6393	17106	544	7625	16005	7027	2277	1193	5355	16119	8532	26249	8705	8185	3417	1203	220	6776	1209	5779	16078	9510	21682	216	8344	3211	130	2664	1372	3398	3037	10313	5399	16018	5215	12145	3963	1979	6358	5359	135	14154	7852	16537	7696	6084	2958	1199	737	8580	5558	12833	5416	14251	4881	3408	1787	4491	10072	12941	5412	7740	4042	1889	6836	5441	11941	3716	5032	2003	4213	9662	9008	4426	2498	1608	4386	9044	5786	2527	1561	5650	4429	8474	3922	3402	2008	6238	8063	6504	2153	7005	4065	6272	6259	4547	3048	4821	3607	4570	4240	4119	3395	8718691
May blank (aw1483@May-blank-#7 of 36-(+)) *	71976	19362	16549	19526	26762	885	1514686	4285	453	337	6770	575	43602	27524	171749	20885	6204	9863	29553	42383	1077	1415	3091	1038	4250	21022	47463	587516	10137	210905	22176	25478	49243	5735	4678	111858	10102	4165	10810	12172	16748	8926	75981	10736	763	258	627	432133	1132	1345	2240	25338	28	24063	1269	710	448	6411	285	74395	138305	713	39384	46220	14356	59840	8339	1457	7893	6642	9682	22025	678	2243	5496	914	1193	1811	116	244	830	97	178	164	335	4869	15502	372	52330	358	118038	20101	1123	47489	10403	9169	8977	12024	796	1737	2160	869	1080	2016	327	203	208	19946	70	3827	230	4588	56907	57395	23668	21210	73832	21004	1266	4587	14642	639	2845	1742	1192	3131	477	529	308	313	112	8510	107	1065	36364	456	44375	14774	1156	10831	533	6805	20452	3447	4637	37258	4219	2341	756	410	868	210	1167	121	812	32751	21434	634	4955	6674	7058	14316	902	10221	1343	3051	11415	3816	4630	527	1142	105	598	615	306	222	5389	231	19334	15682	277	2984	164	8529	4905	43262	8681	6863	1212	922	358	4125	236	17633	209	13679	14802	30220	9252	2556	956	1358	421	10159	5167	24569	5081	306	12908	175	3442	150	1559	99	1056	323	387	7787	271	2279	15501	17493	30832	13209	4265	2886	1053	476	4432	5917	19892	10760	27695	6702	4297	2035	591	3351	85	8662	6475	17049	398	7452	14409	5995	1821	932	5389	16534	8759	25243	8182	7225	2925	888	190	6708	1123	5736	16305	9396	21178	224	7719	2773	117	2280	1091	3432	2982	10533	5545	16503	5331	11437	3701	1672	6338	5488	176	14721	8190	16793	7450	5722	2716	1019	620	8764	5651	13459	5531	14037	4845	3187	1473	4309	10715	13806	5588	7886	3903	1701	6667	5603	12959	3893	5009	1877	4372	10239	9183	4514	2283	1463	4361	9889	6366	2505	1546	5897	4580	9000	4059	3453	2012	6205	8636	7076	2213	7864	4491	7053	6819	4969	3291	5262	3619	5030	4687	4617	3759	9827249
May blank (aw1483@May-blank-#8 of 36-(+)) *	70139	21406	16861	18965	23645	782	606607	1546	181	132	7434	223	42494	29194	152386	22701	6093	7508	29852	30185	794	1007	2882	828	3467	22796	48489	92260	7064	219843	14239	22164	8406	5569	3740	84919	9418	4101	8132	10091	13735	5639	90876	13439	599	191	376	437695	1027	1007	2727	24234	21	22405	884	407	309	7389	270	78386	135143	747	37075	48488	14991	49718	8312	1482	6317	5620	8329	13992	538	1412	4052	640	816	1121	71	159	650	86	133	89	326	5489	17534	89	57767	239	120265	20284	904	41418	10205	7597	8115	8342	747	1227	2155	702	868	1179	216	151	137	23200	47	4279	161	4826	62159	60010	23746	20415	62861	17965	249	4301	10828	569	2080	582	871	1934	356	339	192	174	83	10439	104	1063	40033	351	46968	17624	918	11435	611	7421	19739	3627	4225	29290	3409	1593	492	299	535	121	863	84	803	36829	23256	688	5321	7716	6718	13366	663	8558	1084	2375	12336	2783	3170	398	819	86	425	373	252	144	6578	167	22538	17423	299	3226	132	8551	4518	37673	7318	5123	846	568	243	4576	166	20517	204	13429	12776	24962	7046	2005	758	924	288	12122	5270	22833	4617	234	10121	115	2730	90	1139	53	777	100	238	9152	244	2219	15354	16482	27087	11154	3588	2090	835	325	5416	6188	19093	10236	23464	5597	3316	1810	432	4232	65	9054	6462	16019	371	6728	12017	4735	1391	710	5562	16383	8266	22215	7084	5897	2357	646	144	7158	1085	5825	15716	8869	18152	166	6358	2348	93	1863	1028	3567	3219	10551	5680	15326	4835	9669	3131	1344	6704	5646	167	14323	7776	15047	6666	4806	2136	833	506	8974	5663	12793	5315	12511	4112	2670	1379	4754	10578	12545	5100	6762	3253	1511	7178	5439	11003	3342	4269	1608	4393	9709	7959	3725	2008	1217	4185	8892	5092	2115	1243	5960	4303	7768	3519	2886	1661	6295	8041	5906	1781	6642	3665	6392	6014	4851	3002	5002	3712	4739	4003	4158	3134	8312576
May blank (aw1483@May-blank-#9 of 36-(+)) *	68241	22560	17400	18192	20982	595	647817	1380	166	139	7691	240	41474	29096	133800	25319	5346	6426	29101	23090	607	679	2761	721	2863	23009	46859	115433	6292	198065	19411	19823	10319	5272	3270	66685	8260	3737	6448	8353	11713	4164	95478	13960	481	128	299	408937	862	797	2705	22897	20	21355	932	604	376	7593	266	76242	128267	826	33733	46387	15161	41442	7725	1542	5060	4736	7058	10494	446	1066	5025	514	628	959	63	123	553	85	82	79	319	5554	18282	103	57912	237	116089	18743	1019	35552	9539	6147	7186	6112	604	855	2177	612	637	837	163	97	122	23594	33	4216	200	4909	63435	58369	22214	19206	53699	15048	220	3684	8327	520	1535	568	637	1367	368	261	142	153	53	11042	93	983	41740	348	46996	18169	931	11214	577	7149	18301	3487	3655	23314	2586	1199	346	196	406	89	924	67	905	38321	23328	718	5396	7998	6342	11772	659	7027	845	1897	11487	2242	2417	339	533	101	313	283	284	138	7238	162	24282	18207	343	3270	145	8154	4184	31838	5930	3879	634	420	166	4424	143	21672	191	12486	11608	20222	5674	1547	551	663	224	13000	5277	20657	4032	199	8062	105	2129	74	844	83	517	119	194	10160	224	2067	14895	14917	23350	8911	2769	1588	613	240	6002	6010	17769	9098	19156	4450	2649	1621	306	4585	59	8639	5987	14218	403	5852	9505	3777	1092	516	5680	15587	7864	19153	6247	4593	1953	498	130	7114	983	5710	14479	8040	15199	136	5302	1928	70	1456	922	3741	3229	10256	5324	13625	4197	7971	2554	1036	6831	5587	142	13582	7137	13011	5656	4068	1745	662	446	8787	5336	11707	4727	10608	3517	2117	1079	4885	10232	11016	4496	5620	2636	1213	7225	4995	9686	3026	3647	1351	4162	8673	6985	3088	1624	992	4186	7857	4385	1698	1008	6016	3987	6769	3021	2499	1358	6094	7278	5265	1616	6148	3195	6002	5256	4751	2695	4854	3805	4440	3525	3791	2556	8054334
