m/z	1.0088	12.0007	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9995	18.9986	24.0006	25.0088	26.0045	26.9817	27.0053	27.0248	27.9759	28.0209	28.9837	29.9719	29.9917	30.9804	31.0183	31.9887	32.9796	32.9969	34.0051	34.9695	36.0001	36.9663	37.0078	38.0163	39.0128	39.0265	39.9740	39.9933	40.0179	40.9799	41.0012	41.9995	42.9811	43.0013	43.0216	43.9708	43.9898	44.0160	44.9769	44.9965	45.9916	47.9996	49.0071	50.0064	50.9856	51.0234	51.9748	51.9952	52.0229	53.0022	53.0395	54.0123	55.0189	55.9711	56.0210	56.9862	57.0365	57.9806	58.0085	58.9892	59.0149	59.9666	60.9734	61.9695	62.0144	62.9643	63.0209	63.9395	63.9673	63.9943	64.0279	65.0025	65.0378	65.9996	66.9900	67.0172	67.9722	68.0123	68.9972	69.0353	69.9758	70.0304	71.0130	71.9985	73.0058	73.9817	74.0098	74.9887	75.0229	75.9605	76.0330	76.9692	77.0421	77.9661	78.9600	79.9310	79.9602	80.9577	81.0355	81.9506	82.0316	82.9765	83.0110	83.0510	83.9634	83.9978	84.0485	84.9738	85.0149	85.9681	86.0132	87.0146	87.9404	88.0248	88.9456	88.9977	89.0382	89.9453	89.9968	90.0372	91.0215	91.9546	92.0281	92.9627	93.0352	93.9362	93.9786	94.0348	94.9409	94.9911	95.9400	96.0055	96.9412	97.0062	97.9455	98.0281	98.9430	99.0217	100.0339	100.9696	101.0437	101.9670	102.9712	103.9399	104.9438	105.0373	105.9387	108.0089	109.0080	110.0216	111.0229	111.9369	112.0252	114.0340	116.9439	117.0319	117.9450	118.0413	118.9524	119.9306	120.0248	120.9385	121.0325	121.9300	121.9730	126.0454	126.9578	127.1154	133.9546	134.0487	134.9547	135.9249	136.9332	137.9311	138.9038	138.9325	140.9207	143.9892	145.0185	147.0115	151.0303	156.9018	157.9017	158.8942	160.9143	164.9120	174.8763	175.8738	176.8727	178.9005	179.8951	180.9021	181.9007	182.9013	194.9200	195.8893	196.8970	197.8951	198.8944	199.8912	202.9359	203.0506	204.0701	205.1520	216.8635	217.8608	218.8609	219.8655	220.7069	220.8801	223.0651	238.8510	240.8520	254.8174	255.1976	255.8432	256.8580	257.8526	258.8529	259.8520	260.8634	273.8623	274.8649	275.8489	277.1526	277.8207	278.8221	279.8644	280.8417	283.2222	298.8175	299.8117	300.8180	311.1771	315.8144	316.8191	317.8133	318.8105	320.8051	322.8187	339.2175	342.8346	358.7912	360.7871	361.2001	362.2124	364.8437	366.2120	376.7791	380.7724	395.3834	400.7241	402.7742	407.2756	423.2919	436.7541	437.7454	438.7529	444.7717	448.2747	449.2945	451.3079	466.8272	473.2876	
Wafer (aw1483@wafer-#1 of 36-(-)) *	1343977	56837	114634	16137	376	709	2903708	1025788	5762	35120	99217	244250	93224	7	4088	890	27510	91	13382	692	1914	395	548	70364	1106	12264	348	55850	21058	17279	14899	8610	1315	2465	1419	13779	1394	2595	28283	34343	688	19044	4385	2709	761	266	6046	7005	749	20015	35878	7092	300	3141	1137	1902	334	2187	176	350	548	558	102	746	195	805	342	1364	731	682974	174854	32113	4347	18211	2261	112	7937	1438	967	4948	571	1691	119	844	1021	183	1095	245	313	22	378	4930	9695	1056	1791	2283	2027	833612	1659	755137	2716	71435	56153	324	7113	1356	227	615	495	158	97	63	602	1356	47	1796	1213	882	1383	1040	201	472	143	915	377	111	299	151	970	1679	776	1466	920	115	336	103	1445	611	2594	1089	1458	2016	368	470	807	540	131	2110	264	1555	2661	1116	1291	288	243	528	653	400	304	89	207	135	734	285	970	187	2764	22221	395	9504	1762	2273	369	62	467	52	223	164	540	133879	223369	33021	1250	19020	790	89	254	387	310	390	177	935	421	322	386	106	366	2899	3544	2064	675	287	238	28359	76757	15623	11239	1569	46	44	41	33	163	76	994	212	28	248	43	935	373	248	22	5471	17021	4679	3318	643	277	254	757	206	54	47	353	147	118	16	425	181	135	26	1617	6374	2087	1601	187	28	45	51	204	78	16	9	21	7	2431	113	22	51	35	5	9	1770	774	553	18	9	11	14	12	11	9961864
Wafer (aw1483@wafer-#2 of 36-(-)) *	1079266	54219	99056	11976	258	377	2807900	889400	5524	32958	99295	222926	93903	9	4314	595	24766	49	10746	622	1454	322	356	69049	928	10988	320	52026	20012	16251	12710	7324	1071	1916	1323	12348	1197	2064	23490	31085	647	19216	3416	2355	604	164	5034	4821	774	19491	32235	7160	256	2380	983	1588	297	1818	120	270	341	471	50	596	101	578	173	1286	398	644658	151503	30277	3779	16594	1883	97	8856	1331	678	3881	447	1680	101	630	900	146	743	137	256	15	220	4911	9064	828	1673	1460	1374	798999	1291	659080	1458	65102	50437	334	7344	1132	187	566	378	113	75	33	550	1381	45	1445	1155	812	1320	767	209	350	155	777	257	75	257	113	583	1730	381	1274	518	116	291	64	1195	383	2892	1166	1176	2116	380	474	857	427	133	1882	211	1329	2421	912	993	121	231	487	614	411	299	92	193	110	650	209	819	135	2591	19597	232	7509	887	1963	340	50	319	13	195	72	345	126005	188800	29144	1087	16776	799	85	213	329	284	357	180	898	360	227	362	126	313	2655	2970	1598	520	235	142	26981	64565	13184	9590	1338	53	33	34	16	118	73	868	218	22	258	45	881	326	226	19	5206	14189	3935	2832	521	242	186	496	180	15	51	326	130	105	7	369	164	124	19	1464	5266	1810	1231	159	22	44	40	193	66	10	10	16	12	2046	100	17	50	24	3	8	1436	579	444	18	9	9	6	10	2	9053483
Wafer (aw1483@wafer-#3 of 36-(-)) *	908929	49873	84669	9537	205	266	2702284	791524	5276	29199	94158	197583	84564	10	4197	433	22422	39	9049	559	1156	290	244	66981	684	10012	281	28798	18468	9295	11068	5847	900	1591	1168	11187	916	1828	20117	25304	605	19074	2995	2063	533	126	4138	3905	594	18400	28601	6406	170	1934	906	1367	238	1634	91	222	308	431	40	467	67	494	121	1202	245	617198	137046	28198	3143	15290	1483	78	7759	1194	554	3361	300	1289	85	431	823	117	569	94	235	13	179	4901	8150	605	1588	1121	1060	779647	1240	606638	1028	61814	46678	274	6660	886	140	526	359	104	56	26	498	1309	49	1287	1139	676	1181	675	174	283	113	674	219	93	185	95	449	1541	323	1017	349	96	217	44	748	283	2395	1180	961	1974	290	440	717	385	116	1670	137	1223	2333	833	868	60	184	476	541	376	276	62	148	92	526	143	711	69	2367	18296	194	6568	680	1725	299	51	245	6	131	76	287	121187	171998	26517	717	15135	672	82	236	191	189	259	122	839	307	196	283	72	204	2327	2899	1452	511	174	107	25780	58843	12138	8645	1279	46	21	31	12	78	68	883	179	23	236	29	870	271	256	20	5140	13197	3543	2542	508	224	155	364	134	21	39	325	130	98	5	296	173	149	22	1483	4747	1707	1190	147	15	21	39	155	50	10	5	21	6	1854	88	12	37	24	8	7	1385	578	439	12	8	4	8	5	7	8349859
Wafer (aw1483@wafer-#4 of 36-(-)) *	844314	49840	81127	8786	190	277	2695302	748217	5379	28263	95415	193653	86518	4	4389	456	22287	32	8189	562	1123	278	199	66638	682	9584	257	29866	18481	9555	10812	5685	883	1457	1177	10875	860	1697	19213	25034	571	19458	2961	1938	461	123	3958	3550	634	18354	28529	6436	169	1814	852	1348	213	1627	86	190	268	393	43	482	53	486	113	1111	235	614403	131350	27771	3016	14724	1438	67	8687	1174	516	3159	288	1372	71	434	786	108	570	76	203	12	162	4975	8202	565	1598	956	894	785680	1284	582271	980	60766	45604	256	7010	936	130	506	322	123	52	34	531	1423	39	1367	1137	715	1153	733	176	315	110	683	206	92	211	74	357	1524	258	1077	255	93	204	44	678	275	2646	1322	963	2218	336	478	775	378	101	1622	145	1245	2376	771	792	58	216	495	631	391	247	86	161	98	487	116	704	64	2588	17824	203	6275	680	1681	263	40	237	15	130	100	226	122114	164787	25813	728	14664	704	91	223	165	185	265	153	856	319	205	302	87	220	2308	2713	1271	485	174	76	26259	56752	11829	8244	1192	32	31	27	9	105	51	860	178	26	230	26	838	255	286	12	5204	12456	3472	2520	422	232	138	371	115	10	42	316	115	104	9	336	159	105	13	1510	4839	1720	1117	150	13	36	45	170	70	11	10	8	4	1820	79	10	47	30	5	13	1280	558	467	11	8	19	5	4	4	8185032
Wafer (aw1483@wafer-#5 of 36-(-)) *	760589	50199	77257	7820	178	219	2634839	686621	5137	29398	97904	188351	91067	7	4389	378	21397	25	7648	492	1018	243	159	65418	657	8841	244	28355	18905	8836	10418	5252	900	1291	1144	10969	842	1506	18189	24634	593	19357	2696	1937	442	95	3612	3254	505	19721	28294	7037	180	1668	871	1348	204	1591	67	178	218	384	39	458	40	464	106	1064	222	598310	121422	26519	2830	14143	1362	83	8891	1237	441	3115	262	1389	92	395	780	95	541	48	228	12	161	5479	8757	549	1771	851	822	774563	1270	540382	928	58071	43162	288	7279	940	144	496	317	115	47	17	541	1650	41	1237	1215	772	1135	678	207	317	118	657	197	89	210	91	348	1546	213	1081	259	60	169	42	749	223	2597	1486	914	2452	327	528	846	408	110	1611	116	1179	2283	754	727	69	170	534	655	415	277	78	164	89	486	110	757	73	2506	17125	231	5711	717	1574	258	48	284	8	111	99	226	118915	152672	24287	672	13927	586	94	258	181	201	297	144	788	298	203	311	85	170	2209	2741	1207	502	187	90	25876	52212	10968	7768	1144	33	13	23	12	95	48	864	194	16	248	18	790	285	342	16	5218	11506	3255	2254	458	209	130	328	98	18	39	279	132	92	15	317	146	116	23	1509	4394	1612	1103	130	17	33	32	144	55	11	6	19	2	1685	94	7	56	22	7	8	1262	535	390	17	7	10	6	8	13	7852388
Wafer (aw1483@wafer-#6 of 36-(-)) *	596870	57626	75271	6363	215	139	2473046	518156	4753	50127	122926	206893	125805	9	4761	324	19293	14	6272	463	845	187	126	59186	617	5451	140	23927	23420	7591	11000	5376	950	1127	1262	12857	750	1373	18458	26202	540	18580	2619	1930	428	76	3119	2543	476	26571	34249	9869	134	1454	950	1512	173	1758	39	138	166	440	30	484	31	547	82	962	118	569609	96488	24174	3082	14641	1319	74	8680	1499	416	3475	183	1806	84	352	996	110	565	57	261	11	118	8458	11777	583	2608	605	782	758684	1302	414053	697	50535	42708	244	7310	1067	108	492	212	85	48	15	637	2803	81	1332	1838	1004	1575	706	189	346	96	813	158	73	323	60	260	1610	181	814	156	63	123	31	589	174	2523	2626	874	3944	347	867	626	447	106	1748	87	1221	2112	728	648	40	140	964	1004	636	358	72	202	98	399	90	878	66	2295	16373	325	4876	1220	1530	353	34	236	6	110	158	164	117017	116328	20135	566	12268	637	199	460	160	194	299	140	798	310	154	283	76	137	1970	2587	1109	447	142	63	25852	40163	9156	6304	979	26	10	36	5	65	40	859	166	19	219	30	728	221	335	14	5339	8859	2702	1893	377	183	91	210	60	13	42	290	108	98	5	250	159	100	7	1518	3380	1344	915	107	23	30	35	138	51	7	3	11	7	1306	78	6	49	23	3	16	1039	473	351	8	9	5	3	9	4	7195114
Wafer (aw1483@wafer-#7 of 36-(-)) *	790998	55821	84200	8570	198	218	2714278	697798	5136	38714	113564	217209	109672	14	4553	416	22232	29	8021	560	1035	257	188	66348	777	8195	213	38104	22223	12084	12093	6080	996	1520	1289	12750	997	1690	20859	28558	658	19730	3087	2003	491	106	3858	3415	665	23453	33886	8563	189	1813	940	1540	213	1847	63	201	234	457	39	523	37	484	98	1101	192	632823	127068	28227	3332	16473	1578	100	8519	1436	528	3780	262	1611	89	435	902	105	670	61	242	14	164	6804	10286	637	2121	794	986	826029	1317	567554	938	60916	48630	311	7127	1062	159	551	336	107	40	20	590	2049	60	1434	1480	893	1475	808	212	341	115	829	210	94	211	88	360	1651	246	1072	271	91	164	55	870	227	2756	1801	1024	3096	378	660	692	446	134	1827	110	1335	2330	796	818	44	162	697	843	509	337	65	178	86	466	107	848	63	2362	18319	243	6314	832	1763	363	52	348	8	149	125	289	128866	162103	25999	991	14747	704	126	340	213	162	352	165	933	351	169	291	90	232	2426	2917	1423	502	182	93	28055	56108	12074	8422	1147	34	9	31	5	112	72	1097	199	25	242	24	794	293	239	21	5724	12415	3477	2455	433	203	138	348	122	14	28	330	138	83	6	325	176	116	25	1586	4942	1727	1259	131	20	41	32	166	60	11	5	14	6	1807	81	8	47	24	3	6	1298	566	400	10	7	9	10	6	5	8287712
Wafer (aw1483@wafer-#8 of 36-(-)) *	643129	53400	73558	6523	197	158	2564931	585070	4824	38147	112959	198007	111314	9	4566	365	20135	29	6688	527	812	186	130	62918	646	6960	156	31582	21780	9917	10809	5338	864	1165	1241	12405	828	1363	18667	26046	618	19355	2916	1816	423	80	3215	2912	701	24021	32330	8759	170	1433	859	1493	185	1813	42	162	190	477	31	483	29	466	95	1098	141	592345	107779	25852	2968	14690	1338	77	8527	1383	423	3370	203	1698	86	328	846	104	596	43	272	10	120	7311	10747	538	2164	616	857	791544	1309	481902	750	55521	43077	280	6959	937	138	515	259	73	38	18	548	2263	73	1294	1597	852	1413	657	178	317	118	749	180	97	265	68	290	1617	184	941	174	92	175	26	803	193	2697	2132	937	3279	343	720	571	399	108	1763	103	1147	2170	737	712	40	178	730	876	568	319	76	191	85	470	95	756	73	2486	16642	263	5294	907	1465	328	41	304	8	139	119	207	122053	136758	22838	741	12634	595	149	355	216	236	328	148	856	320	160	275	79	188	2187	2734	1143	436	162	72	26665	47382	10349	7159	1098	32	17	25	7	100	58	915	192	15	219	34	761	228	245	16	5234	10355	2981	2113	430	199	107	266	89	14	39	290	124	90	7	303	133	97	21	1555	3935	1418	1057	123	22	30	39	133	48	13	5	12	8	1597	71	6	42	23	2	5	1068	455	383	8	9	8	3	12	8	7542844
Wafer (aw1483@wafer-#9 of 36-(-)) *	563616	51976	66633	5551	152	124	2498026	523580	4682	36265	110724	184324	108831	8	4577	304	18891	20	5755	449	731	184	107	62027	547	6321	141	22623	21361	7073	10319	4733	799	1006	1149	11993	715	1264	17406	23958	559	18958	2706	1820	420	70	2900	2548	547	24000	30568	8832	130	1280	815	1369	159	1671	37	146	171	416	20	398	31	431	75	1111	124	572506	98314	24835	2721	13671	1181	85	8461	1439	397	3184	217	1608	87	330	844	93	541	33	238	6	103	7482	10306	541	2252	534	750	777315	1299	443717	657	52541	40222	281	7156	894	107	465	236	97	26	19	551	2454	59	1257	1626	772	1332	664	168	255	92	694	137	97	226	54	240	1553	164	815	134	64	137	27	536	144	2637	2240	876	3343	359	769	627	384	115	1586	83	1143	2106	710	635	39	161	788	868	590	294	64	166	94	408	76	774	70	2307	15806	278	4757	956	1452	319	44	254	15	108	145	166	119881	124991	21561	680	11984	543	166	394	167	143	278	134	881	319	182	282	68	123	2042	2513	1035	409	141	65	26111	43450	9630	6573	1042	27	19	25	12	85	54	912	187	19	194	24	699	239	337	17	5300	9541	2832	1960	390	178	83	220	83	10	38	261	114	107	7	277	126	95	14	1500	3613	1405	904	108	21	29	37	121	37	9	5	14	7	1313	81	8	45	27	6	11	1091	457	314	12	5	11	4	7	5	7152766
