m/z	1.0076	11.9996	13.0076	14.0151	15.0232	19.0182	22.9899	23.9844	24.9844	24.9933	25.0066	25.9838	26.0147	26.9809	27.0233	27.9870	28.0177	28.0294	29.0020	29.0394	30.0338	30.0428	30.9804	31.0000	31.0183	37.0062	38.0155	38.9650	38.9952	39.0243	39.9608	40.0275	40.9636	40.9813	41.0091	41.0365	41.9902	42.0103	42.0439	43.0003	43.0202	43.0573	43.9692	43.9809	44.0220	44.0469	44.0581	44.9771	45.0148	45.0334	45.9494	45.9778	46.9476	46.9752	46.9950	47.9453	48.9511	49.0045	49.9442	50.0134	51.0225	51.9922	52.0292	52.9828	53.0014	53.0380	53.9873	54.0087	54.0426	54.9978	55.0187	55.0550	56.0227	56.0582	56.9642	57.0137	57.0340	57.0725	58.0396	58.0724	58.9929	59.0110	59.0316	59.0500	60.9518	60.9817	61.0073	61.9441	62.0127	62.9467	63.0212	64.0278	64.9485	65.0375	65.9891	66.0437	66.9970	67.0548	68.0237	68.0571	68.9944	69.0123	69.0345	69.0722	70.0748	71.0517	71.0886	71.9472	72.0888	72.9518	73.0606	73.9861	74.0118	75.0206	76.0276	76.9978	77.0362	78.0429	78.9520	78.9809	79.0525	79.9493	80.0556	80.9446	81.0339	81.0719	81.9509	82.0716	83.0484	83.0910	84.0880	85.0025	85.1093	85.9607	86.0110	86.9641	87.0195	87.9402	87.9744	88.0258	88.9304	88.9475	89.0344	89.9876	90.0422	91.0522	92.0564	93.0693	94.0701	95.0474	95.0902	96.0865	96.9558	97.1068	97.9588	98.0102	99.0196	99.9725	100.0309	100.9811	101.0347	102.0417	102.9621	103.0495	104.0209	104.0564	104.9433	105.0302	105.0693	106.0304	106.0686	106.9105	107.0456	107.0862	107.9112	108.0869	109.0010	109.1051	110.0095	111.0177	111.9732	112.0239	112.0910	113.0306	114.0409	115.0488	116.0520	117.0587	118.0688	119.0839	120.0851	120.9488	121.1008	122.0076	123.9057	126.0377	127.0461	128.0513	129.0581	130.0589	131.0365	131.0814	132.0811	134.0046	137.0254	139.0444	140.0474	140.9052	141.0572	141.8847	142.0626	142.8836	143.0765	143.8758	144.0704	144.8788	145.0954	146.0075	147.0689	149.0189	150.0248	151.0299	152.0451	153.0468	154.0496	155.0734	156.0727	157.0912	157.9977	162.0189	163.0368	164.0350	165.0548	166.0532	167.0685	168.0615	169.0944	170.0013	170.8545	174.0239	175.0228	176.0414	176.8809	177.0425	178.0545	179.0648	180.0705	181.0872	186.0129	187.0273	188.0293	189.0465	190.0440	191.0563	192.0579	193.0907	197.1579	198.0211	198.9058	199.0246	200.0328	201.0344	202.0501	202.8759	203.0571	204.0635	204.9072	205.0659	206.0811	208.9888	210.0172	211.0216	212.0261	213.0428	214.0459	215.0625	216.0642	217.0758	222.0094	223.0186	223.8059	224.0219	225.0303	226.0472	227.0467	228.0509	229.0750	230.0814	232.0683	235.0265	236.0313	237.0338	238.0306	239.0553	240.0563	241.0647	242.0666	246.0521	248.0241	250.0399	251.0429	252.0581	253.0649	254.0665	259.0256	262.0315	263.0484	264.0628	265.0610	266.0721	273.0350	274.0292	276.0523	277.0586	278.0626	279.0765	286.0292	287.0405	289.0584	290.0688	291.0744	296.0057	299.0271	300.0474	301.0482	302.0624	303.0707	309.0203	311.0315	313.0527	315.0702	324.0385	326.0566	335.0248	337.0432	346.0115	349.0378	359.0202	370.0060	372.0230	374.0462	385.0299	387.0499	
Wafer (aw1483@wafer-#1 of 36-(+)) *	80741	14983	15251	23987	55274	2712	1758623	2689	321	276	5415	448	53884	25784	356045	26319	18409	22593	46819	225951	6316	8583	5745	4464	18194	18190	49078	524682	22166	341517	27795	46817	42099	7306	20056	449841	20768	8495	57782	37418	53711	162180	72331	11044	4016	2301	8749	649734	6515	11392	2147	37585	18	31007	3708	482	398	5204	310	74841	151158	851	50557	49375	20429	123361	10762	2504	31588	16302	24618	181666	2815	24571	10080	5915	8869	65006	1239	5055	2814	743	2032	3504	445	5980	12916	246	45502	950	113074	21808	1707	72298	11502	17646	13649	52867	2327	10718	3268	2921	4752	35260	7675	4094	16415	18274	1488	4305	4504	3878	46665	54370	38192	28233	113564	31125	2839	9049	39347	830	9787	3035	3665	22545	682	4623	2422	7474	1990	5931	1614	935	27125	715	36475	12777	1104	10731	547	7755	23389	2964	6771	68446	9214	10587	4045	2164	8831	2366	1209	2048	766	22466	16415	565	4608	4883	7748	16382	1475	16035	9103	5959	14262	12953	13775	1470	3886	262	2233	4146	682	1710	3200	3017	12380	11315	309	2532	918	8518	5610	56495	13449	14823	3362	4244	1719	4863	1508	11344	323	13895	18335	42558	16690	5849	2817	4691	1672	6217	4785	25936	6129	511	20216	315	6425	339	4413	177	3045	340	1865	4255	1126	25385	16556	18707	36482	18457	7347	6212	2808	1801	2313	5405	19859	11875	36126	10062	8475	3776	1959	1851	149	7220	6296	18265	549	9009	19946	9689	3358	2325	4413	15103	8729	29582	10845	10913	4758	2088	2963	5134	1775	5155	15814	10141	25844	323	10880	4485	179	3982	1988	2721	2325	8601	5160	17379	6161	15247	5518	2940	4334	4392	358	13256	8022	18848	9781	8210	4431	1980	1187	6795	4691	12783	5810	17951	6530	4979	2483	2939	8485	14491	6596	10585	5847	2856	4840	5447	14497	4947	7443	3103	3690	9446	11207	6065	3641	2521	3899	9820	8167	3646	2634	3741	4324	9654	4993	5185	3139	4471	7705	8553	3499	7558	5495	5270	7166	3098	3269	3596	2215	3701	4448	3568	3697	13322289
Wafer (aw1483@wafer-#2 of 36-(+)) *	77036	15818	14785	21586	40819	1747	1884853	3261	314	304	5532	481	48084	26997	267567	26041	13946	16478	37470	123764	4040	4609	4528	2371	10673	18067	46994	697896	18066	279017	38736	37899	54712	6426	10963	274023	15145	6579	32272	23864	34151	49286	76231	10621	2219	1255	3154	566427	2955	4901	2188	33116	20	27772	2356	464	391	5299	274	72071	144853	782	46964	45196	16885	100182	9530	2112	20161	11308	18410	87959	1727	10212	11080	2644	4682	12587	561	1430	1759	376	800	944	434	5435	12524	295	45484	848	110688	21248	1728	65207	10783	15319	11168	34455	1751	6116	2731	1852	3050	12262	2217	1323	1989	18512	330	3820	891	4069	46466	52170	30276	26151	105023	29054	2858	6770	31442	734	7396	2320	2628	12175	667	2627	1214	1989	685	6066	285	921	27462	524	36248	13028	1004	10136	556	6941	22452	2965	6212	61082	8015	7237	2778	1402	3889	1119	1064	522	622	23224	16936	540	4475	4890	7337	15962	1136	14904	4182	5344	12771	9493	10785	1180	3145	235	1521	2401	647	1105	3499	1132	13185	11797	338	2549	361	8174	5188	53655	12475	12855	2859	2839	1343	4408	876	11675	269	13351	17342	40243	15008	5028	2183	3455	1389	6571	4514	24889	5707	461	18971	259	5864	308	3628	182	2417	266	1308	4657	733	5285	14439	17420	34331	17372	6662	5256	2395	1385	2531	5250	18395	11245	33319	9094	6853	3235	1448	1976	148	7129	5957	17102	529	8237	18018	8203	3021	1799	4424	14486	8247	26861	9817	9575	4055	1718	475	5195	1484	4921	15048	9588	23383	282	9600	4027	134	3298	1707	2646	2280	8478	4959	15966	5531	13304	4924	2485	4552	4416	361	12641	7788	17509	8703	7140	3593	1617	994	6685	4702	12091	5482	15983	5792	4356	2164	3143	8492	13339	6072	9190	4910	2438	4902	5197	13125	4444	6319	2582	3633	9021	10179	5551	3045	2043	3908	9227	7232	3169	2138	3958	4093	9192	4695	4281	2728	4509	7658	7740	2958	7097	5039	5220	6907	3415	3163	3795	2431	3751	4348	3587	3690	11953333
Wafer (aw1483@wafer-#3 of 36-(+)) *	76581	16889	15067	20515	34892	1312	2008455	2590	295	234	5998	355	45826	28106	227424	28179	12113	12589	34913	82626	2483	3068	4126	1762	7410	19272	47293	773766	15600	250044	20309	33119	57537	6239	7673	197726	12922	5589	21853	18132	26372	23573	84183	12080	1389	678	1597	544193	1808	2900	2292	32160	16	27339	1905	480	396	5728	281	73663	143775	758	46012	45422	16445	85659	9098	1919	14775	9153	15013	52612	1218	5607	5833	1705	2975	4756	278	697	1352	221	418	448	360	5562	13148	327	47685	616	113402	21270	1172	60212	10570	13167	10280	24141	1481	3957	2553	1385	2209	5534	1030	667	588	20318	129	3946	430	4043	49085	53296	28173	25032	96585	27087	2536	5855	25379	656	5651	1903	2010	7529	434	1463	738	837	309	6701	133	922	29464	444	38240	14354	1051	10496	559	6997	22387	3076	5798	54230	7065	5216	1857	935	2198	585	984	240	687	25309	17758	499	4502	5288	7197	15705	986	13694	2812	4690	12480	7380	8526	914	2300	193	1185	1546	508	690	3841	626	14360	12428	264	2626	243	8177	5133	51752	11507	10749	2346	2045	920	4273	555	12792	234	13387	16779	37536	13224	4424	1669	2541	1066	7140	4612	24673	5715	368	17393	235	5147	217	2966	104	1970	183	876	5305	463	2791	13991	17043	33247	16152	6030	4352	2013	1051	2871	5035	18291	10777	31905	8375	6252	3046	1112	2223	109	7268	5799	16662	501	8024	16919	7786	2707	1536	4476	14445	8174	25817	9405	8906	3786	1440	258	5496	1283	5067	14707	9280	22042	259	8896	3642	111	2995	1526	2691	2398	8844	5137	15757	5367	12795	4558	2287	4893	4484	322	12604	7398	16883	8142	6752	3435	1482	920	6995	4873	12119	5289	14817	5374	3998	1978	3375	8882	12805	5593	8588	4537	2240	5215	5171	12257	4257	5895	2376	3865	8688	9396	4897	2936	1887	4068	9000	6654	2913	1995	4225	4150	8629	4307	4006	2383	4736	7459	7188	2517	6998	4619	5461	6622	3702	3071	3906	2614	3893	4292	3856	3427	11653708
Wafer (aw1483@wafer-#4 of 36-(+)) *	76451	17860	15167	19895	31013	1118	2127522	2683	303	212	5942	395	44630	27869	201450	27288	10511	10302	32173	62297	1941	2350	3625	1365	5933	19668	46533	910061	14203	225780	24030	29897	67702	5933	6428	156696	11692	5014	16979	15112	21856	14861	87004	11856	1153	586	1093	514112	1537	1892	2415	30518	15	26414	1572	460	385	5904	283	72793	139462	742	43328	45010	15057	74258	8684	1809	11856	7785	12880	36894	931	3975	6320	1309	2163	2752	199	466	1083	169	268	261	426	5398	13718	464	48596	678	112387	20864	1193	54355	10181	11775	9366	18681	1213	2924	2398	1181	1755	3366	639	404	302	20343	96	3881	256	4333	50318	53310	26094	23279	86526	24291	2627	5162	20817	728	4433	2039	1620	5118	428	1033	488	520	191	7276	86	988	30859	414	39132	14831	965	10473	593	6947	21503	3028	5424	46661	5938	3848	1386	692	1442	404	1038	152	687	26521	18399	564	4628	5565	7128	14978	939	12417	2140	4095	11967	5591	6674	767	1830	206	890	1055	581	463	4132	424	15464	13373	302	2750	170	8143	5016	47592	10568	9252	1898	1557	679	4198	392	13819	233	13309	15724	34613	11520	3765	1399	1994	860	7765	4531	23757	5438	346	15305	198	4330	220	2409	104	1688	199	710	5715	331	2288	13974	16807	31843	14796	5448	3766	1700	827	3187	5327	18263	10674	29961	7636	5393	2748	959	2536	100	7366	5886	16203	543	7710	15948	6953	2453	1277	4536	14622	8060	24987	8914	8260	3485	1166	204	5632	1210	5007	14661	8981	21356	234	8489	3416	114	2846	1334	2733	2561	8815	5112	15377	5177	11864	4306	2121	5055	4596	350	12631	7372	16192	7739	6207	3107	1292	779	7123	4958	11872	5194	14309	5096	3632	1814	3361	8893	12376	5541	8063	4278	1991	5349	5136	11625	3939	5483	2219	3911	8886	9010	4618	2616	1695	3959	8998	6269	2745	1699	4599	4159	8287	4047	3710	2266	5145	7549	6713	2481	6868	4403	5734	6491	3845	3123	4165	2797	4052	4224	3945	3408	11546013
Wafer (aw1483@wafer-#5 of 36-(+)) *	73777	18190	15345	19208	28620	1006	2074908	3227	308	212	6225	436	42996	27860	185997	28876	9408	9932	31445	52334	1663	1927	3464	1198	5025	19606	45991	1006640	13939	207344	25436	27553	75248	5862	5851	133687	10878	4782	14063	13328	19282	11467	85513	13860	933	405	843	488863	1365	1635	2434	29205	11	25853	1378	461	387	6055	287	71889	136014	778	41445	43952	14799	66653	8315	1676	10225	6918	11319	29204	835	3058	6657	1079	1759	2095	129	328	958	128	226	212	398	5323	14090	453	48792	671	111637	20337	1182	50776	9864	10739	8976	15313	1103	2399	2327	1032	1435	2621	494	311	211	20796	73	3907	271	4112	51269	53342	24715	21808	79758	22764	2630	4775	17736	746	3825	1933	1332	4092	442	812	419	348	145	7264	91	996	31490	417	39632	15113	948	10452	543	6686	20497	3025	5072	42527	5060	3239	1099	536	1155	314	1091	109	704	27616	18738	562	4642	5631	6877	14269	826	11527	1780	3602	11667	4862	5700	655	1540	192	721	816	616	399	4462	321	16363	13281	330	2762	173	7974	4698	44951	9565	8213	1667	1288	549	4126	294	14420	236	12967	14785	31467	10330	3391	1139	1663	681	8367	4612	23228	5211	375	14159	174	4004	231	2068	112	1480	180	534	6239	354	2007	13947	16312	30361	13869	5092	3499	1480	684	3479	5245	18137	10355	28328	7146	5007	2496	776	2657	121	7468	5635	15878	578	7495	15041	6276	2175	1126	4666	14364	8152	23868	8489	7643	3089	1093	191	5695	1125	5110	14445	8737	20193	228	7926	3076	111	2552	1322	2850	2515	8881	5087	14790	5094	11345	3973	1956	5257	4689	366	12681	7158	15719	7326	6010	2953	1239	751	7309	4835	11681	5135	13813	4945	3397	1766	3629	8921	12207	5326	7777	3952	1984	5745	5096	11520	3818	5270	2067	3958	8839	8873	4432	2501	1628	4050	8430	6118	2612	1717	4767	4195	8380	3903	3634	2086	5217	7316	6505	2320	6811	4192	5921	6231	4017	3210	4285	2907	4215	4069	3919	3351	11337934
Wafer (aw1483@wafer-#6 of 36-(+)) *	69649	18896	15886	19354	27676	887	1911830	2629	272	216	6415	390	42723	25574	182073	25331	8311	10738	29394	50759	1484	1775	3121	1143	4749	19689	45128	998726	13314	205301	24172	26658	74526	5615	5475	128742	10277	4337	13456	12800	17347	10820	75806	11658	866	401	769	406197	1262	1509	2084	24419	13	23449	1405	502	406	6072	274	69855	131397	785	40050	43929	14257	64801	8250	1568	9830	6882	10520	27469	789	2896	6114	1069	1587	1953	158	310	919	153	177	196	307	4921	14077	405	48473	552	108465	19315	1160	48263	9586	9993	8638	14622	945	2183	2135	1011	1300	2373	457	261	216	18965	84	3712	225	4330	50790	51921	23767	21889	75975	21620	2586	4109	17027	749	3597	1816	1175	3815	388	731	361	335	136	7757	102	964	31732	451	39454	13680	1028	10117	476	6082	19616	3037	4697	39984	4771	2945	1045	507	1067	220	1137	118	725	28561	18738	598	4631	5994	6522	13613	842	10639	1543	3424	9995	4638	5329	599	1438	175	665	811	519	338	4759	313	17149	13828	310	2791	181	7692	4540	41632	8924	7400	1490	1123	473	3624	281	15611	192	12169	13959	29499	9581	2964	1043	1573	614	8842	4496	21357	4747	343	12976	184	3704	200	1807	115	1269	183	491	6871	348	2023	13429	15301	27966	12758	4617	3129	1401	674	3857	4990	16627	9670	25256	6475	4344	2329	748	3102	113	7204	5337	14335	714	6581	13176	5825	1946	1057	4574	13535	7444	21154	7496	6782	2856	980	177	5553	910	4886	13319	7936	17914	196	6826	2843	105	2327	1176	2904	2551	8532	4775	13375	4457	9877	3446	1619	5318	4463	307	11728	6607	13786	6510	5160	2528	1061	697	7075	4789	10634	4699	11675	4232	2969	1488	3830	8529	10934	4710	6687	3393	1595	5541	4733	9852	3423	4511	1732	3817	7992	7416	3814	2150	1399	3873	7683	4974	2126	1452	4780	3958	7185	3307	3037	1755	5060	6898	5547	1944	6114	3642	5401	5576	3998	2927	4132	3096	4020	3772	3766	2896	10579295
Wafer (aw1483@wafer-#7 of 36-(+)) *	74557	19187	16128	18706	26357	934	2275522	3125	358	261	6491	451	42619	27759	170194	22226	8897	8836	30320	42834	1428	1535	3134	967	4311	20524	47220	946718	11696	202244	39035	25365	70701	5597	4944	110406	9655	4364	11827	11647	16928	9034	86272	11748	857	375	751	465104	1098	1339	2463	27805	33	25252	1254	672	409	6463	282	75320	138044	696	39753	44525	15263	59544	8253	1650	8382	6235	10247	21762	736	2394	9416	834	1191	1918	134	310	842	91	163	161	451	5465	14948	514	52858	838	117656	20538	1573	47537	9815	9201	8320	11661	877	1858	2228	866	1163	1918	394	228	215	20220	142	3704	253	4300	55852	57038	24610	20144	74189	21015	2688	4823	14275	748	3003	1964	1175	2925	534	565	270	301	140	8279	109	1037	34863	462	42673	15291	1046	11213	680	6501	21011	3270	4898	36482	4244	2470	888	473	783	208	1133	111	750	30498	20559	629	5132	5998	7195	14486	855	10341	1407	3066	11681	3868	4497	526	1176	230	578	691	637	249	4797	247	17717	14808	337	3092	142	8643	5000	43300	8659	6618	1285	881	394	4223	224	16125	232	13544	14705	29148	8853	2868	1060	1291	462	8829	4948	23919	5235	366	12400	181	3489	219	1523	135	1097	239	399	6620	288	2132	15100	17283	30389	12968	4414	2736	1192	490	3792	5825	19242	10790	26341	6719	4382	2135	626	2900	142	8281	6384	16577	470	7437	13922	5879	1930	907	5156	15910	8579	24260	8396	7053	2809	922	176	6029	1145	5478	15702	9158	19973	207	7580	2921	104	2224	1125	2964	2834	9718	5551	15779	5384	11196	3817	1714	5619	5170	377	13834	7729	16088	7525	5745	2706	1167	642	7945	5262	12735	5459	14228	4901	3213	1636	3952	9729	12938	5720	8012	3863	1900	6036	5476	12031	3982	5271	2068	4034	9496	9058	4474	2561	1615	4129	9250	6144	2675	1713	5125	4415	8560	4102	3713	2029	5522	8041	6698	2277	7122	4458	6154	6691	4150	3171	4545	3149	4411	4435	4045	3542	11213966
Wafer (aw1483@wafer-#8 of 36-(+)) *	69829	20905	16083	17354	21043	653	2303932	3133	304	188	6787	422	38842	27616	136251	23615	6639	6871	27839	27064	895	1041	2683	709	3030	20658	43837	1128082	10365	161281	36940	20031	83127	5624	3880	73239	7988	3806	7528	8576	12140	5026	88486	12908	553	211	388	407291	885	950	2414	25273	21	23499	971	682	449	6688	257	69924	121289	729	33736	41850	14020	43087	7459	1444	5674	4699	7366	12335	508	1315	8140	592	796	1150	61	231	593	78	103	99	370	5234	15919	553	51335	809	107393	18007	1304	36922	8841	6801	6919	7034	648	1110	2052	605	716	1038	207	122	137	20652	70	3687	156	4228	56170	53495	21756	17498	55681	15802	2585	3762	9353	729	1912	1859	729	1709	466	328	154	172	70	8982	74	904	35681	392	41958	15734	996	10467	602	6118	17504	3001	3872	25015	2877	1442	498	245	451	114	1116	66	722	32282	20602	611	5024	6176	6251	11707	702	7413	948	2202	10433	2428	2745	350	625	219	322	345	622	151	5499	164	19675	15362	303	2971	140	7762	4183	32531	6310	4442	780	526	227	4071	140	17744	219	11924	11446	21265	6039	1771	644	765	260	9939	4798	19753	4081	329	8726	124	2348	158	954	123	658	216	213	7751	248	1989	13781	14281	22862	9232	3081	1858	765	309	4400	5315	16741	9061	19664	4693	2910	1555	359	3430	118	7784	5610	13639	440	5819	9818	3927	1301	607	4919	14291	7512	18845	6232	4951	2003	567	127	6040	981	5187	13602	7568	15026	154	5385	2048	73	1514	847	3030	2759	9088	4979	13238	4252	8011	2576	1163	5785	4933	364	12295	6715	12627	5650	4110	1818	713	427	7608	5070	10881	4590	10719	3665	2266	1170	4009	9049	10580	4503	5840	2698	1335	6108	4848	9534	3078	3706	1453	3910	8112	6999	3338	1859	1115	3843	7714	4773	1887	1195	5109	3904	6773	3161	2651	1476	5378	6780	5222	1653	5973	3362	5567	5084	4070	2710	4282	3199	4088	3573	3643	2773	10673717
Wafer (aw1483@wafer-#9 of 36-(+)) *	67577	21750	16223	16264	18500	538	2364851	2808	309	195	6966	384	37053	27644	118441	26740	5821	5708	27330	20877	706	719	2563	666	2632	21085	42087	1071840	8853	145366	27264	17593	78372	5294	3597	56407	7229	3520	5867	7252	10061	3859	94208	13291	427	165	266	385426	758	682	2638	24081	17	23523	921	566	369	6809	194	68154	111637	762	30273	40031	13907	35179	7099	1405	4459	3893	5844	8961	411	939	6143	468	547	975	57	163	484	63	73	78	361	5086	16673	514	51737	678	102264	16755	1010	30715	8130	5342	6156	5181	525	770	1972	499	511	769	155	91	134	21511	65	3720	178	4180	55906	51633	19878	16868	45656	12930	2546	3160	7227	739	1372	1748	569	1149	365	223	127	154	56	9620	92	918	37146	405	41372	16562	1046	10005	536	6077	15658	3063	3299	19746	2212	1000	304	165	314	69	1151	61	824	33673	20895	659	4824	6613	5523	10432	685	6020	782	1679	10106	1853	1929	305	491	197	273	242	581	98	6261	121	20477	15561	369	2979	145	7278	3813	26890	4959	3295	586	334	142	4034	104	18686	231	10723	9590	16960	4612	1310	481	558	191	11083	4736	17135	3676	332	6521	131	1687	140	685	105	490	175	158	8511	220	1887	12682	12693	19376	7481	2285	1319	505	227	4979	5194	15267	7790	15639	3756	2156	1263	285	3699	92	7497	5238	11967	395	4873	7815	3024	919	458	4826	13379	6682	15661	5046	3735	1546	392	103	6046	809	5038	12249	6584	12228	101	4346	1587	77	1252	789	2957	2729	8829	4611	11376	3743	6440	2100	860	5771	4695	291	11298	6098	10637	4639	3268	1407	574	382	7484	4727	9796	4099	8694	2857	1846	984	4118	8595	9192	3735	4773	2172	1042	6174	4330	7993	2590	3074	1165	3789	7254	5597	2679	1459	880	3606	6479	3709	1613	869	4937	3534	5805	2614	2136	1212	5210	6014	4302	1291	5289	2836	5042	4527	4134	2462	4134	3211	3693	3015	3278	2319	10388441
