m/z	1.0087	12.0006	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9996	18.9987	24.0008	25.0090	26.0047	26.9820	27.0055	27.0250	27.9761	28.0211	28.9839	29.9721	29.9919	30.9806	31.0186	31.9890	32.9798	32.9972	34.0054	34.9699	36.0004	36.9667	37.0082	38.0167	39.0130	39.0268	39.9744	39.9937	40.0183	40.9802	41.0017	42.0000	42.9814	43.0018	43.0220	43.9713	43.9900	44.0164	44.9774	44.9970	45.9922	48.0003	49.0077	50.0071	50.9837	51.0241	51.9753	51.9957	52.0233	53.0028	53.0401	54.0130	55.0196	55.9715	56.0217	56.9867	57.0372	57.9810	58.0091	58.9894	59.0157	59.9675	60.9742	61.9703	62.0152	62.9653	63.0217	63.9401	63.9678	63.9948	64.0285	65.0034	65.0384	66.0005	66.9895	67.0180	67.9730	68.0131	68.9979	69.0360	69.9766	70.0311	71.0139	71.9996	73.0069	73.9822	74.0105	74.9895	75.0238	75.9617	76.0338	76.9704	77.0430	77.9674	78.9613	79.9317	79.9611	80.9588	81.0365	81.9515	82.0326	82.9755	83.0117	83.0516	83.9644	83.9988	84.0495	84.9747	85.0151	85.9690	86.0145	87.0160	87.9414	88.0260	88.9466	88.9988	89.0390	89.9463	89.9973	90.0379	91.0229	91.9553	92.0296	92.9632	93.0367	93.9367	93.9794	94.0359	94.9419	94.9921	95.9414	96.0065	96.9427	97.0075	97.9467	98.0297	98.9440	99.0229	100.0353	100.9710	101.0450	101.9684	102.9726	103.9415	104.9456	105.0388	105.9405	108.0097	109.0091	110.0234	111.0246	111.9374	112.0272	114.0359	116.9456	117.0335	117.9469	118.0423	118.9541	119.9328	120.0266	120.9407	121.0346	121.9318	121.9720	126.0470	126.9576	127.1171	133.9554	134.0506	134.9565	135.9275	136.9358	137.9337	138.9021	138.9346	140.9225	143.9877	145.0203	147.0130	151.0330	156.9047	157.9039	158.8972	160.9158	164.9142	174.8793	175.8770	176.8761	178.9039	179.8985	180.9054	181.9038	182.9041	194.9232	195.8932	196.9010	197.8991	198.8983	199.8952	202.9320	203.0539	204.0740	205.1551	216.8678	217.8649	218.8642	219.8685	220.7071	220.8839	223.0669	238.8539	240.8549	254.8224	255.2016	255.8482	256.8630	257.8580	258.8583	259.8573	260.8680	273.8678	274.8708	275.8547	277.1583	277.8248	278.8270	279.8668	280.8461	283.2267	298.8236	299.8174	300.8235	311.1803	315.8204	316.8253	317.8198	318.8167	320.8087	322.8203	339.2207	342.8398	358.7980	360.7925	361.2082	362.2203	364.8509	366.2197	376.7869	380.7793	395.3775	400.7157	402.7805	407.2849	423.3012	436.7623	437.7542	438.7622	444.7532	448.2842	449.3003	451.3175	466.8231	473.2985	
May-9 (aw1476@May_9-#1 of 36-(-)) *	2502312	85813	263042	45608	319	3793	1219312	1018495	3032	7576	111944	384079	58351	611	1050	8840	17590	328	16700	410	3223	555	1105	32396	547	7912	390	12482	22539	3977	19710	17614	1453	6391	1216	19046	3024	2814	79501	33782	17875	4667	12342	1338	3245	1127	4445	25788	3062	18220	44224	7056	1265	8732	866	3411	977	4446	1031	2140	3438	335	595	1105	3718	708	12996	46062	9744	189982	79004	12795	7015	17747	4606	739	1257	1648	2302	8672	3644	2579	2930	4149	992	813	4274	2931	222	527	15264	5225	14311	676	2163	2327	4664	180253	2331	277325	6511	23149	40982	3160	7016	4376	2446	1611	760	2175	927	1366	536	1544	650	2074	3444	443	2615	3228	592	977	442	1903	1263	437	501	458	2264	739	2644	949	2244	682	1222	388	2853	3967	8557	1198	23300	2905	3657	1134	2521	2203	1295	3054	1645	2615	5287	1273	3988	1144	1342	784	1002	799	1723	557	879	553	989	1082	2223	475	26525	8284	1278	8430	5666	1588	1947	391	655	1415	1026	1546	1010	33286	98615	13238	5100	11554	1868	331	1265	2526	1215	5236	1428	1230	3131	986	1328	2202	4467	11990	1978	2404	997	829	512	7402	36698	6974	9654	1810	1253	749	397	1759	2523	958	3113	971	715	2406	733	5457	1718	877	1374	2138	8951	2717	3727	839	808	318	932	442	1114	736	1811	1004	3168	1092	2718	1095	2765	3215	510	3051	1148	1473	1707	1687	2229	1571	1109	491	270	203	1276	274	1469	1026	1006	941	982	1374	1714	993	466	501	769	129	331	603	851	1431	8219296
May-9 (aw1476@May_9-#2 of 36-(-)) *	2620215	95210	283498	47787	357	4140	1255475	1056148	3091	8270	131253	435487	72637	695	1291	9780	17709	348	16845	462	3335	546	1133	34222	591	8076	404	12348	26788	4012	22148	19342	1527	6997	1295	21458	3231	2853	86855	39508	21447	5352	12872	1400	3472	1212	4202	28967	3228	22022	50254	8164	1474	9145	930	3748	1075	4825	1148	2064	3704	420	681	1254	3916	788	13261	55398	10726	201011	79543	13129	7459	18244	4709	869	1328	1797	2283	9225	3699	2895	3383	4265	1007	828	4669	3083	272	502	15226	6026	16445	766	2427	2579	4708	189555	2162	279109	5769	23540	42836	3888	7033	4792	2583	1863	764	2591	1093	1492	609	1814	648	2294	3774	549	2721	3545	754	983	578	2090	1269	523	504	471	2162	787	2494	993	2178	800	1314	385	3349	4155	10089	1449	26276	3246	4196	1182	2952	2343	1303	3364	1788	3029	6247	1515	4419	1057	1648	928	1135	857	1853	651	893	624	1014	1128	2602	465	31301	8463	1098	8638	5170	1790	2112	380	840	1299	1116	1306	993	33630	94822	12852	6019	11423	2035	357	1436	2668	1301	5951	1546	1460	3587	992	1434	2486	5092	14660	2181	2545	1006	821	511	7555	34424	6698	9943	1814	1601	859	423	1571	2836	1121	3500	1109	830	2711	750	6005	1993	970	1133	2286	8320	2572	3883	901	830	310	895	433	884	820	1962	1168	3549	932	3001	1219	2963	2672	504	2868	1089	1498	1894	2010	1869	1776	1167	581	229	191	1502	228	1385	1128	892	995	1044	1371	1460	922	459	506	797	115	281	513	1120	1273	8663327
May-9 (aw1476@May_9-#3 of 36-(-)) *	2855927	102660	312301	52047	347	3942	1202780	1059471	3022	12003	141901	476686	74005	853	1245	9302	16900	351	16771	433	3223	620	1078	30854	606	7677	414	15996	29197	5124	23497	21043	1626	7321	1383	21190	3266	3017	84941	38814	24255	5181	11875	1273	3465	1152	4019	29320	2200	24373	55829	8554	1835	10115	925	3622	1049	4565	1086	2068	3254	325	615	1120	3557	673	13358	59077	10137	177693	70387	10948	7849	19325	4891	886	1428	1780	2420	9238	3761	2740	3824	4146	1042	789	4514	2911	228	579	15326	6713	17098	681	2523	2431	4625	163809	1900	241052	5458	19830	42774	4025	7605	5045	2337	2012	704	2621	1027	1345	573	1983	627	2133	3783	506	3085	3335	824	1005	525	1884	1199	582	495	438	2027	789	2387	953	2078	791	1267	365	3598	3932	10886	1575	28771	3761	4414	1216	3215	2362	1477	3088	1709	3123	6422	1377	4185	1005	1751	968	1173	930	1782	688	930	554	982	997	2551	445	32687	7548	952	8014	4886	1728	2135	367	832	1346	966	1254	912	28750	80865	11152	6271	10700	2053	350	1378	2475	1274	6124	1630	1511	3696	1054	1641	2623	5434	15391	2057	2404	1025	862	510	6499	29425	5691	9240	1751	1109	664	369	1706	2757	1103	3549	1146	895	2854	750	6177	2000	1045	1317	2191	7192	2409	3633	824	869	249	849	440	768	875	2076	1175	3654	1038	3207	1356	3016	2734	481	2425	1005	1450	1923	1988	1847	1761	1327	536	286	184	1577	229	1190	1200	878	1071	1120	1453	1428	798	413	449	818	144	349	483	1297	1512	8825468
May-9 (aw1476@May_9-#4 of 36-(-)) *	3152618	108777	340573	58189	359	4665	1033238	1024935	2499	10693	144831	516800	80805	1058	1215	11447	13641	428	14857	300	3169	540	1139	26380	695	6501	398	19333	30986	6210	25994	23827	1673	8232	1124	23414	3869	2617	98808	45603	29469	5614	13975	966	4125	1311	2898	33989	2381	25669	61539	9199	2439	11598	870	4261	1240	5516	1318	2547	3912	371	783	1256	4075	761	16896	72567	12281	114100	47013	7500	8795	20334	5718	1135	1684	2138	2747	10330	4614	3196	4921	5055	1088	867	5516	3479	263	607	19128	7309	19254	671	2888	2474	5311	96532	2186	161489	6484	12497	43299	5097	8847	5902	2960	2493	784	3360	1185	1560	603	2184	823	2314	4540	510	3338	4002	1024	1163	595	2176	1422	760	607	558	2439	713	2861	1010	2509	1119	1521	455	4609	4716	13566	1789	35743	4184	5433	1456	3893	2726	1508	3152	2015	3559	7458	1498	5032	1232	2112	1065	1313	1083	2131	875	1020	659	990	1331	2983	557	38327	5013	1162	7289	6018	1640	2596	418	1003	1661	1220	1710	1017	17680	55114	7803	7760	9355	2414	411	1758	2958	1555	7230	2022	1716	4432	1225	1941	3244	6901	16363	1655	2422	1071	970	608	4162	20315	4178	9135	1923	1263	866	477	2139	3276	1491	4455	1346	1096	3395	966	7002	2302	1294	1636	1984	5284	1945	3728	880	996	270	770	435	979	1113	2614	1499	4591	1324	3591	1580	3598	3539	329	1665	766	1475	2455	2511	2398	2198	1481	679	287	242	2006	346	967	1380	1091	1343	1352	1989	1794	589	344	451	989	184	436	598	1624	2204	8944571
May-9 (aw1476@May_9-#5 of 36-(-)) *	2866010	107109	325845	54406	302	4119	1101326	1009700	2800	9931	143613	491853	73579	889	1232	9800	15546	358	16001	388	3178	548	1109	27569	615	6641	337	17275	30230	5516	24386	21973	1549	7610	1264	21464	3285	2814	88052	39462	24655	5413	12109	1150	3525	1166	3547	30002	2033	25480	59697	9096	2082	10699	962	3613	1140	4929	1191	2178	3437	322	631	1122	3570	777	14106	60816	10569	149176	59479	9238	8190	19421	5080	1026	1443	1929	2563	9528	3982	2757	4173	4406	1021	783	4753	3031	221	533	16175	7391	18206	663	2713	2272	4879	134673	2013	205634	5945	17100	41731	4525	7729	5151	2473	2108	653	2820	1049	1438	566	2196	663	2263	3924	480	3188	3581	873	1003	569	1978	1380	605	501	514	2159	727	2561	898	2216	941	1298	410	3979	4076	11366	1862	30931	4199	4786	1294	3547	2421	1271	3110	1820	3182	6552	1430	4567	1114	1720	998	1262	977	1774	743	917	590	992	1132	2580	492	32701	6535	1117	7612	5492	1652	2182	394	823	1535	1013	1441	912	24250	69545	9777	6732	9934	2101	364	1429	2583	1335	6177	1675	1543	3785	1097	1668	2804	5969	14334	1737	2332	971	895	528	5521	25558	4976	9025	1789	1080	723	411	1841	2858	1217	3883	1235	890	2879	832	5962	2098	1103	1423	2099	6321	2180	3445	803	822	271	830	428	866	909	2200	1293	3696	1118	3163	1376	3179	3294	409	2084	917	1468	2005	2106	2105	1859	1304	607	263	183	1623	224	1137	1225	904	1135	1116	1740	1599	744	351	500	853	156	387	552	1275	1798	8640659
May-9 (aw1476@May_9-#6 of 36-(-)) *	2828743	117140	342100	54642	349	3834	1176434	1027131	2850	11131	162210	536434	79431	862	1293	9013	17243	332	16903	439	3312	622	958	29100	629	6853	377	18413	34003	5870	26612	22984	1492	7693	1402	21914	3187	2886	85908	39824	24413	5455	11308	1171	3371	1108	3603	30498	1743	29833	67054	9786	2197	10949	1033	3727	1134	4870	1182	2074	3133	363	579	1096	3079	625	13110	59134	9737	173362	64854	9916	8776	19946	5244	1012	1471	1882	2550	9620	3820	2643	4201	4305	1082	759	4426	2726	242	483	14347	8376	20057	594	2976	2117	4946	160035	1888	225945	5409	18950	42597	4114	7578	5074	2278	2030	617	2646	887	1225	568	2454	652	2232	4147	495	3437	3344	905	1020	513	1904	1367	585	477	449	1957	739	2278	828	2112	892	1182	380	3786	3685	11385	2056	30009	4685	4541	1344	3313	2377	1286	3031	1658	2997	6243	1327	4347	1000	1790	1028	1303	1084	1673	720	894	598	952	1057	2461	453	31196	7137	1002	7737	4952	1689	1987	385	810	1348	880	1297	755	28183	74728	10534	6427	10247	2043	361	1364	2162	1166	5856	1551	1425	3576	981	1617	2750	5631	13731	1852	2236	910	839	440	6304	26955	5316	8879	1652	889	655	380	1541	2758	1149	3778	1162	753	2715	768	5466	1975	1023	1197	2247	6673	2362	3442	796	829	248	751	394	737	875	2050	1146	3440	968	2972	1322	2816	2813	436	2258	914	1365	1999	1949	1865	1745	1267	565	228	174	1539	243	1114	1120	915	1063	1063	1528	1398	710	391	425	810	145	307	491	1174	1612	8843981
May-9 (aw1476@May_9-#7 of 36-(-)) *	2421656	102997	291667	48199	289	3730	1047083	912933	2771	10189	142653	452370	70293	769	1190	9100	14897	343	13660	358	2609	490	981	28291	490	6515	368	12938	29534	3984	22748	20094	1555	6645	1183	20288	2915	2397	81550	35604	21968	5106	11784	1214	3290	1048	3328	27578	2915	26765	57756	8747	1764	9613	908	3531	972	4458	1071	2042	3271	326	600	1162	3204	815	13602	55653	9887	167940	62770	10883	7681	18386	4704	880	1200	1709	2189	8855	3682	2457	3823	4004	995	750	4435	2790	260	489	15780	8228	18713	661	2599	2229	4460	160818	1806	221094	5073	19228	40544	4018	6486	4642	2480	1820	699	2506	974	1325	592	2634	679	2157	4149	465	3219	3296	852	967	497	1986	1203	586	433	417	1844	784	2225	863	2058	820	1142	400	3519	4004	10274	2215	27608	4653	4223	1306	2922	2339	1426	3040	1694	2876	5783	1307	4280	917	1550	1182	1405	994	1618	705	947	593	896	1036	2432	380	30046	7239	999	7509	4923	1554	2156	387	802	1300	1109	1210	905	29203	75001	10509	6369	10109	1803	378	1472	2494	1245	5582	1577	1464	3535	992	1486	2590	5212	13113	1767	2092	996	837	513	6580	27738	5564	9045	1708	1317	685	394	1958	2744	1085	3576	1108	790	2654	744	5664	1966	961	1416	2125	6593	2163	3478	804	848	252	750	381	729	818	1990	1170	3587	1176	2916	1278	2980	3510	464	2246	911	1357	1912	1965	2284	1736	1214	513	282	167	1409	289	1168	1095	1133	1068	1097	1733	1748	692	388	391	849	152	330	620	1150	1664	7938311
May-9 (aw1476@May_9-#8 of 36-(-)) *	2412923	127072	331694	49294	269	3448	1113399	877728	2651	12924	196890	579564	91519	843	1512	7832	14633	285	12356	354	2358	425	773	27839	556	5666	314	14031	41044	4358	28395	22598	1519	7023	1376	21244	2868	2517	78699	37254	24554	5530	9767	1172	2894	922	2856	27625	1582	41048	82240	11501	2410	10478	1041	3613	1043	4920	1001	1747	2698	315	477	952	2455	671	10964	56184	8231	184059	54515	9819	9337	18648	5192	974	1356	1875	2352	9059	3206	2587	4396	3711	1080	655	3965	2382	218	432	12570	13455	25635	634	3591	2336	4738	180656	1725	193478	4474	18027	38643	4077	6716	4676	1922	1849	499	2442	804	1017	626	4071	627	2195	4698	581	4007	3067	1042	1053	534	1792	1308	628	464	386	1703	748	1847	785	1764	908	982	334	3483	3117	11321	3871	28565	7186	4119	1552	3043	2289	1298	2791	1379	2884	5787	1279	4107	809	1712	1673	1882	1330	1646	729	961	518	826	859	2355	350	27761	7100	986	6629	4734	1556	1793	343	752	1036	790	1105	694	30778	60807	9204	6023	9239	1870	465	1544	1908	996	4887	1346	1272	3268	821	1527	2602	5534	11734	1739	1924	864	759	379	6866	21383	4635	7641	1493	834	540	277	1260	2281	1043	3544	1000	676	2422	629	4621	1730	959	928	2272	5461	1943	2864	677	653	221	595	324	592	706	1883	1047	2920	800	2656	1161	2538	2994	480	1754	797	1138	1699	1649	2044	1472	1032	452	179	137	1341	180	947	983	958	908	830	1486	1517	564	308	340	686	105	271	511	1063	1112	8184453
May-9 (aw1476@May_9-#9 of 36-(-)) *	2724348	148955	385663	53621	310	3180	1112726	901383	2700	16048	243142	711837	106752	932	1639	7275	14092	274	12425	360	2415	413	695	26419	588	5890	222	15403	51150	4878	33730	26069	1699	7454	1550	22815	2901	2499	80479	40656	27210	5960	9028	1067	2774	889	2490	29412	1263	54124	108267	14218	3182	11459	1212	3809	1137	5399	929	1725	2426	367	460	863	2212	581	9822	61291	7745	177834	50506	8793	11354	19312	5666	1081	1406	2128	2508	9778	3108	2702	5202	3623	1276	696	3733	2132	244	374	10695	18031	33914	602	4703	2082	5076	170407	1695	173233	3974	16628	37542	4375	6715	4842	1588	1879	457	2784	786	875	687	5968	603	2290	5856	632	5118	3463	1214	1123	614	1869	1259	729	461	378	1739	733	1608	662	1643	992	914	296	3863	2774	12274	5462	30799	9760	4351	1871	3307	2366	1224	2899	1302	2936	6109	1207	4287	744	1845	2242	2472	1771	1645	847	934	452	789	828	2372	295	27940	6852	1107	6502	5135	1590	1582	319	862	896	646	1107	597	28264	52598	8288	5814	8859	1791	538	1782	1701	874	4898	1397	1285	3251	750	1597	2786	5733	11962	1718	1905	844	700	352	6463	18377	4121	7043	1355	725	446	262	868	2056	980	3571	979	579	2366	519	4286	1621	939	655	2311	4919	1762	2524	600	560	155	442	276	483	751	1843	967	2700	566	2747	1130	2338	2480	472	1470	615	994	1693	1634	1593	1365	952	416	129	98	1391	161	877	898	766	892	791	1011	1244	510	270	309	600	92	216	440	1096	792	8807719
