m/z	1.0076	11.9996	13.0073	14.0149	15.0234	19.0183	22.9898	23.9851	24.9851	24.9923	25.0062	25.9829	26.0147	26.9815	27.0234	27.9883	28.0180	28.0305	29.0011	29.0400	30.0341	30.0431	30.9791	30.9993	31.0185	37.0060	38.0157	38.9651	38.9970	39.0245	39.9606	40.0280	40.9632	40.9847	41.0137	41.0367	41.9915	42.0103	42.0455	42.9999	43.0201	43.0574	43.9687	43.9827	44.0230	44.0469	44.0584	44.9863	45.0147	45.0334	45.9495	45.9774	46.9478	46.9700	46.9949	47.9457	48.9512	49.0039	49.9441	50.0138	51.0230	51.9884	52.0300	52.9831	53.0018	53.0384	53.9833	54.0080	54.0448	54.9966	55.0180	55.0551	56.0226	56.0598	56.9643	57.0129	57.0335	57.0722	58.0402	58.0743	58.9975	59.0086	59.0299	59.0508	60.9516	60.9855	61.0052	61.9447	62.0132	62.9467	63.0219	64.0285	64.9481	65.0379	65.9884	66.0447	66.9961	67.0545	68.0240	68.0603	68.9914	69.0081	69.0334	69.0725	70.0773	71.0505	71.0921	71.9542	72.0920	72.9526	73.0571	73.9866	74.0122	75.0209	76.0284	77.0017	77.0365	78.0437	78.9515	78.9784	79.0527	79.9476	80.0586	80.9439	81.0326	81.0720	81.9503	82.0761	83.0487	83.0925	84.0926	85.0015	85.1135	85.9590	86.0111	86.9609	87.0203	87.9419	87.9722	88.0266	88.9254	88.9477	89.0353	89.9846	90.0422	91.0523	92.0576	93.0699	94.0729	95.0476	95.0915	96.0931	96.9528	97.1101	97.9587	98.0098	99.0186	99.9713	100.0264	100.9818	101.0352	102.0423	102.9571	103.0494	104.0197	104.0584	104.9557	105.0302	105.0702	106.0272	106.0731	106.9136	107.0460	107.0877	107.9209	108.0889	108.9992	109.1081	110.0087	111.0173	111.9716	112.0222	112.0931	113.0300	114.0402	115.0493	116.0531	117.0606	118.0722	119.0854	120.0887	120.9600	121.1018	122.0048	123.9149	126.0368	127.0464	128.0529	129.0603	130.0636	131.0369	131.0833	132.0839	134.0016	137.0186	139.0451	140.0483	140.9143	141.0591	141.8817	142.0651	142.8814	143.0808	143.8760	144.0701	144.8800	145.0973	146.0033	147.0641	149.0183	150.0244	151.0328	152.0479	153.0504	154.0561	155.0758	156.0782	157.0932	157.9985	162.0173	163.0376	164.0369	165.0568	166.0585	167.0669	168.0562	169.0979	170.0005	170.8533	174.0231	175.0208	176.0435	176.8707	177.0449	178.0578	179.0678	180.0731	181.0907	186.0125	187.0292	188.0319	189.0491	190.0481	191.0613	192.0616	193.0931	197.1547	198.0171	198.8891	199.0233	200.0356	201.0378	202.0547	202.8406	203.0618	204.0646	204.8865	205.0687	206.0651	208.9823	210.0077	211.0236	212.0254	213.0457	214.0494	215.0663	216.0694	217.0797	222.0068	223.0152	223.8064	224.0287	225.0335	226.0522	227.0526	228.0583	229.0779	230.0856	232.0823	235.0176	236.0219	237.0373	238.0357	239.0592	240.0627	241.0721	242.0744	246.0110	248.0228	250.0419	251.0464	252.0639	253.0711	254.0726	259.0120	262.0355	263.0545	264.0667	265.0687	266.0790	273.0302	274.0360	276.0598	277.0654	278.0682	279.0835	286.0286	287.0472	289.0656	290.0767	291.0821	296.0087	299.0347	300.0544	301.0545	302.0697	303.0811	309.0177	311.0363	313.0607	315.0730	324.0464	326.0660	335.0346	337.0546	346.0190	349.0391	359.0233	370.0036	372.0322	374.0604	385.0377	387.0683	
May-9 (aw1476@May_9-#1 of 36-(+)) *	26862	4327	7079	14961	50662	6366	111950	3810	364	616	1826	568	38943	478266	657596	17894	7129	75898	42266	672611	9470	21853	4029	5626	35188	7736	32829	26496	33957	533430	9686	74906	6299	5424	38934	1263857	14992	15311	137266	32898	93421	756124	2578	12241	6923	4433	31737	166506	8404	20813	11143	9693	6699	7154	5195	100514	50054	1534	9978	47537	152106	1670	60433	25104	20555	252801	6211	2890	81026	16766	76789	621025	6232	82817	10814	9985	26876	412873	3548	25046	1746	2241	4227	7650	5822	22464	8807	11697	24669	16269	88661	20220	34211	123509	6734	34299	10949	170649	5679	32770	6750	4796	11659	158580	33725	14091	114706	4952	7629	13199	14059	2737	21406	36653	34032	41291	189598	52625	5666	13039	97803	5879	21584	24316	9867	68355	11306	13578	8551	43336	7924	2541	20723	5546	11412	12028	21026	2186	3299	6905	523	6396	24599	1904	8002	141316	18942	25865	7961	5821	27986	6486	1951	13767	2174	8251	9476	2272	2849	3485	8484	18780	6746	28062	15700	11052	10287	24915	32733	2843	8020	5460	5430	8967	4802	3585	1527	7562	3989	5082	1300	1383	3018	7226	5140	85467	23769	32123	6769	8887	3587	8057	3187	5281	8500	11740	24432	72627	34634	10592	5324	10059	3497	2816	3686	25597	6216	4558	39397	5067	12698	5072	9713	16052	5950	5635	4014	1848	2761	134157	25088	19197	47730	32073	12940	12987	5476	3990	1084	3480	15209	11384	58360	16919	21155	6853	4199	1157	804	3432	5117	16806	1290	10204	33575	19386	6037	4538	2432	8750	5941	34529	14297	19116	8106	4357	5463	2371	1935	3078	10165	8402	33970	2679	17738	6802	2238	7919	3422	2431	1389	4660	2861	13567	4711	21854	8417	5078	1827	2224	3492	6598	5048	17864	11767	11347	7834	3028	2273	3384	2487	7137	3535	19444	7165	7314	3616	1834	3617	9598	5026	11561	8166	3379	2571	2848	11096	3796	9083	3510	2021	4504	9420	6218	3639	3763	1811	5657	7430	3407	3008	1576	2087	6213	3445	4006	3311	1956	3586	5914	3313	3637	3837	2221	4123	1182	1608	1353	920	1279	2016	1336	1800	14779955
May-9 (aw1476@May_9-#2 of 36-(+)) *	26441	4195	6585	14304	47799	6045	119480	3912	354	570	1697	588	36720	538453	629863	19403	6660	72399	39908	615002	8853	20026	3276	4422	31558	7396	32513	26761	32170	521808	9063	71936	5977	4571	36214	1170752	12368	14477	122977	26828	84176	641938	2126	12825	6206	3656	26731	136415	6791	17025	11757	7974	7203	5900	4085	107080	53204	1424	10867	46747	151765	1829	59855	22596	19725	243534	5474	2838	72143	14115	70902	543431	5667	69154	10090	8130	23498	324586	3042	18962	1372	2185	3352	6135	6025	24103	7965	12380	24955	17431	90685	19925	36542	120860	5942	33043	9663	153731	5183	27797	6904	4193	10296	126594	25325	10957	82247	4660	5437	14058	9393	2831	21972	36534	30378	39301	182583	51268	5581	10463	91336	6128	19799	26135	8857	57860	12085	11118	7132	32758	6051	2510	15387	6053	11656	13179	21347	1950	3351	6792	506	6086	24356	1787	7853	135240	17471	22684	7068	4992	22872	5191	2073	10670	2296	8673	9512	2184	2772	3436	8125	18640	6981	26721	12000	10298	9142	19664	29068	2298	7078	5999	4588	7279	5092	2983	1472	6065	4185	5403	1430	1450	2067	7065	5030	84039	22556	29050	5987	7741	3068	8348	2651	4952	9076	11802	24344	70359	31722	9553	4522	8588	2971	2786	3619	25908	6221	4792	36419	5321	11581	5418	8400	17483	5132	6176	3217	1854	2051	88869	19586	18783	47356	30476	12074	11623	4970	3434	1115	3391	15168	11488	56171	15875	17474	6091	3438	1112	839	3846	4961	17160	1373	10051	31874	17594	5413	3995	2466	9157	6392	34564	14174	18094	7727	3666	4029	2551	1585	3056	10723	8690	33781	3047	17239	6548	2450	7078	3089	2373	1300	4494	2956	14092	4904	21801	8253	4786	1759	2200	3752	7073	5276	18821	11622	11191	7143	2727	1957	3431	2456	7795	3755	20400	7376	7091	3482	1754	3937	10135	5209	12173	7964	3528	2379	2936	12005	3967	9152	3582	2035	5179	10111	6556	3785	3493	1853	6210	7963	3547	3062	1683	2153	7021	3986	4495	3433	1950	4156	6574	3459	4235	4294	2404	4529	1242	1861	1523	997	1448	2404	1591	2055	13729077
May-9 (aw1476@May_9-#3 of 36-(+)) *	24692	4966	6351	12831	41534	5250	180255	3307	315	519	1568	491	33387	603961	571465	18731	5351	64815	35010	542473	6917	16937	2462	3990	26062	6940	29695	37040	30837	489529	8812	66120	6592	3809	32961	1043659	8718	12248	100686	19101	69033	499847	1564	12723	4929	2644	20285	98172	4796	13100	12098	5528	7190	4336	2807	113002	55737	1262	11333	44020	146662	1991	57024	17613	17413	229109	4366	2561	60245	10373	61319	452101	4528	51660	9387	5285	18716	230857	2169	13341	1052	1976	2214	4310	6157	23330	6717	13002	23866	18231	87977	18993	37934	114885	4695	30413	7406	138285	4571	22306	6910	3189	8583	97042	16558	6806	49843	4431	3474	15179	5364	2675	21231	33492	24213	38306	172348	49318	5805	7535	86434	5919	17372	26211	7486	50201	12238	8554	5436	24188	4205	2334	11190	6912	11457	14156	20298	1810	3599	6134	582	5189	22704	1681	7034	129561	16570	20424	5704	4065	18958	3963	2160	7782	2533	8489	8816	2539	2701	3340	6990	17323	7002	25366	7075	9476	7886	13655	27080	1676	6098	6122	4027	6581	5640	2353	1445	5045	4366	5031	1611	1286	1304	6471	4488	79190	21194	26202	4997	6732	2448	7610	2288	4623	9400	11104	22166	65537	28825	8059	4052	7357	2295	2714	3388	24072	5433	4662	33374	5392	9907	5582	6894	18093	3973	6383	2621	1810	1520	40809	13658	16841	43763	27591	10668	9743	3969	2684	1094	3175	14182	10418	49886	13796	12990	4860	2680	992	925	3617	4526	15957	1159	8897	28465	15097	4308	3111	2464	8733	5863	31317	12529	15749	6332	2956	2212	2355	1305	2918	10312	8231	30492	2847	14762	5252	2312	5699	2373	2069	1179	4062	2799	12989	4480	19247	6962	3981	1731	2189	3957	7131	4993	17142	10345	9652	6071	2152	1430	3258	2269	7543	3567	18531	6341	5911	2812	1536	3852	9763	4871	10719	6896	2715	2197	2886	11311	3703	7889	3021	1852	5183	9438	5827	3378	2667	1778	6210	7193	3264	2633	1576	2127	6690	3620	4111	3092	1898	4212	6315	3009	4251	4015	2518	4588	1276	1795	1574	999	1597	2425	1734	2106	12237511
May-9 (aw1476@May_9-#4 of 36-(+)) *	20986	3263	5416	11201	37140	4997	130915	3282	288	537	1334	404	29882	689160	546096	20152	4498	62430	33426	516018	5425	14943	1472	1831	23421	6057	27068	28243	29272	467977	8746	62980	5702	3122	30697	990331	5204	11789	90560	11137	62522	451961	706	13909	4414	1879	17704	54049	2830	10957	14083	2905	8246	2731	1590	130055	65082	1082	12982	39394	139126	2250	54526	11109	16334	220540	2697	2334	55630	6175	58467	413837	4167	45413	9617	3156	16503	209806	1959	11133	664	2105	1489	3644	7196	26046	5864	15050	21801	21121	81820	17664	44055	108196	3046	29614	4912	131928	4099	19908	7111	2157	7560	86862	13250	5253	40741	4129	2769	17791	4263	2601	18850	30011	18585	36117	159632	46158	6152	4982	81277	6718	15631	30337	7053	46139	14045	7542	4896	23027	3580	2058	11074	8148	10150	16973	18288	1517	4133	5367	618	4443	20375	1449	6130	121548	15230	18578	4734	3425	17183	3259	2655	7549	3251	7540	8085	2879	2126	3277	6167	15523	7593	23062	4241	8257	6919	9379	23896	1248	4858	7347	3519	5747	6467	1826	1369	4380	3911	4721	1906	1123	997	5842	3789	70630	18917	23719	4262	5709	1979	8191	1839	4127	10848	9712	19174	58374	25174	6445	2993	6331	1720	2416	2995	20458	4785	5375	28833	6196	8533	6403	5612	21079	3060	7551	2071	1719	1138	21663	10502	14007	37070	23518	8754	8060	3100	2132	1156	2738	11839	8535	41338	11218	9763	3553	2109	906	1028	3251	4019	12855	930	7347	22790	12238	3135	2297	2132	7288	4794	25220	9750	12030	4880	2245	1288	2073	863	2475	8491	6372	23735	3267	11498	3980	2617	4370	1692	2101	1077	3258	2238	10096	3458	14737	5146	2845	1546	1863	4578	5650	4060	13063	7718	7208	4451	1497	939	2826	1946	5903	2851	13614	4746	4360	1941	1170	3300	7495	3614	7974	5002	1905	1845	2336	8569	2695	5656	2171	1496	4092	7017	4196	2284	1814	1519	4819	5156	2154	1773	1319	1730	5119	2629	2885	2033	1642	3285	4680	2078	3261	3043	2077	3530	1076	1439	1333	908	1349	1973	1368	1692	11221628
May-9 (aw1476@May_9-#5 of 36-(+)) *	21396	3489	5496	11374	36167	4583	126703	2918	252	494	1428	402	29466	592921	502957	17809	4286	58256	31575	472580	4953	13763	1678	2051	21807	6041	27280	27875	28266	446314	8354	59369	5495	2902	29239	907326	5952	10997	84667	12157	57524	404734	1090	12683	3947	1714	15957	63727	2898	10209	12628	3517	7695	3090	1608	116554	58132	1175	11539	39574	134715	2005	52048	12845	15355	204956	3126	2208	51490	6877	54777	378744	3667	41763	8904	3320	15662	188257	1842	10160	666	1935	1399	3263	6404	23138	5704	13367	22013	18815	81156	17291	39734	101758	3505	27108	5311	121085	3899	18273	6460	2189	6900	79696	12046	4754	37079	4175	2490	16115	3948	2746	19696	30001	18822	34576	151131	43529	5620	5090	75040	5966	14489	26762	6363	42336	12960	6924	4529	20725	3217	2155	9978	7320	10924	15057	18877	1531	3601	5425	507	4374	19864	1451	5869	113782	14127	17131	4214	3159	15936	3053	2525	6942	3012	8269	8457	2573	2232	3154	5863	14974	6836	21598	4186	7813	6596	9006	22251	1200	4619	6395	3222	5130	5846	1745	1416	4011	4371	4954	1760	1197	936	5560	3869	67382	18074	22180	3828	5320	1901	7532	1790	4441	9696	9897	18467	54887	23602	6083	2887	5636	1644	2664	2969	20036	4527	4767	26968	5614	8127	5815	5233	18920	2988	6675	2047	1800	1094	19961	10542	13786	35584	22302	8147	7410	2850	1941	1169	2830	11808	8465	39497	10534	9131	3391	1904	1052	1034	3434	3980	12916	923	7082	21981	11663	2936	2203	2267	7490	4902	24635	9568	11729	4670	1954	1261	2145	939	2549	8558	6433	23224	2980	10953	3787	2331	4034	1576	2106	1084	3727	2351	10565	3467	14330	4950	2701	1657	2015	4180	6149	4127	13204	7602	7035	4279	1468	897	3041	2010	6314	2896	13697	4567	4120	1779	1299	3572	7902	3704	7875	4820	1811	2071	2352	8567	2616	5633	2067	1600	4300	6901	3998	2226	1706	1643	4901	5216	2140	1729	1544	1777	5345	2661	2822	2012	1871	3477	4699	1988	3632	3044	2402	3790	1303	1455	1523	1046	1540	2143	1604	1882	10524888
May-9 (aw1476@May_9-#6 of 36-(+)) *	22793	4524	5890	11478	33942	3991	150750	2876	251	461	1544	415	28634	516900	449882	16298	3991	52740	28880	412202	4313	12290	1692	2326	19363	6107	26529	31990	25572	411550	7509	54415	5351	2953	26515	794602	6195	9630	74669	12509	50228	342600	1441	10306	3632	1556	13835	67519	2695	8737	11080	3828	6618	3260	1566	101005	50664	1172	10171	38899	127360	1830	48503	13698	13736	185378	3149	1944	45841	6893	47083	327130	3342	35865	7967	3020	13184	157341	1563	8566	691	1612	1228	2725	5383	19802	5742	11639	21995	16124	78816	16071	33695	93660	3486	24962	5208	106898	3357	16038	5777	2139	6327	67882	10367	4148	30870	3959	2133	14323	3296	2645	20119	29466	18144	31911	138689	39636	4651	4722	67725	5256	13131	22920	5651	36766	10934	6214	3830	17486	2788	2232	8695	6569	11602	12836	19110	1516	3171	5353	494	4055	18611	1466	5490	102608	13024	14982	3649	2883	13752	2697	2305	5982	2710	8943	8453	2349	2245	3063	5624	14335	5739	19608	3793	7093	5981	8050	19807	1107	4184	5442	2828	4574	5045	1515	1447	3361	4961	5340	1485	1242	769	5430	3581	62772	16031	19755	3495	4543	1557	6532	1527	4727	8245	9477	17403	50467	21475	5514	2593	5107	1525	2793	2979	19041	4316	4113	24719	4747	7193	4891	4824	16360	2634	5971	1762	1985	986	16557	9978	13203	33271	20483	7491	6793	2513	1750	1303	2789	11705	8130	36457	9804	8350	3051	1725	1057	881	3465	3965	12219	887	6747	20018	10591	2663	1929	2292	7921	4913	23412	8903	10457	4143	1815	1067	2439	865	2508	8708	6489	21617	2560	10199	3342	1914	3615	1379	1975	1137	3880	2352	10239	3305	13214	4583	2414	1912	2069	3585	6369	4230	12760	7293	6261	3880	1250	818	3107	2184	6426	2864	13128	4422	3855	1665	1348	3873	7837	3517	7464	4383	1678	2262	2481	8761	2644	5285	1984	1646	4587	6912	3950	2042	1618	1643	5162	4917	2060	1543	1731	1980	5257	2616	2791	1895	2070	3733	4663	1996	3680	2970	2639	3912	1499	1586	1773	1169	1731	2200	1779	1896	9578349
May-9 (aw1476@May_9-#7 of 36-(+)) *	23338	3817	5711	12592	45618	6359	90873	3465	310	570	1472	511	34463	621318	607731	19430	5912	71487	39679	606045	7997	18576	2282	3061	31456	6691	30244	22820	30997	506290	8166	70393	5392	4029	33290	1116061	8596	15463	111284	17782	85151	560171	1925	15955	6085	3179	23318	102206	4555	16681	13674	5931	8384	4436	2797	122125	60740	1297	12372	42197	140978	2110	56332	16218	18338	234785	4145	2811	65153	9682	74787	491407	5633	58871	9931	4850	22771	287205	2972	16745	1095	2378	2071	5603	6967	30689	6935	15272	21910	21266	79639	17952	43538	111347	4523	31509	6950	147722	5198	24979	7779	3147	10198	112245	18554	8748	58270	4537	4088	16002	6366	2560	18838	29705	22847	37415	166137	47296	6731	7949	89311	7119	18471	31073	8838	56529	14964	9924	6941	30536	5104	2281	14872	7185	9927	16181	17980	1905	3788	5537	596	5256	20610	1570	6676	126146	16335	22250	6148	4716	22397	4818	2277	10284	2579	7403	8070	2642	2214	3559	6614	15869	8276	24478	7202	9107	8961	14425	27550	1807	6375	7237	4800	7235	6117	2686	1503	5959	3701	4594	1635	1207	1552	5943	4047	71492	19819	26465	5392	7363	2710	10038	2576	4233	11451	9465	19651	59380	27951	7922	4017	7658	2528	2455	3215	19949	4919	5942	30754	6323	9665	6352	7236	20968	4184	7252	3034	1849	1757	39822	11741	13804	36443	24815	9784	9553	3952	2915	1147	2660	11436	8575	42375	12140	12124	4402	2839	1052	991	3055	4175	12345	1142	7691	24395	13679	4015	3144	2130	6819	4581	25105	10232	13774	5770	2817	2819	2013	1371	2559	7718	6484	24192	3405	12575	4627	2816	5288	2247	2429	1080	3219	2174	9773	3453	15118	5684	3470	1467	1799	4578	5040	3869	12633	7996	7682	5147	1986	1383	2856	1972	5509	2533	13542	4886	4825	2262	1371	2937	6956	3651	7930	5529	2201	1990	2152	7959	2591	5844	2320	1533	3616	6381	4238	2408	2091	1451	4310	4955	2238	1870	1302	1631	4411	2511	2797	2119	1655	2927	4250	2172	2797	2716	1987	3147	1032	1425	1251	946	1194	1668	1260	1451	12582871
May-9 (aw1476@May_9-#8 of 36-(+)) *	23379	4107	6079	11682	36790	4585	99769	2863	263	453	1624	419	30453	544050	485505	16513	4354	56122	30761	445098	4893	13274	1814	2220	21307	6738	28174	23696	25924	440230	7694	58730	4759	3200	25870	852335	6491	10594	79342	13434	57495	361442	1816	11953	3889	1643	14892	78385	3212	9806	11355	4384	7348	3522	1775	103646	51317	1287	10364	41567	136903	1883	52654	14865	15192	203485	3447	2144	48480	7289	52266	349811	3747	38034	7917	2925	14823	168391	1750	9546	806	1738	1708	3193	5659	22251	6024	12765	23217	17601	83768	17420	36296	102696	3984	27190	5871	115631	3812	17370	6367	2140	6950	73219	11088	4410	33075	4220	2236	15075	7518	2501	20807	31544	19610	34440	154079	44379	5291	5119	74588	5704	14377	24903	6103	40153	11714	6566	4360	18957	2926	2250	9058	6879	11626	13815	19459	1690	3289	5667	521	4536	20387	1530	5957	114781	14396	16854	4275	3069	15426	3058	2432	6433	2771	8891	8524	2392	2306	3312	5933	15514	6412	22324	4230	7912	6894	9818	22300	1146	4650	6005	3157	5126	5285	1701	1476	3841	4809	5071	1632	1227	867	5766	3841	68984	18411	22104	4166	5404	1859	7235	1692	4811	9049	9954	18963	55657	24230	6287	2942	5888	1831	2744	3011	20152	4554	4525	27563	5050	8162	5219	5334	17601	3016	6081	1934	1965	1509	17502	10061	13779	35447	22470	8360	7697	2890	2001	1262	2791	11867	8524	39737	10768	9204	3369	1939	1040	852	3437	4015	12598	1278	7170	22060	11725	2994	2274	2285	7758	4829	24194	9420	11618	4647	2103	1230	2332	929	2618	8729	6482	23043	2740	10875	3804	2130	4123	1671	2015	1111	3726	2342	10394	3458	14035	4911	2747	1843	2148	3811	6105	4078	13034	7534	6981	4165	1440	924	3030	2132	6374	2921	13411	4787	4144	1889	1450	3604	7758	3605	7584	4839	1883	2108	2394	8473	2794	5525	2069	1642	4303	6678	4033	2154	1837	1621	5024	5154	2144	1609	1591	1923	5155	2745	2914	2020	2068	3579	4611	1940	3516	2914	2497	3685	1433	1505	1663	1091	1645	2103	1760	1840	10240940
May-9 (aw1476@May_9-#9 of 36-(+)) *	21982	4541	5801	10810	31262	3669	128847	2592	244	397	1485	368	27329	554802	429395	15001	3575	48668	26206	368247	3890	10706	1255	1838	16900	6087	26195	28066	23228	406399	6967	52577	4807	2377	22229	730850	4612	8326	64260	8870	45099	278832	1166	10373	3054	1173	11261	54070	1905	7232	11161	2927	6812	2536	1105	101599	49185	1124	9968	39635	134632	1930	50129	11932	13153	185467	2689	1732	40532	5390	42129	284849	3045	29031	7084	1954	11251	123149	1201	6397	546	1457	882	2143	5579	19070	5286	11970	23504	16771	84546	17224	34581	98193	3155	24854	4479	99901	2997	13825	5867	1608	5451	55781	8085	3149	23400	4042	1484	15842	2514	2623	21242	31596	17565	32528	146716	42229	4559	3801	67433	5117	12307	22669	4910	32967	10628	5081	3226	14010	2067	2268	6755	7084	11875	13358	20301	1479	3179	5642	498	4060	19990	1338	5706	108859	13363	14184	3338	2493	11850	2241	2609	4772	3064	9333	8683	2294	2268	2937	5717	15421	5755	21508	2980	7433	5651	6982	19840	896	3999	5734	2469	4129	5249	1302	1381	2920	5070	5459	1627	1181	620	5640	3682	67805	17656	20474	3504	4420	1405	6137	1277	4869	8461	9926	18704	54899	22945	5511	2409	4828	1345	2906	2979	20523	4552	3940	26368	4995	7411	5129	4600	16964	2436	6001	1565	2001	754	10859	9940	13799	35592	22151	7667	6874	2331	1646	1318	2931	11916	8571	38782	10003	8222	2918	1603	1075	898	3495	3865	12915	1241	6956	21232	10695	2637	1851	2379	7766	4936	24217	9231	10863	4181	1700	770	2354	770	2490	8643	6360	22713	2390	10368	3469	1892	3489	1331	2010	1138	3996	2370	10256	3334	13522	4575	2414	1925	1934	3734	6326	4060	12951	7214	6553	3927	1274	776	3109	2168	6366	2872	13130	4325	3765	1569	1350	3763	7813	3440	7421	4432	1666	2152	2482	8591	2611	5236	1826	1642	4334	6756	3794	2039	1572	1648	4990	5129	2032	1477	1712	1750	5300	2669	2697	1828	1983	3659	4548	1879	3567	2858	2480	3685	1503	1498	1678	1179	1756	2231	1737	1830	9168384
