m/z	1.0087	12.0006	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9996	18.9987	24.0008	25.0090	26.0047	26.9820	27.0055	27.0250	27.9761	28.0211	28.9839	29.9721	29.9919	30.9806	31.0186	31.9890	32.9798	32.9972	34.0054	34.9699	36.0004	36.9667	37.0082	38.0167	39.0130	39.0268	39.9744	39.9937	40.0183	40.9802	41.0017	42.0000	42.9814	43.0018	43.0220	43.9713	43.9900	44.0164	44.9774	44.9970	45.9922	48.0003	49.0077	50.0071	50.9837	51.0241	51.9753	51.9957	52.0233	53.0028	53.0401	54.0130	55.0196	55.9715	56.0217	56.9867	57.0372	57.9810	58.0091	58.9894	59.0157	59.9675	60.9742	61.9703	62.0152	62.9653	63.0217	63.9401	63.9678	63.9948	64.0285	65.0034	65.0384	66.0005	66.9895	67.0180	67.9730	68.0131	68.9979	69.0360	69.9766	70.0311	71.0139	71.9996	73.0069	73.9822	74.0105	74.9895	75.0238	75.9617	76.0338	76.9704	77.0430	77.9674	78.9613	79.9317	79.9611	80.9588	81.0365	81.9515	82.0326	82.9755	83.0117	83.0516	83.9644	83.9988	84.0495	84.9747	85.0151	85.9690	86.0145	87.0160	87.9414	88.0260	88.9466	88.9988	89.0390	89.9463	89.9973	90.0379	91.0229	91.9553	92.0296	92.9632	93.0367	93.9367	93.9794	94.0359	94.9419	94.9921	95.9414	96.0065	96.9427	97.0075	97.9467	98.0297	98.9440	99.0229	100.0353	100.9710	101.0450	101.9684	102.9726	103.9415	104.9456	105.0388	105.9405	108.0097	109.0091	110.0234	111.0246	111.9374	112.0272	114.0359	116.9456	117.0335	117.9469	118.0423	118.9541	119.9328	120.0266	120.9407	121.0346	121.9318	121.9720	126.0470	126.9576	127.1171	133.9554	134.0506	134.9565	135.9275	136.9358	137.9337	138.9021	138.9346	140.9225	143.9877	145.0203	147.0130	151.0330	156.9047	157.9039	158.8972	160.9158	164.9142	174.8793	175.8770	176.8761	178.9039	179.8985	180.9054	181.9038	182.9041	194.9232	195.8932	196.9010	197.8991	198.8983	199.8952	202.9320	203.0539	204.0740	205.1551	216.8678	217.8649	218.8642	219.8685	220.7071	220.8839	223.0669	238.8539	240.8549	254.8224	255.2016	255.8482	256.8630	257.8580	258.8583	259.8573	260.8680	273.8678	274.8708	275.8547	277.1583	277.8248	278.8270	279.8668	280.8461	283.2267	298.8236	299.8174	300.8235	311.1803	315.8204	316.8253	317.8198	318.8167	320.8087	322.8203	339.2207	342.8398	358.7980	360.7925	361.2082	362.2203	364.8509	366.2197	376.7869	380.7793	395.3775	400.7157	402.7805	407.2849	423.3012	436.7623	437.7542	438.7622	444.7532	448.2842	449.3003	451.3175	466.8231	473.2985	
May-F3 (aw1476@May-F3-#1 of 36-(-)) *	1859190	188934	401034	43966	461	1798	999256	696817	2563	12265	269328	561923	163652	13	2259	2829	24895	345	25177	690	5044	843	546	16757	930	2427	112	3420	48520	1065	25794	15722	2580	4806	3004	15580	4420	5073	47999	73198	591	3015	6428	1387	1123	1802	4576	9275	1720	53849	82679	17944	146	5907	2119	2978	1196	3569	471	1223	2192	428	680	1316	2881	837	3195	1119	6103	169338	65452	9761	7951	21351	4328	244	1447	2050	1697	8075	1762	6845	369	2347	1627	1099	2946	1640	581	974	4293	19295	30247	1336	5206	2739	3496	138277	1371	192357	4499	16860	51462	1238	6222	2576	1428	935	1683	341	900	857	804	6323	1520	2953	5189	1028	4416	3363	333	1166	352	2292	1129	450	604	358	1366	478	1127	532	1609	225	361	543	1030	1609	4135	8089	12072	10416	1767	18425	1184	2824	1065	2845	1441	1079	1149	1180	2655	401	2005	2716	2912	2651	2051	334	1345	834	896	712	723	284	1462	9086	1199	8460	6207	2134	982	667	285	590	476	634	871	27276	72946	10468	832	6587	895	669	1645	707	992	3150	914	1563	776	597	619	909	2426	1761	1918	1895	798	464	497	6667	28255	5336	4510	900	311	888	784	1070	1310	449	606	320	51	394	500	1118	675	619	1362	1929	7272	2186	1798	497	352	243	823	375	263	177	176	227	256	325	378	202	239	384	528	2781	1058	887	219	92	420	107	203	100	581	262	56	271	1179	162	259	111	100	634	114	846	420	321	51	222	246	76	49	547	7275783
May-F3 (aw1476@May-F3-#2 of 36-(-)) *	1587125	188413	350129	35656	418	1749	804527	519827	2087	14344	290512	540669	206559	14	2902	2799	19549	335	17958	503	3566	677	470	13513	658	1594	71	3761	52045	1133	24469	14695	3146	4296	2674	14991	4718	4277	46694	84201	664	2936	5730	1463	948	1637	4063	8118	1243	62954	86988	22597	160	5400	2113	3033	1393	3630	406	1286	2096	433	579	1240	2400	923	2225	1414	5000	149156	53422	8160	7423	27544	4106	329	1121	2260	1797	8382	1710	11160	546	2560	1692	1069	2954	1416	653	852	3106	24576	32943	1828	6201	4081	3192	117580	1421	147845	3847	13520	54109	1688	4086	2870	1511	987	1732	366	844	640	929	8308	1519	3007	5423	1248	4128	3156	669	1192	532	2302	1376	881	721	405	1537	492	1305	472	1535	288	395	587	1459	1704	4046	10682	12194	11698	2141	17384	1210	2578	866	2884	1699	1268	1370	1397	3619	417	3075	3902	3182	2441	1713	504	1153	728	1140	747	866	245	1754	8093	1614	8285	6778	2470	1084	557	313	524	513	776	995	22784	55673	8266	934	5191	1139	1169	2196	732	1065	3916	1117	1869	950	674	792	1119	3064	1745	1718	1966	774	459	503	5651	22563	4410	3805	895	436	1817	1546	2033	1574	522	725	385	50	538	548	1211	702	684	125	2023	6119	1965	1784	448	365	248	803	418	244	259	233	229	300	62	404	239	276	180	492	2300	901	833	294	105	112	153	226	132	1423	548	104	448	1031	163	126	175	96	991	88	815	391	308	54	381	318	62	64	815	6516221
May-F3 (aw1476@May-F3-#3 of 36-(-)) *	1462270	219099	352600	29848	370	1900	875041	498510	2047	18252	368079	597465	209423	13	2949	3012	17993	345	15241	460	2716	543	375	14013	611	1528	67	3719	62025	1192	24982	12550	2699	3537	2852	16405	4754	4026	46467	89156	651	3096	6802	1201	1035	2106	3155	9193	2158	81483	94438	22358	136	4283	2113	3018	1256	3632	382	1182	2373	409	676	1344	3558	746	2891	1144	6669	152114	45582	8142	6598	23758	3266	266	1078	2304	1366	7614	1368	8588	423	2335	1694	1112	3198	1824	618	1093	3873	34367	39487	1497	6470	2722	2527	121948	1121	135266	3136	12832	57123	1371	4704	2600	1554	924	2109	389	1023	916	944	12027	1990	2775	6642	1110	4136	3167	392	1103	366	2529	923	535	632	306	1159	454	1042	432	1353	256	387	620	1271	1552	4329	16164	12503	15637	2013	25012	1229	2883	1131	2687	1437	1111	1233	1124	2475	337	2498	6171	4276	3032	2070	390	1576	958	912	660	750	256	1484	8071	2199	6876	7998	2405	1253	782	298	559	494	832	781	23127	49226	7668	826	4765	857	1831	3208	725	1040	3433	1037	1779	770	555	792	1119	2963	1588	1579	1553	704	394	463	5482	19412	3854	3280	714	388	1161	1229	1158	1335	413	605	343	51	420	479	1177	562	656	147	1870	5008	1742	1394	346	272	187	530	313	228	204	187	226	235	54	347	216	217	175	435	1930	834	692	207	81	137	100	165	117	728	316	68	229	901	124	95	123	70	694	73	639	299	241	57	178	192	49	31	553	6631894
May-F3 (aw1476@May-F3-#4 of 36-(-)) *	1715517	170516	345058	37788	487	2816	762869	543861	1975	9869	247864	506708	213411	12	3031	4541	18339	502	18028	478	3664	640	546	13822	596	1934	95	3849	45902	1153	24183	15431	3815	5238	2349	15814	6737	4066	60340	127721	667	3754	10394	1373	1311	3313	3771	13224	3974	52802	79059	22387	128	5908	1790	3310	1959	4195	600	1836	3638	331	1130	1766	5300	939	4389	1539	10012	138450	54208	9395	7744	30798	4678	331	1197	2419	2076	9971	2055	12420	500	3694	1584	1777	4643	2944	764	1726	5684	20952	31956	1557	5983	4226	3588	110049	1308	156943	3844	13760	74214	1718	6866	3719	2454	1254	3188	501	1597	1480	841	7119	2387	3023	6232	1342	4582	4381	517	1693	481	3391	1406	749	826	467	1938	517	1545	477	2067	319	529	1023	1768	2531	5242	10883	17333	11468	2702	36699	1666	4038	1728	3051	2454	1406	1589	1471	3450	544	3731	3452	3343	3570	2891	514	2308	1530	1187	1124	952	372	1836	8365	1489	8342	7143	3141	1260	1230	413	906	531	901	1139	22443	61436	9143	772	6047	1158	914	1865	1044	1577	4277	1303	2595	1064	721	1104	1658	4470	2068	1788	1959	841	517	701	5623	24917	4767	3937	982	591	2119	1885	2262	1637	599	942	509	60	586	790	1837	815	925	216	2182	6877	2207	1935	505	411	260	856	404	343	249	248	237	357	111	440	250	334	327	479	2521	1087	923	305	156	212	139	236	157	1580	659	87	600	1123	214	172	210	103	1452	130	924	406	312	85	374	362	90	43	914	6776646
May-F3 (aw1476@May-F3-#5 of 36-(-)) *	1427411	209956	330433	27908	344	1528	1077639	567488	2614	19897	372453	611784	215493	5	3146	2357	21200	260	16794	551	3003	579	402	18051	545	1949	70	3595	62554	1186	24495	12405	2241	3327	3185	17813	3803	3972	42488	71709	576	3443	5948	1339	883	1719	3636	8079	2020	81193	91888	22310	142	3891	2271	2880	1030	3456	326	1008	1976	447	554	1247	2696	619	2417	957	5490	201213	56789	10244	6396	20940	3131	187	1095	2117	1193	7131	1094	6495	285	1928	1750	926	2673	1379	582	901	3093	33062	36689	1054	6452	2169	2280	172675	946	174015	2571	16676	49415	968	3972	2182	1198	704	1724	269	825	754	971	11505	1498	2764	6287	1053	4051	2832	296	954	260	2302	808	398	535	244	939	530	808	419	1138	211	353	461	946	1301	3385	14470	9568	14694	1484	20011	916	2544	981	2714	1241	1063	1061	1055	2058	281	1839	5599	3975	2825	1768	346	1344	789	843	531	668	196	1404	9000	2034	6772	6772	1991	1103	593	235	425	332	690	614	30255	59930	9088	622	5769	763	1606	2864	571	783	2768	763	1391	672	411	565	883	2175	1542	1722	1454	640	338	345	7293	22701	4547	3594	681	284	743	845	837	1005	334	524	244	27	350	354	1045	480	487	117	2017	5783	1789	1457	365	264	186	508	258	174	137	136	168	215	58	324	176	197	160	515	2227	806	704	194	83	119	73	155	104	458	226	52	182	945	113	69	88	65	506	54	691	346	263	38	133	127	35	29	310	6912469
May-F3 (aw1476@May-F3-#6 of 36-(-)) *	1521177	209109	332798	28238	364	1128	1380312	685038	3187	20713	388190	675900	209311	13	3315	1700	25135	203	19345	701	3372	618	362	24163	604	2807	121	3478	67343	1093	27600	13320	1826	3476	3334	19673	2969	4600	41659	53889	589	4062	4294	1628	910	1107	4479	6367	1306	85308	100852	22227	139	4136	2524	2871	805	3495	249	762	1365	550	324	1089	1792	591	1477	854	3514	278300	77597	13557	7137	18946	3100	145	1102	2064	1138	7202	924	4623	258	1417	2075	618	1956	1011	535	591	2027	33843	38742	1015	6774	1662	2398	250454	822	248936	2128	23747	45165	697	3376	1657	748	545	1028	184	524	547	1126	11793	1083	2976	6361	1187	4257	2334	272	840	233	2016	611	247	478	208	792	677	592	441	888	164	267	329	659	976	2762	14078	7106	15425	1160	13718	638	1951	685	3185	788	1094	1078	1050	1842	215	1274	5246	3894	2513	1513	250	1022	573	808	379	656	147	1387	11677	1760	7874	6430	1888	1129	428	183	241	341	644	513	43074	82154	12060	496	7571	697	1529	2764	518	536	2276	602	896	593	359	382	610	1533	1541	2071	1700	694	339	254	10149	30843	6050	4760	738	206	433	490	395	768	266	391	195	17	283	238	903	509	353	76	2469	7624	2126	1682	377	245	179	507	233	135	120	98	120	165	37	316	199	194	102	715	2846	1090	858	143	58	88	75	142	90	189	114	34	111	1268	120	52	57	45	270	32	927	368	298	21	58	88	32	17	201	7768687
May-F3 (aw1476@May-F3-#7 of 36-(-)) *	1211553	194671	276631	23488	391	1948	860260	419237	2058	23526	344820	488703	238091	3	3427	3085	15609	357	11803	401	2111	396	372	15078	550	1555	68	5328	54652	1675	19109	10570	2663	3267	2373	15666	5003	2873	42695	95908	579	3517	7035	1231	1023	2176	2755	9360	2401	72979	73400	24411	145	3825	1718	2872	1369	3397	408	1263	2421	424	755	1256	3646	798	2979	1145	6972	162637	43332	8408	5485	25828	3029	231	1014	2201	1436	7138	1359	9236	429	2428	1502	1257	3317	1836	626	1208	3978	31815	30935	1481	6605	2832	2338	149804	1351	137045	2382	13831	62280	1290	4777	2638	1641	842	2278	365	1074	954	902	11041	2156	2417	5411	1193	3499	2944	404	1042	360	2359	934	525	628	349	1235	532	1025	406	1232	246	385	715	1316	1693	4285	15611	12697	12990	2026	26669	1233	2762	1170	2445	1520	1101	1143	1178	2448	366	2644	5815	3493	2787	1950	397	1565	983	875	641	806	257	1533	8345	2170	6245	6426	2363	1249	848	288	557	411	773	800	27718	49224	8010	793	5129	883	1815	2759	783	1038	3600	970	1871	809	503	759	1168	3143	1677	1571	1299	650	344	457	6867	19704	4026	3328	799	408	1385	1319	1386	1322	454	701	316	40	409	532	1272	561	676	166	2151	5353	1758	1469	378	279	177	536	315	231	191	154	207	276	72	378	224	256	188	546	2052	862	784	209	88	135	101	161	111	1040	425	60	328	904	131	119	124	89	886	95	704	345	255	42	237	229	56	29	586	6071546
May-F3 (aw1476@May-F3-#8 of 36-(-)) *	1358899	191272	310825	29016	397	1973	803192	452210	2060	20539	313262	502951	215836	12	3013	3096	16675	386	14065	442	2652	497	417	14509	571	1569	66	4053	52272	1211	20809	11681	2981	3632	2355	15093	5005	3365	44756	95502	715	3225	6846	1283	1057	2076	3132	9129	2124	67223	78003	22806	176	4332	1847	2819	1248	3478	378	1292	2430	351	700	1309	3392	878	2865	1423	6954	154268	45300	8298	5941	27479	3282	267	1005	2258	1402	7654	1405	9105	473	2616	1616	1288	3286	1763	663	1121	3999	28650	32488	1557	5932	3008	2549	136843	1450	140731	2525	13819	64318	1622	4957	2881	1767	956	2209	409	1101	987	875	10055	1976	2632	5536	1170	3746	2990	412	1059	401	2450	976	627	650	340	1276	515	938	459	1325	270	413	595	1381	1642	4306	13921	13139	12695	2255	25297	1355	2868	1105	2442	1610	1164	1313	1186	2673	372	2691	5191	3492	2903	2002	440	1579	914	923	662	783	260	1857	8128	2015	6651	6280	2430	1161	778	300	562	480	788	839	25559	51203	8215	910	5196	950	1587	2615	754	1048	3728	1002	1905	797	506	844	1283	3296	1988	1639	1572	643	380	454	6352	20476	4175	3459	837	432	1297	1322	2034	1356	462	693	362	57	444	539	1360	581	783	160	2077	5347	1789	1532	437	304	177	573	299	245	225	211	212	318	101	424	225	261	237	534	2115	933	827	236	101	177	107	247	126	1147	472	91	577	934	160	127	147	82	1680	142	739	330	286	66	358	391	67	44	775	6207628
May-F3 (aw1476@May-F3-#9 of 36-(-)) *	1713026	173256	340220	37390	510	2704	699265	488632	1869	14097	255886	502581	237191	21	3480	4756	16050	593	15049	441	3060	586	569	13328	621	1711	73	4067	47143	1285	23165	14805	4268	5204	2134	15505	7131	3787	61307	139307	746	3787	10525	1419	1344	3152	3677	13556	3703	54992	78714	25326	211	6049	1694	3648	1982	4466	606	1937	4006	402	1154	1873	5272	1100	4597	1897	10822	141365	51089	9010	7406	36243	4610	396	1255	2704	2077	10254	2150	14619	594	3958	1611	1912	4997	2900	945	1717	6358	22600	32904	2014	6136	4559	3453	120009	1403	152574	3153	14329	85934	2177	7026	3857	2744	1323	3471	598	1719	1433	892	7622	2674	2871	6213	1474	4535	4562	614	1693	557	3332	1586	946	877	476	2015	563	1542	653	1890	400	598	1040	1948	2713	5827	12037	18988	11832	3191	38003	1931	4143	1760	2916	2476	1645	1617	1632	3771	571	4198	4115	3449	3572	3013	552	2215	1516	1337	1007	1032	380	2250	8508	1693	8325	6616	3401	1273	1239	449	838	616	946	1318	24085	59121	9361	1138	5648	1324	1038	2068	935	1842	4903	1456	2862	1102	795	1263	1839	4841	2447	1852	1926	840	505	719	6107	24013	4673	4029	1062	705	2664	2208	3096	1983	679	1047	490	54	623	919	1970	864	1029	284	2403	6406	2308	1942	576	464	289	853	466	351	328	286	314	402	137	502	272	341	350	570	2430	1107	1006	341	161	228	174	322	190	2476	978	129	883	1116	231	176	255	130	2436	157	860	391	334	77	565	544	106	54	1305	6795885
May-F3 (aw1476@May-F3-#10 of 36-(-)) *	1389668	202703	317285	27154	370	1829	889044	469504	2161	20477	351672	543176	220623	12	3091	2935	17431	353	13548	468	2409	478	352	15400	511	1501	61	3918	57441	1215	21641	11040	2796	3143	2661	15634	4607	3418	43237	90556	612	3309	6699	1209	997	2101	2935	8761	2025	75078	80842	22525	130	3822	1906	2887	1160	3371	389	1188	2354	423	642	1282	3217	713	2836	1165	6559	168601	45979	8654	5634	25113	2921	269	1024	2132	1255	6935	1238	7791	405	2060	1573	1152	3061	1751	628	1122	4014	31145	33388	1541	6007	2729	2176	147195	1081	141562	2256	14259	59693	1446	4584	2487	1565	840	2051	347	1055	869	948	10700	2036	2592	5730	1118	3814	2984	426	982	362	2232	840	521	607	297	1074	499	908	432	1135	262	377	607	1257	1511	4422	14819	12539	13569	1942	24865	1114	2750	1164	2432	1333	1163	1185	1041	2396	300	2506	5286	3630	2892	1991	386	1430	902	891	580	776	223	1359	8003	1961	6416	6361	2409	1190	720	340	552	414	780	751	26600	50060	7973	890	5001	893	1722	2660	692	962	3512	965	1877	766	528	765	1161	2992	1583	1516	1415	662	350	417	6486	19577	3959	3353	731	354	908	969	1122	1282	447	685	310	37	396	441	1182	577	673	141	2077	5091	1710	1520	350	266	174	480	269	211	176	185	182	270	72	363	194	215	203	492	1955	805	643	198	84	144	88	164	107	532	243	69	259	906	136	99	106	78	969	69	702	298	242	43	192	200	52	34	624	6415340
