m/z	1.0087	12.0006	13.0084	14.0160	15.0109	15.0257	15.9958	17.0034	17.9996	18.9987	24.0008	25.0090	26.0047	26.9820	27.0055	27.0250	27.9761	28.0211	28.9839	29.9721	29.9919	30.9806	31.0186	31.9890	32.9798	32.9972	34.0054	34.9699	36.0004	36.9667	37.0082	38.0167	39.0130	39.0268	39.9744	39.9937	40.0183	40.9802	41.0017	42.0000	42.9814	43.0018	43.0220	43.9713	43.9900	44.0164	44.9774	44.9970	45.9922	48.0003	49.0077	50.0071	50.9837	51.0241	51.9753	51.9957	52.0233	53.0028	53.0401	54.0130	55.0196	55.9715	56.0217	56.9867	57.0372	57.9810	58.0091	58.9894	59.0157	59.9675	60.9742	61.9703	62.0152	62.9653	63.0217	63.9401	63.9678	63.9948	64.0285	65.0034	65.0384	66.0005	66.9895	67.0180	67.9730	68.0131	68.9979	69.0360	69.9766	70.0311	71.0139	71.9996	73.0069	73.9822	74.0105	74.9895	75.0238	75.9617	76.0338	76.9704	77.0430	77.9674	78.9613	79.9317	79.9611	80.9588	81.0365	81.9515	82.0326	82.9755	83.0117	83.0516	83.9644	83.9988	84.0495	84.9747	85.0151	85.9690	86.0145	87.0160	87.9414	88.0260	88.9466	88.9988	89.0390	89.9463	89.9973	90.0379	91.0229	91.9553	92.0296	92.9632	93.0367	93.9367	93.9794	94.0359	94.9419	94.9921	95.9414	96.0065	96.9427	97.0075	97.9467	98.0297	98.9440	99.0229	100.0353	100.9710	101.0450	101.9684	102.9726	103.9415	104.9456	105.0388	105.9405	108.0097	109.0091	110.0234	111.0246	111.9374	112.0272	114.0359	116.9456	117.0335	117.9469	118.0423	118.9541	119.9328	120.0266	120.9407	121.0346	121.9318	121.9720	126.0470	126.9576	127.1171	133.9554	134.0506	134.9565	135.9275	136.9358	137.9337	138.9021	138.9346	140.9225	143.9877	145.0203	147.0130	151.0330	156.9047	157.9039	158.8972	160.9158	164.9142	174.8793	175.8770	176.8761	178.9039	179.8985	180.9054	181.9038	182.9041	194.9232	195.8932	196.9010	197.8991	198.8983	199.8952	202.9320	203.0539	204.0740	205.1551	216.8678	217.8649	218.8642	219.8685	220.7071	220.8839	223.0669	238.8539	240.8549	254.8224	255.2016	255.8482	256.8630	257.8580	258.8583	259.8573	260.8680	273.8678	274.8708	275.8547	277.1583	277.8248	278.8270	279.8668	280.8461	283.2267	298.8236	299.8174	300.8235	311.1803	315.8204	316.8253	317.8198	318.8167	320.8087	322.8203	339.2207	342.8398	358.7980	360.7925	361.2082	362.2203	364.8509	366.2197	376.7869	380.7793	395.3775	400.7157	402.7805	407.2849	423.3012	436.7623	437.7542	438.7622	444.7532	448.2842	449.3003	451.3175	466.8231	473.2985	
May-F3 blank (aw1476@May_F3blank-#1 of 36-(-)) *	1571176	103521	281157	41815	518	1880	916699	728386	2609	2290	124731	340823	108833	12	1546	2519	24974	231	26594	603	5350	870	748	21488	850	4473	236	3365	24189	1080	18280	14358	2151	5009	1929	12931	3692	4353	45314	62679	576	2823	5906	1910	972	1229	5953	8361	2154	20889	42785	10855	100	5732	1310	2953	1183	3114	473	1088	2175	427	466	1226	2228	842	1891	1201	5139	195152	93318	12462	6302	16793	4035	171	1070	1583	1787	7358	2070	5226	236	2294	1151	806	2388	1499	490	598	2214	5338	12577	1321	2877	4250	3697	170229	1627	293919	5085	24615	39754	676	4803	1927	1343	604	1331	244	646	698	602	1524	910	2190	2156	932	2324	2347	294	908	308	1634	1070	327	540	427	1516	537	1484	688	1792	159	470	440	719	2148	2396	2309	7031	3094	1183	12441	853	1569	686	2517	1143	1117	1154	1180	2590	551	1576	731	929	1282	1192	241	793	598	1086	686	813	248	1775	11110	877	10452	4974	2033	847	473	184	490	366	558	1134	34896	117793	15613	821	9722	910	169	556	656	810	2810	732	1055	562	575	415	680	1829	1894	2170	2462	794	453	569	8290	46840	8467	6907	1136	198	776	702	1053	1412	431	500	234	28	367	351	1108	671	459	179	2107	11647	3104	2727	595	327	349	1325	553	282	249	190	165	158	88	404	224	233	140	635	4434	1559	1230	246	82	127	109	237	116	531	209	76	422	1950	165	132	110	57	538	66	1413	617	478	45	289	253	67	34	509	6302197
May-F3 blank (aw1476@May_F3blank-#2 of 36-(-)) *	1822747	114968	300953	42952	570	1594	1191296	882388	3236	2865	147643	395818	113315	12	1802	2108	29169	217	28556	728	5557	938	768	28187	903	5729	241	2674	28715	814	20467	15268	2067	5174	2320	14689	3367	4887	45631	56313	583	3274	5278	2235	1011	997	6852	7920	1545	24889	48402	11159	86	5865	1544	2877	1069	3078	391	970	1727	507	393	1072	1593	831	1455	1242	3605	261284	116717	15833	6508	17194	3887	179	1099	1698	1764	7246	1951	4178	237	1955	1294	652	2059	1114	535	456	1647	6291	13706	1345	2914	3950	3471	236431	1476	375413	4500	31979	41508	656	4397	1647	989	635	948	223	529	475	668	1655	694	2370	2234	968	2304	2165	270	847	305	1583	982	318	500	387	1294	606	1171	803	1627	159	443	399	660	1755	2367	2226	6264	3148	1066	8914	773	1497	514	2694	937	1134	1250	1214	2567	503	1378	692	982	1119	979	198	682	459	1096	656	852	233	1888	13005	713	11224	4045	2232	777	378	135	260	350	430	1115	45123	142420	19230	977	11771	941	168	460	524	579	3170	769	916	585	562	366	580	1502	2116	2493	2562	861	446	538	10335	54869	10149	8026	1324	190	494	437	629	1730	500	536	241	37	288	240	1140	627	404	115	2513	13571	3613	3016	680	346	380	1418	552	196	272	225	166	174	88	470	244	262	124	684	5155	1738	1357	228	57	74	105	236	127	275	128	56	207	2124	194	87	88	44	315	65	1640	716	517	38	152	164	43	21	330	7393404
May-F3 blank (aw1476@May_F3blank-#3 of 36-(-)) *	1552945	113346	265065	34187	494	1351	1158661	761147	3093	3200	161146	383097	124167	11	2105	1952	26853	200	23126	656	4255	835	582	26950	507	4865	196	2475	29975	718	18648	12690	1926	4088	2116	13327	3451	4141	39236	58038	546	3430	4556	1730	890	1083	5139	6497	1943	28538	48459	11455	90	4727	1467	2341	986	2611	350	844	1510	353	339	899	1552	570	1341	913	3040	252808	96746	14787	5908	18042	3317	183	894	1507	1402	5996	1492	3889	201	1610	1159	663	1827	1014	459	508	1554	7775	14572	1028	2903	2453	2640	238443	1068	316130	2758	28132	41329	757	3404	1546	913	577	1084	221	471	476	574	2296	707	1878	2364	879	2385	1896	321	785	259	1419	801	300	385	287	948	586	812	531	1092	176	355	360	709	1359	2557	2915	6727	3956	1227	10491	746	1333	569	2486	855	1083	1118	1109	2188	330	1476	925	1154	1209	1036	241	741	461	823	460	724	182	1452	11515	543	8697	2767	1960	855	367	153	228	266	331	750	44799	115051	16069	727	9588	790	210	553	400	582	2715	720	951	522	459	442	723	1777	1759	2125	1983	670	369	403	10437	45050	8463	6399	1063	179	402	341	666	1282	416	433	251	25	283	221	1015	558	440	122	2635	11093	3126	2511	486	293	289	964	401	124	193	153	139	152	58	389	183	222	85	726	4235	1539	1221	192	53	66	78	228	103	237	108	47	232	1847	135	92	73	42	318	45	1370	596	449	43	172	161	41	25	270	6716843
May-F3 blank (aw1476@May_F3blank-#4 of 36-(-)) *	1195384	114570	224029	23764	449	946	1106477	623955	3021	3914	180047	357560	145002	7	2362	1445	24441	166	17937	624	2999	607	307	26612	344	3572	140	2134	31727	719	16024	9852	1750	2943	2087	12327	2671	3442	30936	48867	524	3208	3348	1432	698	833	3919	4585	1573	33341	46670	12887	83	3157	1396	1952	704	2183	204	615	1126	298	271	790	1284	500	1010	897	2519	251895	77879	13568	4628	14771	2387	148	715	1330	1006	4724	882	3282	213	1153	1112	563	1429	717	427	373	1317	10414	15685	863	3090	1460	1692	248924	868	258748	1627	25170	34178	729	2649	1307	658	487	862	173	405	319	607	3072	627	1841	2650	959	2371	1526	297	601	214	1272	536	236	366	211	584	573	486	485	631	156	240	241	601	810	2122	3624	5459	4882	977	9098	554	1214	444	2038	648	980	863	893	1626	168	1153	1253	1352	1297	891	228	647	372	606	289	694	127	1350	9880	589	6253	2080	1585	656	300	151	158	198	307	389	45040	88714	13084	768	7159	511	275	622	326	435	1551	475	691	437	331	365	543	1352	1456	1836	1424	525	235	227	10596	33746	6557	5003	778	140	269	273	613	602	226	252	168	25	220	205	797	426	316	93	2618	8283	2317	1803	388	185	163	589	204	61	135	96	93	114	42	296	153	158	76	719	3307	1204	939	128	46	66	62	157	70	162	98	32	206	1353	94	55	79	43	411	43	1053	423	348	29	180	149	34	17	203	5887671
May-F3 blank (aw1476@May_F3blank-#5 of 36-(-)) *	1307152	129736	242101	24293	326	860	1279487	667054	3246	5012	215232	415522	144480	14	2432	1339	25792	151	17974	610	3031	596	305	28629	268	3658	106	2398	37305	719	18307	10050	1620	2796	2356	13358	2507	3458	30154	44948	611	3471	2896	1534	669	667	3993	4451	1272	40832	54462	13386	82	3058	1620	1996	603	2324	177	570	914	344	229	629	1083	460	931	768	2287	288739	81262	14618	4890	17529	2354	150	779	1402	900	4787	729	2909	167	987	1260	451	1360	651	398	359	1122	12877	18098	812	3303	1336	1751	289857	859	277901	1560	27425	38788	713	2404	1267	591	441	866	157	296	301	635	4038	663	1970	3061	891	2537	1518	230	533	195	1233	456	251	315	175	529	648	448	447	495	138	212	217	683	754	2309	4556	5615	5969	1016	8565	544	1248	406	2101	578	856	903	816	1599	192	1238	1499	1611	1361	850	222	551	313	573	252	696	109	1394	10888	640	6357	2215	1724	648	267	138	137	202	335	368	51165	91576	13852	698	7417	588	320	790	335	380	1773	499	757	463	293	378	585	1372	1561	2038	1412	563	252	195	12125	35003	6897	4947	810	115	250	213	543	684	221	291	173	16	226	162	821	395	350	81	2986	8767	2458	1837	389	214	194	547	239	62	131	99	101	118	31	306	176	178	83	885	3461	1275	972	156	38	48	61	128	77	168	71	28	194	1402	117	52	62	44	420	34	1193	496	357	28	154	141	31	19	251	6493362
May-F3 blank (aw1476@May_F3blank-#6 of 36-(-)) *	1230906	135984	235044	21955	277	694	1422766	665378	3443	6581	237659	439728	134240	5	2363	1061	26049	121	17104	623	2728	556	261	31001	238	3604	131	2009	41427	619	18546	9857	1349	2501	2359	14004	2018	3349	28561	35500	566	4408	2605	1457	622	511	3948	3928	935	46755	59109	12835	63	2799	1747	1960	490	2286	130	472	743	358	195	641	733	437	723	735	1710	324243	83171	15715	4831	17349	2213	130	717	1358	771	4718	713	2352	131	770	1296	356	1169	491	362	262	907	15381	20150	735	3535	957	1582	338613	878	292901	1305	30100	37737	596	1857	1031	447	367	641	120	270	235	740	4898	563	2043	3168	820	2602	1351	227	508	199	1189	413	214	310	139	441	715	353	436	438	143	180	173	530	564	1956	5142	4484	6866	788	6499	467	1049	336	2306	423	803	979	828	1374	140	946	1856	1906	1310	770	176	491	264	584	205	683	109	1271	11821	710	6290	2336	1631	679	205	90	88	207	342	284	60375	96249	14557	705	7722	569	434	938	284	306	1404	434	629	391	249	315	479	1107	1424	2078	1348	544	231	154	14109	36125	7299	5195	836	111	148	186	359	542	195	234	146	15	237	133	751	365	242	53	3361	8744	2572	1808	373	175	137	419	186	48	83	59	75	102	28	283	180	140	58	1001	3557	1231	887	126	36	48	55	148	72	92	40	23	133	1465	97	48	53	32	269	30	1058	452	360	17	79	84	13	17	229	6695249
May-F3 blank (aw1476@May_F3blank-#7 of 36-(-)) *	1317657	112335	224913	25346	385	1299	1015815	605425	2841	4688	179819	375644	140428	14	2238	2137	22028	258	16930	565	3006	557	511	25109	422	3804	146	3879	32983	1287	17617	11209	2079	3708	2016	13440	3511	3298	39820	65210	566	3362	5301	1486	800	1262	4029	8285	2709	34648	51474	13282	97	4080	1492	2382	1014	3058	340	971	2195	318	499	1256	2071	662	2156	1004	5545	251470	79934	14306	5494	20071	2977	223	809	1566	1207	6197	1329	4542	244	1894	1205	775	2823	1261	475	696	3348	11062	18261	989	3329	2260	2311	248898	973	266279	1889	26240	44817	1052	3902	2037	1209	729	1416	242	739	662	630	3423	1020	2115	3252	953	2855	2481	389	830	307	1716	873	483	421	275	1025	629	742	566	1012	191	357	461	1003	1430	3093	4720	8834	5661	1480	15330	952	2007	722	2354	1318	1103	1085	1075	2313	328	1900	1572	1675	1765	1370	307	966	605	772	473	861	198	1642	10625	655	7198	2864	2155	815	565	219	356	315	401	607	46056	93596	13809	690	7924	858	313	786	520	874	3515	905	1243	607	483	557	947	2300	1816	1969	1656	618	317	359	10836	35826	6999	5212	1028	217	622	513	1380	1648	512	514	276	33	304	382	1107	532	522	171	2800	9200	2701	2119	471	297	215	694	456	160	239	210	182	157	83	386	222	207	164	779	3459	1290	988	205	80	116	91	194	125	399	212	62	603	1487	133	111	88	66	963	91	1147	518	409	41	384	332	62	29	393	6142533
May-F3 blank (aw1476@May_F3blank-#8 of 36-(-)) *	1236239	106979	213068	23406	326	1397	917148	542313	2621	4748	172414	350281	142037	12	2246	2206	19694	255	15073	499	2670	473	409	22672	378	3173	113	4140	30896	1289	16139	10433	2063	3477	1909	12317	3769	2924	38378	68831	569	3137	5087	1384	888	1267	3701	7616	2783	33658	48253	13315	84	3749	1402	2340	1028	2753	338	907	1965	316	431	1039	2279	681	2107	996	5475	224565	69097	12918	4895	20076	2738	242	803	1587	1243	5955	1281	4907	228	1799	1134	794	2685	1269	478	710	2941	11193	17413	949	3366	2319	2137	222415	897	229800	1826	22953	43950	1138	3545	1896	1284	723	1604	240	742	673	635	3624	1141	1850	3178	946	2672	2413	391	792	321	1664	794	412	428	253	957	605	715	497	969	246	330	475	988	1454	3202	4926	9218	5534	1609	17059	986	2074	777	2168	1303	1016	1113	1029	2385	307	2064	1512	1622	1697	1408	280	963	595	812	491	804	202	1534	9509	684	6436	2881	2093	828	532	201	330	312	410	610	41102	80380	12011	646	6843	847	340	825	521	862	3263	846	1322	649	470	599	1000	2471	1680	1848	1466	656	305	335	10045	31056	6059	4531	888	250	716	619	1558	1405	465	542	267	41	349	414	1125	470	539	158	2712	8256	2316	1832	462	259	209	686	334	177	213	183	180	165	68	377	224	176	137	738	3118	1171	912	231	79	110	100	217	110	523	246	56	695	1366	145	100	120	64	1058	100	1024	471	338	39	415	383	62	34	459	5689360
May-F3 blank (aw1476@May_F3blank-#9 of 36-(-)) *	1151919	120132	224777	22974	357	1274	816126	473602	2229	5523	188936	349526	142371	11	2186	2119	18346	213	13963	457	2443	507	324	18495	279	2241	88	3647	32806	1163	15205	9227	2023	3010	1940	11285	3447	2984	33858	66463	596	2813	4665	1112	687	1225	3094	6536	2427	35647	47341	13463	98	3264	1383	2031	902	2456	286	947	1874	266	478	989	2311	616	1948	976	5090	181650	52957	10321	4461	19797	2478	318	709	1502	1025	5099	1040	4561	290	1652	1086	820	2376	1243	448	681	2794	12283	17568	942	3260	1922	1725	174891	768	171736	1353	17366	40804	1217	3153	1830	1113	735	1581	247	694	593	581	3917	1251	1716	3186	884	2348	2136	441	689	338	1423	668	485	451	217	790	486	650	427	848	270	305	456	1114	1234	3509	5586	9613	5931	1723	17219	1030	1787	712	1942	1065	905	941	948	2068	245	2111	1829	1711	1764	1272	334	933	574	702	392	745	156	1389	7522	662	5459	2733	1978	713	498	201	312	324	414	568	32040	59782	9288	685	5062	857	447	879	435	763	3702	924	1388	572	386	663	994	2581	1493	1514	1286	507	301	286	7717	23249	4674	3509	815	235	649	550	1141	1591	477	538	273	35	325	367	1010	500	552	167	2261	6133	1943	1531	367	210	178	551	343	126	254	167	201	153	65	332	164	209	117	589	2308	919	808	203	77	95	96	165	117	379	191	62	467	1061	120	94	112	69	849	76	812	389	272	40	319	302	58	26	463	5200559
