m/z	1.0076	11.9996	13.0076	14.0151	15.0232	19.0182	22.9899	23.9844	24.9844	24.9933	25.0066	25.9838	26.0147	26.9809	27.0233	27.9870	28.0177	28.0294	29.0020	29.0394	30.0338	30.0428	30.9804	31.0000	31.0183	37.0062	38.0155	38.9650	38.9952	39.0243	39.9608	40.0275	40.9636	40.9813	41.0091	41.0365	41.9902	42.0103	42.0439	43.0003	43.0202	43.0573	43.9692	43.9809	44.0220	44.0469	44.0581	44.9771	45.0148	45.0334	45.9494	45.9778	46.9476	46.9752	46.9950	47.9453	48.9511	49.0045	49.9442	50.0134	51.0225	51.9922	52.0292	52.9828	53.0014	53.0380	53.9873	54.0087	54.0426	54.9978	55.0187	55.0550	56.0227	56.0582	56.9642	57.0137	57.0340	57.0725	58.0396	58.0724	58.9929	59.0110	59.0316	59.0500	60.9518	60.9817	61.0073	61.9441	62.0127	62.9467	63.0212	64.0278	64.9485	65.0375	65.9891	66.0437	66.9970	67.0548	68.0237	68.0571	68.9944	69.0123	69.0345	69.0722	70.0748	71.0517	71.0886	71.9472	72.0888	72.9518	73.0606	73.9861	74.0118	75.0206	76.0276	76.9978	77.0362	78.0429	78.9520	78.9809	79.0525	79.9493	80.0556	80.9446	81.0339	81.0719	81.9509	82.0716	83.0484	83.0910	84.0880	85.0025	85.1093	85.9607	86.0110	86.9641	87.0195	87.9402	87.9744	88.0258	88.9304	88.9475	89.0344	89.9876	90.0422	91.0522	92.0564	93.0693	94.0701	95.0474	95.0902	96.0865	96.9558	97.1068	97.9588	98.0102	99.0196	99.9725	100.0309	100.9811	101.0347	102.0417	102.9621	103.0495	104.0209	104.0564	104.9433	105.0302	105.0693	106.0304	106.0686	106.9105	107.0456	107.0862	107.9112	108.0869	109.0010	109.1051	110.0095	111.0177	111.9732	112.0239	112.0910	113.0306	114.0409	115.0488	116.0520	117.0587	118.0688	119.0839	120.0851	120.9488	121.1008	122.0076	123.9057	126.0377	127.0461	128.0513	129.0581	130.0589	131.0365	131.0814	132.0811	134.0046	137.0254	139.0444	140.0474	140.9052	141.0572	141.8847	142.0626	142.8836	143.0765	143.8758	144.0704	144.8788	145.0954	146.0075	147.0689	149.0189	150.0248	151.0299	152.0451	153.0468	154.0496	155.0734	156.0727	157.0912	157.9977	162.0189	163.0368	164.0350	165.0548	166.0532	167.0685	168.0615	169.0944	170.0013	170.8545	174.0239	175.0228	176.0414	176.8809	177.0425	178.0545	179.0648	180.0705	181.0872	186.0129	187.0273	188.0293	189.0465	190.0440	191.0563	192.0579	193.0907	197.1579	198.0211	198.9058	199.0246	200.0328	201.0344	202.0501	202.8759	203.0571	204.0635	204.9072	205.0659	206.0811	208.9888	210.0172	211.0216	212.0261	213.0428	214.0459	215.0625	216.0642	217.0758	222.0094	223.0186	223.8059	224.0219	225.0303	226.0472	227.0467	228.0509	229.0750	230.0814	232.0683	235.0265	236.0313	237.0338	238.0306	239.0553	240.0563	241.0647	242.0666	246.0521	248.0241	250.0399	251.0429	252.0581	253.0649	254.0665	259.0256	262.0315	263.0484	264.0628	265.0610	266.0721	273.0350	274.0292	276.0523	277.0586	278.0626	279.0765	286.0292	287.0405	289.0584	290.0688	291.0744	296.0057	299.0271	300.0474	301.0482	302.0624	303.0707	309.0203	311.0315	313.0527	315.0702	324.0385	326.0566	335.0248	337.0432	346.0115	349.0378	359.0202	370.0060	372.0230	374.0462	385.0299	387.0499	
May-F3 blank (aw1476@May_F3blank-#1 of 36-(+)) *	22115	4160	6219	11311	29772	2535	44895	651	62	114	1698	115	24823	7319	278645	3602	8180	42134	18244	298615	6536	13465	2644	3322	14290	5911	21132	15675	16177	272434	3789	37634	2866	3174	21272	549993	9810	6769	65913	24330	65240	339511	2153	885	6027	3677	19938	109914	6336	10197	4204	6394	2447	4823	3029	37825	18070	1328	3685	31760	95427	252	35180	20349	11200	130965	4565	2090	44099	11233	55992	305896	5899	49948	4113	6194	17192	217114	3267	14937	1154	729	3411	5365	2001	1826	5737	3177	19003	4596	63376	13303	9416	69013	5171	20279	7935	100005	4164	25237	2968	3520	12197	100239	21725	10256	53888	2883	3805	5330	18461	2197	18704	30096	20198	25617	116076	31783	2527	7476	58739	2433	20532	8250	6645	53619	5447	15354	7066	31134	7818	2257	13850	1995	11213	2145	18622	1604	1155	5875	333	4420	16389	1483	5014	78952	11859	21199	10323	5128	28570	8388	1123	11998	1029	9273	9115	855	4584	2458	6144	12637	2206	16108	6539	6753	5821	22554	20944	2401	8036	357	3451	8830	1522	5034	1445	9727	5256	5749	588	1743	7515	5812	3863	51680	13551	17870	5227	6080	4400	2179	3491	5469	879	10810	16101	42290	17975	6852	3019	5870	2923	3141	3614	20463	5154	1217	21120	2172	6915	2222	5085	5974	3769	2741	2260	2125	3265	42132	14022	15274	34952	19520	7864	6564	3326	2132	1161	3588	13976	10693	38928	11027	11571	4459	2215	1072	198	4071	4509	15586	715	9222	23793	12180	4128	2645	2685	9126	6165	27981	11322	14290	5784	2673	3703	2698	1524	3123	10599	8421	26358	540	13525	6003	330	5624	2984	2045	1364	4755	3183	12963	4740	16437	6360	4038	2189	2463	1726	7987	5488	16500	9440	8874	5253	2408	3943	4176	2809	8416	3979	17151	6431	5789	2858	1892	4890	11181	5452	10580	6379	2997	2881	3370	11637	3984	7860	3136	2342	5930	9964	5923	3513	2722	2209	7015	7453	3346	2798	2112	2766	7125	4015	4473	3176	2570	5077	6925	3395	5026	4729	3287	5612	1690	2128	2205	1261	2107	3033	2170	2683	8669686
May-F3 blank (aw1476@May_F3blank-#2 of 36-(+)) *	28366	5555	7550	13829	32426	2518	57030	801	90	136	2164	134	29607	9388	302249	4352	7915	41868	19773	289302	6457	12448	3040	3454	14498	7432	25755	16703	17635	306365	4710	40598	3158	3473	21454	555566	11152	6092	62369	26640	58418	284113	3603	1099	5124	3293	16629	142556	6021	8961	4273	8223	2621	5940	3052	38590	17993	1592	3809	39712	115853	304	41272	25532	12540	142034	5612	1933	40795	12320	46731	283121	4796	41254	4427	5938	14496	162432	2398	11456	1259	658	2813	4143	1953	2075	6424	3100	23788	4347	79118	16223	9360	79722	6657	21480	9383	93720	3471	21204	2785	3608	9704	80649	16721	7691	37760	3745	2921	5807	12963	2597	23437	36893	24942	29894	139894	37109	2278	8433	60214	2194	18900	7649	6095	46706	4525	12427	5574	22234	5820	2778	9103	2088	13899	2001	22945	1913	1062	7214	300	4971	20762	1898	6144	92958	12951	20189	8942	4445	23182	6720	1149	7946	1108	11288	10655	906	4286	2879	7097	15977	2261	19265	7169	7743	6624	24608	22504	2677	7975	349	3466	7944	1597	4371	1648	7459	6440	6790	583	1787	5242	6918	4809	64805	16763	20680	5517	6420	3990	2247	3185	6192	837	12963	20143	53601	22325	8086	3435	6624	3004	3369	3844	25735	6346	1173	26811	2081	8668	1994	6117	5554	4332	2420	2519	2493	2733	34088	15332	18634	44230	25024	9939	8039	4020	2541	1370	4058	17573	13115	49859	14010	13215	5368	2449	1231	217	5096	5513	19273	812	10910	30130	14810	5110	3163	3091	11624	7741	35397	14129	17183	7154	3075	3023	3356	1613	3833	13705	10326	34676	613	16599	7461	375	6547	3489	2269	1629	5862	4002	16713	5921	21533	8185	4869	2758	2849	1565	9996	6792	21464	11976	11561	6641	3029	3790	4822	3439	10640	4939	22270	8354	7451	3635	2239	6230	13795	6526	13534	8430	3900	3344	4293	14958	5173	10129	4158	2812	7589	12789	7607	4687	3625	2848	8711	9743	4306	3403	2601	3359	9457	5124	5762	3927	3010	6251	8800	4111	6316	5905	3925	6895	2071	2668	2552	1527	2532	3880	2713	3437	9144914
May-F3 blank (aw1476@May_F3blank-#3 of 36-(+)) *	25232	5406	7447	12173	26412	2010	24511	506	47	73	2121	98	24810	7370	226311	4020	6550	33859	16791	197113	5019	9979	2178	2093	11161	6687	21989	12117	13050	236311	3555	31511	2288	2505	13484	375915	7849	5522	43822	17981	48117	162116	3242	907	4651	2634	12209	108392	3562	7107	4610	6265	2848	4655	2152	41657	18900	1566	4157	33327	92761	231	32798	20096	9520	105059	4099	1596	29718	7889	42628	177419	4203	28519	3346	3379	12442	103247	2108	8519	868	438	1581	3453	2088	1758	5345	3284	20179	4611	63898	12703	9851	60231	5021	16658	6871	66133	2881	15476	2332	2305	8113	50060	11665	6079	20374	3276	1831	5419	10630	2301	20201	29929	18841	22158	105913	28024	2081	6359	44082	2213	14724	8100	4840	32092	4614	9834	4513	13952	4801	2323	5715	2042	11986	1835	19133	1710	1028	5596	301	4075	15613	1616	4695	67921	9813	14758	7396	3509	15789	5583	1065	4990	1087	9978	9049	764	3646	2538	5420	11868	1919	14263	4435	5462	5418	18937	16896	2099	6343	290	2630	6101	1396	3678	1420	4960	5649	5946	465	1534	4595	5364	3600	47762	12411	15022	4038	4605	3368	1954	2363	5704	777	9844	14580	38755	15875	6013	2567	4697	2376	3388	3072	19200	4748	1113	19005	2184	5966	2206	4378	6200	3253	2614	1759	2397	2064	14110	10524	13773	31869	17548	7338	5655	2856	1694	1383	3271	12994	9595	34366	9527	8752	3560	1702	1082	163	4241	4283	14121	716	7726	19755	9936	3519	2173	2728	9117	6118	25404	9769	11438	4888	2126	2500	2880	1377	3063	10561	7647	23960	493	11086	4781	261	4336	2211	2028	1415	4841	3148	12413	4354	14356	5407	3379	2578	2564	1872	8113	5447	15302	8495	7720	4507	1931	2189	4325	2956	8377	3972	15346	5483	4660	2401	1965	5157	10562	4907	9149	5340	2561	3078	3438	11018	3482	6839	2713	2378	6154	8922	5229	2996	2270	2431	6788	6832	2952	2273	2397	2914	7238	3756	4121	2599	2892	5437	6606	2881	5233	4294	3657	5373	2013	2231	2395	1466	2352	3227	2562	2724	6857531
May-F3 blank (aw1476@May_F3blank-#4 of 36-(+)) *	23610	5066	7020	11852	24564	1926	15106	583	68	103	1943	121	23781	6791	212127	4301	6228	31897	15461	185359	4733	9583	2064	1866	10369	6200	19707	9627	11948	220952	3037	29791	1946	2322	12647	353000	7506	5181	40671	17643	46043	147614	2761	826	4457	2737	11219	93508	3441	6683	4189	5487	2349	4193	1916	38128	17873	1411	3738	29412	82665	250	30195	17930	8692	99408	3855	1614	28271	7891	39484	168147	4107	27205	3009	3250	11381	101934	2039	8533	801	494	1675	3594	1858	1700	4851	2685	17857	3970	55850	11303	8412	54662	4550	15835	6171	64403	2936	15138	2185	2488	8345	47786	11366	5806	18443	2677	1862	4666	12323	2093	17483	25539	15562	21181	93340	25916	1941	5478	43082	2025	14285	6822	4891	32046	4285	9511	4445	14159	5193	2359	6062	1688	10726	1648	16676	1561	942	4936	256	3629	13465	1380	4054	62709	9405	14921	7150	3406	16136	5591	852	5110	839	9063	8059	690	3324	2376	4796	10248	1757	12737	3505	5257	4894	13840	16574	1743	6094	270	2537	5881	1099	3633	1425	4985	5562	5480	457	1379	4929	4741	3073	40700	11109	14052	4179	4599	3369	1805	2473	5362	715	8306	12274	33380	14368	5333	2397	4659	2150	3206	2773	15595	3838	915	16538	1981	5354	1954	3951	5376	3056	2332	1712	2380	2279	10526	8739	11349	25721	14935	6142	5087	2593	1576	1352	2876	10805	7800	27697	7969	7534	3297	1651	1176	148	3510	3427	11446	699	6211	16265	8640	2951	1991	2345	7401	4910	19433	7957	9979	4167	2003	2254	2588	1187	2700	8352	6010	18144	393	8876	3904	232	3817	1991	1906	1298	3940	2611	9604	3387	10969	4132	2822	2254	2266	1509	6557	4311	11343	6341	6079	3450	1661	1902	3801	2618	6524	3129	11523	4308	3678	1948	1801	4295	7820	3762	6617	4057	2052	2797	2963	8099	2673	5062	2087	2113	4805	6606	3707	2209	1765	2018	5214	4854	2125	1795	2171	2336	5277	2799	2872	1982	2541	4322	4703	2033	3977	3102	2941	4123	1781	1969	2101	1317	2107	2480	2088	2052	6275338
May-F3 blank (aw1476@May_F3blank-#5 of 36-(+)) *	24257	5805	7313	11523	22219	1402	22786	338	31	70	2151	69	23225	7030	180305	4091	4447	26103	13456	137750	3171	6860	1845	1517	7727	6506	19650	9570	9694	191976	3028	24550	1805	2060	9647	268114	6549	3926	29509	13808	30744	99041	3535	928	2954	1628	7741	91289	2580	4546	3928	5256	2239	4055	1449	35358	16131	1570	3404	29687	75636	221	26257	17315	7661	78115	3478	1143	20238	6058	26438	117887	2558	17933	2412	2135	7435	63735	1231	5095	651	315	977	2080	1716	1562	4676	2400	18251	3663	52836	10131	7692	44579	4315	12070	5266	44988	1842	9906	1555	1713	5114	31037	7292	3544	11524	3192	1171	4485	7226	2057	18534	24546	14632	17120	78495	20888	1417	4114	31599	1524	10204	5532	3088	21158	3184	6436	2816	8605	3338	2434	3536	1597	11423	1449	16804	1682	796	4588	231	3183	11491	1345	3342	49391	7011	10257	4828	2190	10188	3608	864	2936	858	9987	7780	675	2702	2431	4070	8691	1456	10099	2902	4076	4309	11577	12224	1286	4396	226	1658	4284	944	2493	1551	3183	5960	5586	393	1222	3041	4024	2515	33554	8645	10702	2943	3365	2237	1659	1701	5912	576	6961	9947	26377	11078	4123	1800	3323	1633	3493	2497	13040	3202	777	12933	1660	4132	1749	2975	5214	2232	1991	1239	2624	1378	7297	7575	9597	20681	11336	4612	3712	1905	1195	1563	2529	9543	6233	21580	6080	5627	2474	1204	1199	126	3384	3111	9229	649	4877	12435	6281	2226	1398	2153	6878	4197	15748	6098	7216	3100	1348	1466	2622	995	2502	7365	5118	14214	321	6537	2983	199	2790	1394	1767	1239	4091	2491	8054	2710	8475	3273	1947	2297	2197	1497	6228	3887	9455	4886	4548	2467	1181	1308	3619	2389	5779	2708	9029	3230	2793	1418	1776	4391	6848	3115	5132	3095	1501	2715	2539	6753	2112	3785	1485	1940	4488	5352	2837	1657	1299	1870	4863	3898	1741	1234	2230	2121	4632	2241	2294	1439	2563	3846	4048	1596	3689	2604	2896	3648	1880	1699	2212	1463	2140	2136	2077	1860	5096234
May-F3 blank (aw1476@May_F3blank-#6 of 36-(+)) *	25572	6801	8116	11902	21367	1264	22057	412	37	60	2423	92	24186	6852	172042	4390	3917	23419	13221	116979	2757	5295	1787	1434	6678	7292	20587	8119	8942	185167	2872	23038	1456	2188	7644	232571	6260	3286	24847	12736	25130	73960	3975	1066	2260	1480	5583	91278	2121	3716	3391	5179	1898	4050	1232	30846	13928	1782	2976	30706	74611	205	25111	18119	7348	70550	3481	1055	16997	5873	20758	93495	2093	13383	2143	1942	5723	46590	921	4064	606	300	838	1565	1373	1560	5214	2019	19301	3175	52370	9868	6507	40853	4320	10720	5133	35754	1590	7878	1357	1487	3961	22438	5503	2687	8149	3175	877	4037	4685	2094	19924	24448	14035	15502	70765	18712	1183	3567	26384	1339	7849	4368	2427	15997	2622	4556	2061	6159	2322	2702	2401	1371	12651	1171	17393	1786	719	4494	202	3134	11029	1346	3058	43089	5942	7884	3656	1723	7535	2597	805	2145	811	11165	8132	556	2531	2656	3674	7946	1207	9178	2404	3515	4264	9585	9924	1096	3390	162	1350	3127	712	1794	1975	2284	7042	6042	328	1291	2054	3942	2359	30264	7666	8906	2346	2586	1755	1511	1277	6794	505	6529	8989	23230	9531	3303	1429	2706	1283	4064	2314	11883	2725	622	11020	1460	3465	1475	2429	4352	1777	1718	1078	3085	958	5597	6893	8684	18278	9710	3801	3094	1587	996	1835	2440	8485	5556	18599	5204	4500	1966	1022	1427	124	3299	2861	8328	630	4271	10223	5186	1732	1115	2161	6542	3797	13473	5015	5940	2428	1087	1232	2632	828	2344	6688	4482	11974	255	5494	2364	142	2245	1199	1820	1244	3865	2262	7322	2444	6962	2675	1625	2451	2129	1292	5851	3365	8079	4131	3690	2027	966	1060	3591	2306	5550	2284	7597	2679	2302	1144	1893	4140	6043	2592	4378	2550	1123	2837	2327	5942	1888	3122	1194	1862	4018	4455	2512	1350	1061	1882	4133	3256	1381	1010	2435	1990	4037	1954	1920	1220	2569	3652	3357	1326	3357	2205	2764	3147	2018	1561	2144	1620	2127	2062	1931	1640	4575398
May-F3 blank (aw1476@May_F3blank-#7 of 36-(+)) *	24803	5158	7049	12021	27658	2825	21572	401	49	86	2084	80	25009	7720	234382	3131	9197	38273	19044	213750	6498	12366	1841	1823	14567	6700	21791	16903	13031	245395	3341	33812	2536	2456	12807	395041	7210	7234	48936	17687	67687	174258	2991	876	6497	4243	15769	99528	3879	10033	5385	5921	3748	4327	2177	49319	23364	1501	4788	31582	90637	241	33636	18370	10314	114194	3832	2014	35946	7409	64130	188201	6386	36029	3904	3041	18785	143881	3205	12748	1017	671	2199	5526	2750	1911	6097	4723	19014	6410	60101	12545	12009	61543	4753	18264	6325	78592	4242	20367	3532	2806	13588	61238	16401	9328	23899	3414	2497	6487	21890	2154	18912	28277	15402	23116	104367	28911	2853	6469	49495	3011	19559	10492	7005	39909	6717	14188	7323	19418	7122	2370	8463	2368	11306	2532	17837	1943	1267	5427	468	4139	14904	1525	4545	70887	10729	17883	9918	5273	20461	8053	1279	6966	1222	9921	9181	983	4972	2598	5614	11416	2487	14476	2965	5714	5947	16356	18405	1984	7863	432	3571	7531	1889	5128	1550	6671	5878	5928	649	1747	8139	5410	3490	44996	11979	15940	5003	5397	4496	2414	3121	5967	1105	9576	13993	36874	16130	6051	2901	5215	2671	3475	3328	17312	4597	1514	18418	2868	5834	2880	4503	7663	3442	3514	2059	2590	3908	7715	9019	12662	29273	16817	6659	5576	2888	1696	1469	3228	11716	8803	31027	8884	8341	3594	1975	1163	212	3728	3852	12617	849	7415	18155	9626	3243	2171	2545	7901	5165	21559	8751	11540	4619	2221	3431	2734	1428	2828	8698	6476	19599	559	9816	4355	268	4414	2358	2439	1402	4175	2661	10249	3602	12038	4729	3274	2336	2316	2336	6740	4458	12291	6983	6443	3924	1747	2491	4164	2641	6856	3175	12288	4539	4140	2037	1800	4503	8370	4119	7247	4405	2111	2942	2976	8703	2828	5572	2192	2334	5085	7005	4183	2424	1981	2076	5527	5287	2358	1954	2173	2402	5640	2980	3111	2126	2674	4376	5040	2258	4102	3305	3116	4515	1801	1986	2090	1341	2071	2531	2043	2202	7315766
May-F3 blank (aw1476@May_F3blank-#8 of 36-(+)) *	23554	4967	6820	11794	27723	2784	20587	346	37	62	1940	78	24553	7459	238379	2886	10322	40141	18808	228712	7419	13285	1866	1854	14602	6340	21274	18031	13215	245413	3164	34386	2705	2342	13373	414435	7173	8011	52556	17488	75938	194717	2638	924	7199	4828	17291	93999	4223	10338	5981	5382	3961	4115	2367	54105	25851	1448	5346	30244	87632	242	33527	16948	10437	116676	3542	2272	38650	7171	73235	203180	7483	40264	4176	3235	20846	165197	3730	14475	1104	652	2638	6021	3004	1865	5643	5344	18080	7276	56729	11794	13214	61634	4343	19326	6023	85810	4901	22721	3871	2887	15102	69140	18227	10810	27011	3285	2611	7061	24055	1936	17338	27246	14232	23348	103846	29279	3125	6630	53573	3456	21774	12309	7919	43926	7744	16319	8368	22199	8034	2318	9711	2616	10618	2975	16749	1853	1429	5071	487	4312	14103	1473	4466	72106	11312	19679	11227	5868	23101	9215	1362	7897	1317	9313	8817	1116	5152	2507	5501	10923	2879	14430	2904	6064	6043	15813	19828	2175	8665	431	3962	8221	1998	5798	1589	7521	5573	5894	701	1756	9113	5199	3361	43103	12204	16817	5370	5888	5037	2651	3455	5814	1162	9453	13323	34950	15764	6205	2939	5704	2954	3544	3321	16523	4413	1629	17575	3185	5801	3219	4548	9125	3659	4084	2186	2558	4182	7267	8500	11796	27373	16287	6638	5636	2946	1920	1485	2979	10797	8656	29306	8596	8426	3557	1914	1269	212	3426	3598	11489	814	7078	17155	9680	3154	2255	2305	7154	4760	19644	8135	11373	4593	2280	3669	2354	1529	2702	7910	5807	17618	541	9429	4392	315	4532	2456	2365	1262	3640	2445	9022	3263	11077	4429	3296	2162	2190	2784	5947	3978	10785	6134	5876	3574	1675	2895	3901	2562	6018	2826	10895	4046	3684	1964	1757	3945	7239	3649	6562	4022	1946	2717	2657	7474	2495	4975	1988	2260	4189	5890	3687	2085	1727	1853	4720	4545	2002	1710	2070	2360	4666	2420	2589	1954	2354	3774	4252	1981	3528	2873	2775	3964	1553	1817	1860	1222	1769	2130	1747	1866	7514978
May-F3 blank (aw1476@May_F3blank-#9 of 36-(+)) *	20530	4977	6212	10193	23472	2356	19417	539	44	66	1787	78	21521	6593	199732	2900	9905	36012	16085	189751	7397	11871	1332	1593	12528	5383	18055	17429	10914	206999	2699	29838	2510	1872	11559	335946	5358	7383	46825	13465	68967	165446	1987	778	6940	5072	16025	70021	3344	9001	6294	4210	4157	3248	1940	58505	27044	1247	5547	25255	73111	219	29261	12548	8644	99927	2672	2281	36180	5588	69940	168272	7343	37811	3728	2448	19736	142566	3735	13518	897	557	2252	5477	3030	1727	4896	5631	15101	7462	47564	10081	13703	52089	3182	17117	4436	76267	4750	22117	3510	2560	15234	62113	17513	10124	24847	2829	2471	7072	21109	1749	14533	22812	10906	19601	86660	24997	3018	5446	46580	3430	21070	12090	7571	40170	7788	15888	7852	20751	8119	2152	9333	2756	9001	2867	13838	1561	1385	4164	438	3433	11354	1112	3627	61356	9998	18197	11239	5851	21429	9460	1460	7332	1406	7993	7296	1087	5086	2093	4561	8925	2660	12206	2036	5256	5090	13169	16942	1954	8561	482	3568	7608	2134	5570	1303	6905	4952	4912	646	1679	10291	4502	2819	35126	9929	14347	4954	5284	4896	2357	3310	5272	1217	7939	10741	28816	13057	5462	2623	4857	2797	3129	2900	13435	3761	1674	14583	3300	4901	3389	3888	9456	3309	4113	1945	2365	3741	4783	6825	9571	22362	13574	5614	4735	2646	1620	1344	2667	8722	7277	23211	7000	7080	3031	1607	1066	237	2781	3077	9270	724	5780	13992	7850	2672	1829	1985	5646	3770	15539	6665	9143	3749	1854	3421	2026	1287	2111	6114	4553	14053	549	7390	3547	283	3763	2159	2109	1066	2867	2132	7032	2529	8392	3456	2694	1724	1813	2894	4464	3256	8060	4796	4566	2837	1335	2392	3392	2078	4804	2180	8253	2999	2851	1504	1535	3181	5678	2896	4631	3017	1451	2254	2042	5487	1802	3838	1494	1785	3081	4347	2579	1592	1345	1560	3377	3269	1490	1315	1637	1772	3511	1806	1962	1435	1948	2890	3098	1466	2685	2102	2214	2935	1240	1401	1522	915	1398	1568	1344	1394	6508882
