m/z	1.0077	11.9995	13.0072	14.0148	15.0235	19.0184	22.9898	23.9849	24.9852	24.9923	25.0061	25.9823	26.0147	26.9815	27.0235	27.9879	28.0181	28.0304	29.0013	29.0401	30.0343	30.0432	30.9793	31.0005	31.0185	37.0061	38.0157	38.9654	38.9962	39.0251	39.9613	40.0286	40.9618	40.9836	41.0129	41.0370	41.9899	42.0099	42.0450	43.0003	43.0199	43.0573	43.9681	43.9829	44.0226	44.0475	44.0582	44.9779	45.0148	45.0330	45.9494	45.9782	46.9477	46.9744	46.9954	47.9456	48.9511	49.0042	49.9443	50.0139	51.0230	51.9882	52.0300	52.9832	53.0017	53.0386	53.9879	54.0075	54.0445	54.9979	55.0178	55.0551	56.0220	56.0596	56.9640	57.0142	57.0334	57.0720	58.0389	58.0741	58.9941	59.0082	59.0314	59.0502	60.9518	60.9853	61.0063	61.9450	62.0131	62.9466	63.0216	64.0282	64.9481	65.0378	65.9892	66.0442	66.9971	67.0545	68.0238	68.0592	68.9914	69.0121	69.0329	69.0717	70.0760	71.0498	71.0908	71.9532	72.0916	72.9526	73.0543	73.9870	74.0120	75.0207	76.0281	77.0013	77.0365	78.0436	78.9508	78.9807	79.0526	79.9475	80.0577	80.9436	81.0328	81.0707	81.9496	82.0740	83.0476	83.0902	84.0918	85.0014	85.1113	85.9593	86.0108	86.9616	87.0195	87.9431	87.9725	88.0263	88.9272	88.9476	89.0345	89.9865	90.0422	91.0521	92.0568	93.0690	94.0712	95.0463	95.0884	96.0892	96.9530	97.1078	97.9582	98.0091	99.0180	99.9722	100.0253	100.9814	101.0348	102.0417	102.9586	103.0491	104.0212	104.0577	104.9456	105.0296	105.0687	106.0286	106.0706	106.9135	107.0458	107.0854	107.9197	108.0854	108.9989	109.1048	110.0078	111.0162	111.9729	112.0212	112.1007	113.0294	114.0401	115.0486	116.0527	117.0605	118.0692	119.0835	120.0853	120.9573	121.1006	122.0037	123.9141	126.0356	127.0456	128.0520	129.0596	130.0632	131.0363	131.0822	132.0821	134.0007	137.0186	139.0435	140.0475	140.9134	141.0580	141.8801	142.0645	142.8805	143.0781	143.8748	144.0713	144.8784	145.0977	146.0027	147.0699	149.0178	150.0238	151.0314	152.0467	153.0496	154.0550	155.0746	156.0762	157.0932	157.9948	162.0171	163.0354	164.0348	165.0547	166.0560	167.0650	168.0641	169.0944	169.9978	170.8521	174.0204	175.0221	176.0413	176.8813	177.0428	178.0553	179.0654	180.0711	181.0885	186.0100	187.0256	188.0296	189.0470	190.0456	191.0591	192.0614	193.0904	197.1545	198.0145	198.9041	199.0207	200.0331	201.0355	202.0519	202.8403	203.0593	204.0635	204.8859	205.0699	206.0760	208.9847	210.0090	211.0213	212.0242	213.0426	214.0464	215.0630	216.0653	217.0773	222.0058	223.0123	223.8051	224.0247	225.0307	226.0485	227.0485	228.0548	229.0754	230.0849	232.0766	235.0137	236.0227	237.0342	238.0316	239.0569	240.0592	241.0682	242.0691	246.0156	248.0177	250.0395	251.0431	252.0603	253.0666	254.0694	259.0101	262.0302	263.0499	264.0632	265.0645	266.0734	273.0223	274.0321	276.0546	277.0610	278.0650	279.0789	286.0248	287.0418	289.0604	290.0701	291.0775	296.0039	299.0291	300.0484	301.0495	302.0637	303.0747	309.0130	311.0317	313.0562	315.0718	324.0426	326.0587	335.0246	337.0467	346.0105	349.0330	359.0170	370.0028	372.0291	374.0478	385.0350	387.0567	
May-F9 (aw1476@May_F9-#1 of 36-(+)) *	18636	3304	4919	9016	22554	2229	53449	1865	187	288	1252	230	21265	425021	336616	8990	2713	35227	16654	268121	3054	7831	1042	1205	10205	5069	21596	22970	20183	353378	3486	43103	3190	1785	19637	601786	3266	4875	47871	7421	29236	194234	679	6110	1761	808	7300	39087	1753	3817	9272	2226	5739	1750	1040	85823	41176	909	8528	36761	136117	1580	48335	9958	10517	176419	2034	1206	32810	4411	27833	226107	1844	21538	3151	1861	7166	67038	624	3547	414	841	843	1055	4633	11080	4092	10119	22636	13858	89979	18129	26655	103390	2624	23817	3982	87399	1908	11123	4039	1205	3586	38313	5431	2013	15591	3326	990	15822	1765	2617	20811	33825	17380	35921	160439	46376	3502	3444	64947	3715	11121	15955	3455	26071	7668	3779	1739	9370	1397	1891	5178	7183	11577	10815	21642	1232	2605	6152	522	3775	22825	1153	6012	124669	14546	12502	2927	1536	8295	1412	2801	3257	3175	9041	8609	2092	2306	2356	6714	18965	4057	24762	2129	8319	4189	6015	20897	806	3822	4941	1646	3134	4666	924	1110	2052	4585	5152	1735	1147	373	6129	4467	87304	21741	23109	3488	4098	1157	3609	858	4316	6409	12694	24645	73944	28773	6609	1992	4892	1252	2232	2973	27389	5860	2727	35839	3966	9925	4405	5066	14152	2281	5320	1287	1447	541	6343	11699	18846	51567	30819	10858	8587	2716	1448	939	3341	15541	12134	57765	14834	10725	3613	1727	798	899	4246	4399	18137	573	10054	32809	15621	3804	2172	2330	10019	6692	37271	13913	16246	6102	2337	467	2462	797	2806	12238	9218	36460	2075	16108	5195	993	4699	1654	1607	1010	4506	2884	15231	5037	22071	7223	3568	1786	2008	3113	8101	5591	20361	11868	10715	6109	1898	823	3150	2380	8848	4001	21360	7072	6109	2429	1210	4310	11525	5288	12513	7545	2698	1962	3030	13060	3942	8644	3028	1621	5969	10962	6476	3453	2569	1887	7117	8163	3386	2490	1579	2232	7690	4007	4526	3016	1882	4713	7156	3050	4802	4615	2745	5170	1311	1665	1620	905	1852	2862	2047	2439	8119997
May-F9 (aw1476@May_F9-#2 of 36-(+)) *	18953	3845	4967	8825	21933	2192	64296	1899	170	280	1270	288	21486	460711	338153	9301	2807	34217	16209	253774	2791	7206	802	981	9580	5105	22208	25741	20182	360757	3681	43208	3369	1557	17754	586631	2637	4662	44307	5681	28189	158773	454	6059	1634	733	6282	31744	1239	3358	9785	1668	5766	1554	808	91190	43144	927	9116	38371	143870	1765	50549	8963	10676	180768	1795	1206	30476	3485	26959	206940	1736	18195	3452	1209	6373	46903	544	2541	362	843	510	803	4727	11004	4074	10423	24595	14678	96834	18897	28566	108917	2348	24519	3395	84750	1736	9800	4553	1024	3279	30221	3882	1437	9967	3600	655	17337	878	2767	22543	36334	18271	37941	168892	48994	3578	3162	66207	3860	11081	17126	3257	23932	8237	3204	1529	6423	979	1946	3085	7971	12559	11660	23127	1118	2721	6568	495	3700	24104	1133	6431	129761	15194	12193	2582	1433	6958	1258	3254	2039	3769	9762	8974	2257	2468	2466	6894	20128	4284	26208	2034	8992	3941	5843	21063	692	3731	5323	1559	2807	5077	888	1168	1549	4975	5548	1866	1149	288	6471	4770	92349	23011	23669	3608	4011	1108	3610	750	4467	6586	13096	26145	78153	29823	6449	1976	4788	1234	2426	3120	28942	6114	2773	37928	4386	10259	4513	4883	15498	2198	5832	1341	1641	406	5095	12158	19909	54842	32796	11258	8893	2716	1488	932	3586	16519	12588	60162	15270	10813	3606	1785	790	1001	4507	4677	19046	617	10414	34141	16155	3598	2156	2509	10414	7082	38590	14644	17030	6142	2289	393	2620	733	2968	12555	9358	37597	2198	16857	5385	1072	4514	1513	1539	1073	4741	3006	15611	5266	22685	7314	3675	1841	2110	3476	8515	5799	20940	11981	10917	6434	1906	828	3327	2349	8904	4117	21905	7218	6374	2543	1307	4464	11737	5333	12680	7590	2793	2038	3057	13234	4102	8915	3212	1674	6196	11281	6552	3557	2584	1925	7233	8346	3413	2523	1591	2315	7751	4081	4444	3134	1976	4635	7097	3024	4963	4590	2774	5323	1361	1732	1682	946	1906	2965	1943	2446	8142509
May-F9 (aw1476@May_F9-#3 of 36-(+)) *	17253	3004	4480	8219	19610	1823	47447	1478	142	240	1286	231	19504	408904	305949	8092	2166	30559	14147	225152	2382	6239	664	702	8328	4593	20093	20043	18402	329336	3058	38926	2781	1369	16196	526988	2250	4001	38695	4843	23664	134039	320	5390	1333	521	5092	25972	1004	2843	8701	1429	5349	1321	686	81600	38683	814	8089	34907	132074	1549	45420	7649	9340	164558	1513	997	27013	2996	23365	181651	1430	15087	2767	991	5313	38519	418	2053	283	782	393	616	4329	9748	3733	9253	22182	12806	89134	17258	25021	99446	1969	22042	2781	76490	1557	8464	3754	801	2834	25510	3282	1192	7549	3296	504	16027	662	2564	21083	33566	16322	34260	152357	44639	3092	2478	60638	3265	9878	14936	2708	20905	7252	2766	1197	5046	777	1873	2220	7260	11778	10570	21370	983	2433	5940	450	3320	22228	1064	5659	117954	13494	10731	2244	1160	5983	995	3114	1657	3557	9239	8576	2031	2196	2165	6123	18242	3823	23927	1719	7988	3415	4706	19157	635	3263	4639	1378	2474	4322	739	1062	1236	4805	5282	1737	1079	241	6076	4269	83723	20701	20868	3121	3545	945	3260	651	4383	6023	11949	23660	70582	26428	5818	1648	4116	1025	2344	2926	26070	5414	2471	33652	3839	9106	4003	4635	13506	1887	5300	1069	1561	312	3906	11079	18235	49350	29216	9853	7984	2234	1223	933	3261	15269	11537	54533	13799	9697	3150	1480	748	977	4214	4367	17307	565	9509	30472	14575	3159	1874	2290	9689	6358	34605	13189	15123	5413	2070	307	2537	592	2629	11606	8706	33542	2009	15105	4721	1007	4149	1395	1484	996	4340	2841	14250	4691	20504	6546	3118	1810	1960	3079	7733	5232	19015	10597	9690	5599	1654	644	3171	2309	8194	3786	19561	6423	5519	2208	1163	4201	10542	4828	11512	6762	2434	1916	2847	12115	3733	7880	2773	1560	5678	10011	5632	2926	2245	1775	6570	7585	2932	2085	1643	2114	7003	3629	3898	2716	1990	4338	6513	2686	4562	4024	2640	4846	1414	1597	1660	994	1766	2697	1827	2313	7276455
May-F9 (aw1476@May_F9-#4 of 36-(+)) *	15593	3005	3925	7169	18947	1864	34877	1308	137	214	1012	206	17745	433104	298044	8694	2271	30591	14284	229511	2333	6225	530	618	8392	4013	18749	16543	18095	317700	2684	38636	2290	1328	16475	529309	1658	4089	39536	3432	23062	141190	197	5714	1351	553	5260	17569	746	2752	9336	888	5782	1065	440	87820	41930	680	8668	32306	122916	1707	43676	4944	9013	159251	1138	1040	27164	2096	23244	186466	1462	15856	2503	713	5344	41225	440	2064	247	778	340	600	4634	10386	3369	10026	20285	13294	81556	16008	26102	94196	1437	21776	1990	76827	1591	8883	4059	730	2667	26868	3402	1121	8052	3182	524	16562	678	2478	18790	30401	14876	33164	143971	42087	3273	2012	59307	3444	9623	15416	2784	21583	7847	2719	1278	5618	753	1681	2471	7783	10612	11210	19178	1036	2580	5236	488	2846	20217	838	5272	112953	12927	11024	2246	1081	6118	939	3151	1706	3707	8155	7518	2199	2011	2035	5696	16647	3978	22595	1521	7484	3197	4298	18231	575	3193	4882	1348	2457	4645	716	981	1263	4231	4782	1813	1025	218	5326	3798	77026	19316	20220	2992	3499	956	3438	647	3975	6397	10732	21397	64797	24940	5421	1568	4090	976	2232	2684	23279	4957	2652	30928	4016	8413	4182	4254	14199	1818	5524	1109	1411	333	3477	10064	15735	43956	26750	9022	7254	2204	1124	866	2890	13327	10189	48527	12463	8781	2846	1403	718	1030	3710	3875	15103	538	8327	27320	13058	2910	1741	2139	8231	5300	30181	11464	13542	4758	1851	230	2250	534	2411	9863	7409	29127	2024	13282	4173	1066	3590	1211	1451	943	3728	2466	12087	3916	17473	5707	2726	1554	1729	3163	6505	4365	16088	9337	8635	4874	1393	544	2754	1882	6913	3178	16508	5486	4781	1865	1002	3507	8810	4060	9492	5751	1944	1569	2368	10100	3031	6606	2331	1338	4611	8322	4866	2456	1890	1399	5221	6078	2475	1822	1343	1767	5663	2916	3239	2242	1596	3458	5144	2229	3399	3385	2040	3804	1101	1236	1248	791	1374	2065	1490	1807	6964128
May-F9 (aw1476@May_F9-#5 of 36-(+)) *	17064	3276	4544	8166	19255	1665	49911	1468	145	238	1162	225	18761	390541	279068	7643	2157	28548	12986	200210	2150	5562	681	690	7764	4645	19347	20761	17451	302923	2776	35459	2671	1214	14635	464930	2172	3665	34859	4224	20468	115539	282	4785	1187	546	4376	22215	808	2352	8407	1162	5162	1161	493	78148	36849	870	7795	32672	120695	1430	41638	6873	8263	145181	1426	926	24007	2587	20262	158534	1232	13645	2405	862	4531	33014	357	1772	238	700	295	518	4017	8838	3685	8538	21573	11742	82187	15806	22626	86951	1790	19671	2447	66641	1328	7553	3418	699	2336	22342	2782	861	6502	3033	431	15008	573	2534	20319	31415	14997	30818	133036	38893	2832	2115	52631	3019	8545	13122	2344	18447	6526	2410	1079	4473	658	1989	2022	7075	11707	9447	20791	902	2215	5625	429	2969	19369	874	4903	101276	11774	9433	1984	989	5211	868	2915	1497	3429	9374	8327	1825	2053	2080	5516	15848	3325	20632	1435	6691	2990	4120	16515	516	2834	4321	1200	2162	4033	659	1170	1136	4979	5299	1633	1161	193	5255	3739	72087	17693	18082	2746	3046	778	2934	614	4625	5493	10939	20145	60073	22612	4728	1381	3568	903	2675	2766	22742	4622	2175	28500	3571	7475	3748	3759	12668	1558	4914	953	1736	317	3456	10292	15936	41965	24715	8271	6499	1951	992	1084	3086	13467	10081	46086	11695	7969	2534	1206	851	920	4098	4068	15168	525	7934	25602	12031	2614	1609	2266	8939	5759	29440	11133	12480	4573	1617	289	2567	544	2629	10373	7655	28480	1804	12592	3875	873	3336	1153	1502	1036	4308	2637	12823	4006	17179	5435	2615	1917	1928	2804	6980	4880	16300	9030	8044	4533	1312	552	3104	2122	7501	3389	16761	5392	4504	1818	1241	4217	9484	4181	9467	5626	1880	2112	2632	10413	3179	6445	2243	1574	5262	8749	4718	2537	1814	1693	5794	6358	2533	1801	1740	1963	6378	3232	3378	2205	2025	4045	5657	2369	4105	3450	2531	4235	1473	1487	1695	1082	1779	2450	1804	2152	6575206
May-F9 (aw1476@May_F9-#6 of 36-(+)) *	16144	2862	4199	7652	18927	1795	45811	1382	111	172	1085	201	18708	392029	280316	8317	2084	29333	13705	206538	2203	5589	601	654	7920	4376	19064	18665	17207	298229	2703	35795	2598	1268	15590	472629	2161	3995	35952	4177	21056	124237	298	5072	1315	549	4682	21801	760	2629	8455	1154	5311	1160	490	78204	37353	787	7797	31938	115854	1422	40776	6502	8486	142897	1356	967	24762	2347	21368	166045	1356	14195	2333	808	4941	36832	393	1944	242	727	338	616	4177	9385	3590	8853	20330	12039	78323	15312	23574	84390	1708	19994	2346	68415	1398	7920	3539	717	2456	23812	3077	1011	7034	2992	522	14850	632	2551	19402	29282	14018	29786	127882	37535	2992	2041	52676	3039	8567	13670	2589	19302	6656	2576	1190	4733	768	1897	2124	6638	11397	9751	19403	915	2300	5189	378	2927	18283	884	4814	98006	11487	9358	2057	1047	5691	940	2894	1526	3243	8936	7768	1986	2002	2043	5060	15026	3396	20029	1423	6662	2906	4141	16315	518	2880	4323	1236	2312	3971	697	1053	1151	4786	4978	1655	1049	247	5043	3471	67270	16891	17576	2607	3052	936	3103	602	4468	5635	10090	18693	57106	21628	4676	1368	3581	870	2513	2603	20674	4382	2300	26744	3477	7212	3859	3706	12561	1534	4837	981	1809	334	3404	9357	14489	39311	23165	7935	6303	1892	1005	1142	2891	12488	9186	42761	10931	7760	2475	1198	913	887	3713	3788	13657	513	7399	23663	11412	2491	1429	2077	7926	5306	27022	10142	11795	4214	1641	266	2314	527	2312	9388	6936	25657	1767	11425	3498	917	3231	1107	1462	976	3992	2406	11226	3683	15403	5007	2431	1811	1873	2934	6602	4157	14388	8079	7278	4204	1248	525	2947	1997	6846	2953	14893	5007	4144	1607	1199	3761	8494	3730	8470	5007	1759	1893	2355	9456	2754	5849	2013	1516	4754	7580	4308	2261	1702	1529	5253	5691	2295	1607	1623	1714	5608	2743	2975	2023	1859	3761	4943	2017	3625	3114	2384	3924	1409	1369	1653	993	1689	2313	1686	1914	6458539
May-F9 (aw1476@May_F9-#7 of 36-(+)) *	16220	2949	4284	7685	18434	1614	50320	1715	181	237	1105	255	18392	407008	292161	7554	1944	29058	13084	209611	2005	5625	474	559	7865	4459	19435	20923	17288	320483	3183	38024	2705	1224	14305	497202	1640	3675	35744	3468	20910	118607	202	5037	1219	453	4597	19984	687	2252	8483	955	5225	1072	503	79860	37502	785	7847	34511	130457	1632	44686	5946	8713	158623	1308	963	24824	2187	20969	165919	1295	13553	2872	655	4588	34117	379	1779	279	703	267	514	4162	9379	3547	9305	22351	12811	89293	17002	23935	97142	1667	21476	2198	71474	1329	7662	3725	659	2480	22407	2788	947	6751	3196	397	16608	543	2427	20898	33433	15837	32383	149226	42938	2889	2004	57210	3260	8896	13749	2573	18903	6970	2289	1044	4621	700	1917	2216	7669	11696	10793	21640	959	2414	5982	465	3032	21620	931	5445	112730	12874	9688	1836	967	5088	782	3151	1480	3779	9219	8482	2071	2159	2059	6141	17835	3734	23019	1364	7462	3080	3944	17503	473	2984	4491	1148	2162	4605	599	1042	1084	4995	5383	1916	1185	207	5801	4152	81137	20251	20161	2795	2997	792	3200	532	4553	5957	11783	22571	68912	25427	5132	1420	3775	873	2480	2814	25428	5331	2409	32416	3829	8492	3954	4065	13504	1598	5136	930	1497	270	3035	11187	17735	48031	28176	9363	7246	2092	1014	930	3261	14927	11149	53038	13376	9037	2870	1303	762	1032	4217	4281	16779	551	9190	29486	13988	2929	1735	2254	9346	6206	33481	12560	14437	5096	1862	240	2453	575	2770	11297	8605	32551	1935	14691	4456	932	3818	1273	1631	1015	4388	2800	13896	4474	19657	6311	3084	1794	2028	3107	7711	5054	18356	10346	9257	5295	1585	604	3039	2239	7832	3618	18684	6240	5205	1960	1104	4154	10401	4633	10915	6433	2226	1897	2843	11452	3338	7463	2585	1584	5459	9520	5477	2885	2007	1677	6249	7199	2817	2069	1581	2002	6724	3506	3697	2533	1834	4135	6000	2511	4277	3821	2536	4401	1332	1552	1549	920	1624	2447	1748	2151	6940830
May-F9 (aw1476@May_F9-#8 of 36-(+)) *	12159	2303	2926	5436	16099	1707	26229	956	82	139	736	173	14622	401324	265407	7670	2236	27670	12904	213811	2274	5938	189	355	7705	3410	16137	12610	16051	289567	2224	35039	1994	1061	14535	488486	798	3873	36735	1723	21130	130190	116	5124	1319	535	4965	10612	396	2554	8560	474	5238	714	235	79507	38033	604	7981	28166	112059	1504	40178	2903	8036	149496	667	959	25179	1018	21760	173178	1355	14854	2191	342	4916	39157	419	2139	192	738	220	585	4154	9893	3028	9251	17712	12692	73474	14776	24601	88158	888	20136	1295	73231	1459	8419	3808	608	2467	24647	3155	973	7519	2967	474	16014	645	2189	16515	26824	13088	29638	134555	39477	3147	1500	56310	3213	8988	14384	2533	20065	7585	2606	1187	5238	776	1332	2442	7554	9211	10845	17145	854	2610	4830	462	2544	18233	686	4788	105205	12039	9918	2107	1050	5584	867	3044	1678	3612	7059	6387	2129	1774	1664	5104	14839	3670	20688	1297	6959	2676	3202	16895	467	2882	4689	1158	2190	4584	628	858	1111	3526	4037	1824	882	223	4683	3364	70482	17742	18785	2707	3155	866	3207	549	3369	6303	9747	19397	59546	23134	4872	1321	3722	863	1788	2358	20263	4464	2480	28330	3896	7692	3999	3721	13326	1582	5458	886	1133	290	2422	8525	13812	39059	24068	8378	6715	1973	1015	706	2416	11341	8734	43458	11100	8097	2435	1234	568	1010	3104	3352	13156	464	7280	24147	11614	2610	1549	1705	6707	4724	25978	10025	11890	4352	1711	198	1815	376	1922	8104	6301	25341	1911	11791	3662	903	3327	1072	1397	778	3023	1895	10012	3270	15611	5001	2565	1235	1342	3057	4996	3487	13210	7743	7342	4303	1174	468	2127	1481	5379	2434	13784	4710	4180	1559	810	2741	6978	3247	7796	5039	1743	1276	1801	7826	2457	5703	1916	1050	3484	6482	3873	2113	1618	1038	4072	4892	1952	1545	965	1280	4263	2352	2618	1809	1142	2508	3943	1806	2571	2437	1443	2815	800	929	946	579	976	1419	1010	1206	6257247
May-F9 (aw1476@May_F9-#9 of 36-(+)) *	14663	2838	3859	6666	16027	1432	33933	1112	111	204	1075	190	16226	355415	240895	6259	1695	23899	11214	169631	1741	4697	324	333	6318	4137	17270	15165	14349	273245	2400	31721	2001	1026	11464	401849	1179	2986	28976	2357	17341	92966	403	4322	1001	382	3564	16470	459	1970	7472	887	4606	895	303	68754	31766	756	6830	30417	112899	1345	37953	4813	7321	131624	994	871	20250	1482	17509	132858	1003	11100	2106	385	3756	26971	292	1433	207	605	191	388	3501	8148	3413	8092	20004	11016	77683	14686	20987	81781	1404	17684	1697	58418	1100	6221	3127	511	1955	17904	2124	752	5257	2814	332	14414	470	2360	19069	29550	13863	27136	124603	36000	2419	1494	47223	2671	7246	11872	1993	15390	6208	1948	831	3739	542	1701	1661	6660	10999	8889	19572	877	2021	5323	405	2496	18339	758	4602	93755	10591	7840	1556	806	4193	643	3049	1225	3341	8925	7871	1740	1970	1740	5217	15131	3008	19086	1118	6403	2559	3085	14355	358	2342	3969	880	1743	3930	474	1064	863	4776	5102	1656	1066	201	5101	3618	68364	16598	16261	2332	2546	677	2824	421	4427	5240	10148	19194	56688	20947	4247	1062	2985	727	2458	2555	21595	4415	2051	26979	3303	6959	3499	3220	11652	1262	4691	786	1577	241	2321	9601	15125	40140	23594	7761	5953	1618	842	1023	2674	12647	9528	43520	10986	7269	2202	1078	771	886	3890	3712	14339	536	7636	24421	11293	2357	1286	2036	8247	5411	27890	10348	11473	4075	1486	193	2295	422	2305	9871	7147	27147	1663	11977	3465	750	3071	1005	1523	935	3898	2425	11557	3723	16240	5296	2357	1703	1763	2704	6554	4315	15061	8487	7642	4397	1157	472	2784	1975	6691	3074	15987	5140	4198	1635	1054	3678	8755	3783	9075	5338	1760	1832	2374	9572	2902	6062	2147	1371	4726	7908	4613	2331	1668	1469	5274	5907	2354	1693	1499	1680	5618	2901	2982	2053	1698	3562	5117	2035	3753	3245	2219	3681	1265	1384	1465	903	1552	2097	1617	1778	5850308
